product_name,category,deskripsi,indikasi_umum,dosis,aturan_pakai

Noroid Soothing Lotion 200 ml,Perawatan Kecantikan," NOROID SOOTHING LOTION merupakan pelembab yang digunakan pada seluruh tubuh termasuk wajah yang berfungsi untuk memperbaiki fungsi barier kulit pada dermatitis atopik (ruam, merah, bengkak, dan gatal), kulit kering, dan sensitif. Krim ini dapat digunakan setiap hari sesuai kebutuhan setelah membersihkan wajah dan tubuh. ", Pelembab untuk kulit kering. Membantu melembutkan dan menjaga elastisitas kulit. , Gunakan beberapa kali per hari pada bagian yang membutuhkan. , Dapat digunakan di seluruh tubuh termasuk wajah. Gunakan setelah mandi atau setelah wajah dibersihkan dan setelah perawatan UV. 

La Roche Posay Cicaplast Baume B5 Soothing Repairing Balm 40 ml,Perawatan Kecantikan," La Roche Posay Cicaplast Baume B5 Soothing Balm 40 ml merupakan cream serbaguna untuk merawat dan melindingi kulit yang teriritasi ringan. Dapat digunakan untuk seluruh keluarga: bayi, anak-anak, dan orang dewasa.
Mengandung Madecassoside untuk merawat & mempertahankan lapisan pelindung kulit, Panthenol yang memberikan rasa nyaman, serta bahan anti-bakteri. 
Cocok untuk kulit sensitif. 
Fragrance-free. 
Allergy tested
Cocok untuk bayi usia 3 bulan ke atas.
Dermatologist & Pediatric tested. "," Krim serbaguna yang berfungsi sebagai soothing balm, merawat dan mempertahankan lapisan pelindung kulit,  menyejukkan kulit yang kering dan teriritasi ringan. Tekstur krim yang tidak berminyak dan tidak meninggalkan bekas putih. Dapat digunakan untuk wajah, bibir, dan juga badan untuk orang dewasa, anak-anak, serta bayi. ",-," Aplikasikan di kulit bersih dan kering, dua kali sehari. Di badan, wajah, dan bibir.
Hindari daerah keliling mata.
Jangan ditelan. 
Jauhkan dari bayi dan anak-anak "

La Roche Posay Cicaplast Baume B5 Soothing Repairing Balm 15 ml,Perawatan Kecantikan," LA ROCHE POSAY CICAPLAST BAUME B5 SOOTHING REPAIRING BALM merupakan cream serbaguna untuk merawat dan melindingi kulit yang teriritasi ringan. Dapat digunakan untuk seluruh keluarga: bayi, anak-anak, dan orang dewasa. Mengandung Madecassoside untuk merawat & mempertahankan lapisan pelindung kulit, Panthenol yang memberikan rasa nyaman, serta bahan anti-bakteri. Cocok untuk kulit sensitif. Fragrance-free. Allergy tested Cocok untuk bayi usia 3 bulan ke atas. Dermatologist & Pediatric tested. "," Krim serbaguna yang berfungsi sebagai soothing balm, merawat dan mempertahankan lapisan pelindung kulit,  menyejukkan kulit yang kering dan teriritasi ringan. Tekstur krim yang tidak berminyak dan tidak meninggalkan bekas putih. Dapat digunakan untuk wajah, bibir, dan juga badan untuk orang dewasa, anak-anak, serta bayi. ",-," Aplikasikan di kulit bersih dan kering, dua kali sehari. Di badan, wajah, dan bibir. Hindari daerah keliling mata. Jangan ditelan. Jauhkan dari bayi dan anak-anak "

La Roche Posay Effaclar Purifying Foaming Gel 200 ml,Perawatan Kecantikan," La Roche Posay Effaclar Purifiying Foaming Gel 200 ml dengan lembut membersihkan komedo, mengurangi minyak berlebih & mengangkat kotoran tanpa membuat kulit kering, kulit wajah menjadi bersih dan segar. No alcohol. non-comedogenic, hypoallergenic. 
Diformulasikan secara khusus dan sesuai untuk kulit berminyak dan mudah berjerawat. Cocok untuk kulit sensitif.
Dermatologist & Ophtalmologist tested. "," Pembersih wajah dengan tekstur foaming gel yang lembut membersihkan kotoran, komedo dan sebum berlebih. Mengurangi kilap di wajah. Membuat kulit terasa lembut dan segar.
Cocok untuk kulit berminyak, sensitif, dan berjerawat. ", 0 , Basuh muka menggunakan air hangat kuku untuk membantu membuka pori-pori. Tuangkan gel di telapak tangan yang sudah dibasahi dan aplikasikan ke wajah dengan pijatan lembut di daerah T (T Zone) dan leher. Pijat dengan gerakan melingkar. Bilas dengan air dingin untuk hasil pori-pori tampak kencang. 

La Roche Posay Lipikar Baume AP+M 200 ml,Perawatan Kecantikan," La Roche Lipikar Baume AP+M 200 ml merupakan moisturizing balm yang diformulasikan untuk bayi, anak-anak, orang dewasa dengan kulit mudah alergi, sangat kering,dan sensitif. Produk ini dapat digunakan di wajah dan badan. 95% mengurangi sensasi rasa gatal, 100% meredakan kulit kering. Mengembalikan keseimbangan mikrobioma kulit, merawat dan menjaga kekuatan lapisan pelindung kulit serta memberikan rasa nyaman. 
Cocok untuk kulit sensitif, termasuk kulit bayi yang baru lahir. 
Hypoallergenic.
Dermatologist, Ophtalmologist & Pediatric tested.  "," Moiturizing balm dengan tekstur krim yang melembapkan, cepat meresap tidak berminyak dan tidak lengket. 
Berfungsi untuk mengurangi sensasi rasa gatal, meredakan kulit kering, menjaga kekuatan lapisan pelindung kulit dan memberikan rasa nyaman. ", 0 ," Pakai pada wajah dan badan, sekali sehari. 
Untuk hasil yang lebih baik, gunakan LIPIKAR Syndet atau Huile lavante AP+ sebagai pembersih dan Stick AP+ sepanjang hari untuk meredakan gatal. "

Cetaphil Gentle Skin Cleanser 250 ml,Perawatan Kecantikan," CETAPHIL GENTLE SKIN CLEANSER  merupakan pembersih wajah yang diformulasikan sebagai pengganti sabun untuk kulit kering, normal, kombinasi dan berjerawat. Produk ini memiliki kandungan propylene glycol yang bertujuan untuk membantu menjaga kelembapan kulit. "," Mengatasi kulit berminyak tanpa menyebabkan kulit menjadi kering, membersihkan kotoran dan sisa make up dari wajah, serta melembabkan kulit wajah. ", Sesuai kebutuhan ," Petunjuk penggunaan tanpa air: Usapkan secukupnya dan gosok ke kulit dengan lembut. Bersihkan dengan kain lembut dan kulit akan terasa halus.
Petunjuk penggunaan dengan air: Usapkan ke kulit lalu gosok dengan lembut. Bilas dengan air. "

La Roche Posay Effaclar Duo+ 40 ml,Perawatan Kecantikan," La Roche Posay Effaclar Duo+ 40 ml merupakan moisturizer untuk kulit berminyak dan mudah berjerawat. Dalam 12 jam melawan jerawat, menyamarkan kemerahan & tekstur kulit tidak merata. Telah diuji di bawah pengawasan dermatologis pada kulit berminyak dan mudah berjerawat, intensif melawan jerawat membandel dan noda akibat jerawat.
Allergy tested. Non-comedogenic. Cocok untuk kulit sensitif.
Dermatologist tested.  "," Moisturizer untuk kulit berminyak dan berjerawat, intensif dalam melawan jerawat, mengurangi kemungkinan jerawat muncul kembali, dan menyamarkan noda akibat jerawat. 
Memiliki tekstur gel-cream yang menghidrasi dan bebas kilap dan cocok digunakan sebagai base make up.
100% tidak berminyak.
100% cepat menyerap.
95% tidak lengket.
*berdasarkan uji instrumen. ", 0 , Gunakan pada pagi dan malam hari. Ambil seukuran ujung jari telunjuk dan hangatkan lebih dahulu di tangan untuk membantu peresapan. Pijat dengan gerakan lembut dari dahi ke wajah. 

La Roche Posay Lipikar Baume AP+M 75 ml,Perawatan Kecantikan," La Roche Lipikar Baume AP+M 75ml merupakan moisturizing balm yang diformulasikan untuk bayi, anak-anak, orang dewasa dengan kulit mudah alergi, sangat kering,dan sensitif. Produk ini dapat digunakan di wajah dan badan. 95% mengurangi sensasi rasa gatal, 100% meredakan kulit kering. Mengembalikan keseimbangan mikrobioma kulit, merawat dan menjaga kekuatan lapisan pelindung kulit serta memberikan rasa nyaman. Cocok untuk kulit sensitif, termasuk kulit bayi yang baru lahir. Hypoallergenic. Dermatologist, Ophtalmologist & Pediatric tested. "," Moisturizing balm dengan tekstur krim yang melembapkan, cepat meresap tidak berminyak dan tidak lengket. Berfungsi untuk mengurangi sensasi rasa gatal, meredakan kulit kering, menjaga kekuatan lapisan pelindung kulit dan memberikan rasa nyaman. ",-," Pakai pada wajah dan badan, sekali sehari. Untuk hasil yang lebih baik, gunakan LIPIKAR Syndet atau Huile lavante AP+ sebagai pembersih dan Stick AP+ sepanjang hari untuk meredakan gatal. "

Noroid Soothing Cream 80 ml,Perawatan Kecantikan," NOROID SOOTHING CREAM merupakan pelembab yang digunakan pada seluruh tubuh termasuk wajah yang berfungsi untuk memperbaiki fungsi barier kulit pada dermatitis atopik (ruam, merah, bengkak, dan gatal), kulit kering, dan sensitif. Krim ini dapat digunakan setiap hari sesuai kebutuhan setelah membersihkan wajah dan tubuh. ", Pelembab untuk kulit kering. Membantu melembutkan dan menjaga elastisitas kulit. , Gunakan beberapa kali per hari pada bagian yang membutuhkan. , Dapat digunakan di seluruh tubuh termasuk wajah. Gunakan setelah mandi atau setelah wajah dibersihkan dan setelah perawatan UV. 

Derma Angel Acne Patch Day 12 Lembar,Perawatan Kecantikan," Derma Angel Acne Patch Day dapat menyamarkan, menyembuhkan dan melindungi jerawat. Acne patch ini memiliki bahan yang tipis, elastis, dan transparan. 
Acne Patch Day adalah perawatan lengkap anti jerawat untuk wajah cantik dan cerah. Menyembunyikan jerawat dan memudahkan pengaplikasian make up. Merawat kulit yang berjerawat. Perlindungan kulit terhadap polusi eksternal dan mencegah timbulnya bekas jerawat. "," Membantu menyembunyikan jerawat, serta memberikan perlindungan kulit terhadap polusi eksternal dan mencegah timbulnya bekas jerawat.  ", Sesuai kebutuhan ," Bersihkan wajah dan keringkan, lepaskan patch, tempelkan patch pada area yang bermasalah dan lepaskan lapisan luar, tekan sekitar 3-5 detik hingga patch menempel dengan sempurna. "

Labore Sensitive Skin Care Biomerepair Barrier Revive Cream 10 ml,Kebutuhan Lebaran," LABORE Sensitive Skin Care BiomeRepairTM adalah pelembap dengan kandungan Microbiome Technology TM dan Revive Complex yang melembabkan dan membantu meredakan gejala kulit sensitif* dalam 15 menit. Inovasi Microbiome Technology TM membantu menjaga keseimbangan skin microbiome sehingga memperkuat skin barrier dan untuk kulit yang tampak lebih sehat. Diformulasi secara khusus dengan tekstur krim yang dapat meningkatkan kelembaban kulit hingga +50%** sampai ke area terkering dan nyaman digunakan untuk kulit sensitif di negara tropis. 

*stinging, gatal, dan burning** hasil uji ke 35 wanita dengan kulit sensitif selama 15 hari. 
Hypoallergenic, Dermatologically Tested, Cocok untuk kulit sensitif di negara tropis ", Pelembab untuk melembabkan sampai area terkering di kulit dan juga membantu meredakan gejala kulit sensitif dalam 15 menit. ,-," Gunakan di pagi dan malam hari, setelah mencuci wajah dan menggunakan toner (jika perlu). Tuangkan secukupnya pada telapak tangan. Usapkan pada wajah dan leher, dapat digunakan secara tebal pada bagian yang membutuhkan kelembapan lebih. Gunakan berulang jika dibutuhkan, ketika kulit terasa kering, gatal, atau bersisik.

Tips: Oleskan dengan tebal pada kulit yang lembap (agak basah) untuk meningkatkan efek melembapkan. "

Labore Sensitive Skin Care Gentlebiome Mild Cleanser 100 ml,Kebutuhan Lebaran," LABORE GentleBiome Mild Cleanser adalah pembersih wajah dengan tekstur gel dengan non-soap, non-foam, non SLS/SLES formula dan pH 5.5 yang merupakan formula paling aman untuk membersihkan kulit dengan efektif bagi kulit sensitif tanpa membuat kulit terasa kering atau tertarik. LABORE GentleBiome Mild Cleanser menggunakan Microbiome Technology dan Hyaluronic Acids yang menjaga hidrasi kulit sensitif sekaligus membuat kulit tetap bersih yang sesuai untuk kulit sensitif di negara tropis. 90% wanita dengan kulit sensitif setuju bahwa kulit tetap terasa lembab setelah mencuci muka menggunakan LABORE GentleBiome Mild Cleanser*. 

*hasil uji terhadap 250 wanita dengan kulit sensitif ", Pembersih wajah untuk kulit sensitif yang efektif membersihkan kulit tanpa membuat kulit terasa kering atau tertarik. ,-, Basahkan wajah dengan air dan tuangkan produk ke tangan. Usapkan produk ke wajah sambil dipijat perlahan. Basuh dengan air dan keringkan dengan lembut. Gunakan dua kali sehari (pagi dan malam). 

PhysioGel Daily Moisture Care Body Lotion 100 ml,Perawatan Kecantikan, PHYSIOGEL DAILY MOISTURE CARE BODY LOTION merupakan lotion yang digunakan sebagai pelembab untuk menjaga kulit kering dan kulit sensitif. Lotion ini dapat digunakan untuk kulit sensitif di seluruh bagian tubuh termasuk wajah dan menjaga agar kulit tetap terasa lembab. , Lotion pelembab hipoalergenik untuk perawatan harian kulit kering & sensitif , Oleskan 2 kali sehari atau sesuai dengan kebutuhan ," Oleskan 2 kali sehari atau sesuai dengan kebutuhan. Jika perlu, dapat digunakan lebih sering. Dapat digunakan ke seluruh tubuh. "

Bio Oil Skin Care 25 ml,Ibu dan Anak," BIO OIL SKIN CARE 25 ML merupakan cairan yang mengandung zat aktif PurCellin Oil. BIO OIL digunakan untuk membantu menyamarkan bekas luka, stretch marks dan warna kulit yang tidak merata. "," produk perawatan kulit yang diformulasikan untuk membantu menyamarkan bekas luka, stretch marks dan warna kulit yang tidak merata. Formulasi uniknya juga sangat efektif pada penuaan kulit dan kulit kering. ",-," Oleskan dua kali sehari pada bekas luka selama minimal 8 minggu untuk hasil maxsimal, Selama kehamilan oleskan dua kali sehari mulai dari awal trimester kedua. "

Cetaphil Gentle Skin Cleanser 125 ml,Perawatan Kecantikan," CETAPHIL GENTLE SKIN CLEANSER 125 ML merupakan pembersih wajah yang diformulasikan sebagai pengganti sabun untuk kulit kering, normal, kombinasi dan berjerawat. Produk ini memiliki kandungan propylene glycol yang bertujuan untuk membantu menjaga kelembapan kulitmu. "," Mengatasi kulit berminyak tanpa menyebabkan kulit menjadi kering, membersihkan kotoran dan sisa make up dari wajah , melembabkan kulit wajah ", Sesuai kebutuhan ," Petunjuk penggunaan tanpa air: Usapkan secukupnya dan gosok ke kulit dengan lembut. Bersihkan dengan kain lembut dan kulit akan terasa halus.
 Petunjuk penggunaan dengan air: Usapkan ke kulit lalu gosok dengan lembut. Bilas dengan air. "

Cetaphil Gentle Skin Cleanser 59 ml,Perawatan Kecantikan,-,-,-,-

Cetaphil Pro Ad Derma Skin Restoring Moisturizer 295 ml,Perawatan Kecantikan, CETAPHIL PRO AD DERMA SKIN RESTORING MOISTURIZER 295 ML merupakan pelembab tubuh untuk kulit yang sangat kering dan sensitif. Dilengkapi dengan formula Ceramide dan Filaggrin Technology untuk menjaga kelembapan kulit hingga 24 jam. , Sebagai pelembab kulit yang sensitif dan kering. , Usapkan sesering yang dibutuhkan atau sesuai anjuran , Gunakan segera setelah mandi 

Derma Angel Acne Patch Day 6 Lembar,Perawatan Kecantikan," Derma Angel Acne Patch Day dapat menyamarkan, menyembuhkan dan melindungi jerawat. Acne patch ini memiliki bahan yang tipis, elastis, dan transparan. 
Acne Patch Day adalah perawatan lengkap anti jerawat untuk wajah cantik dan cerah. Menyembunyikan jerawat dan memudahkan pengaplikasian make up. Merawat kulit yang berjerawat. Perlindungan kulit terhadap polusi eksternal dan mencegah timbulnya bekas jerawat. ","  Membantu menyembunyikan jerawat, serta memberikan perlindungan kulit terhadap polusi eksternal dan mencegah timbulnya bekas jerawat. "," 
Sesuai kebutuhan "," 
Bersihkan wajah dan keringkan, lepaskan patch, tempelkan patch pada area yang bermasalah dan lepaskan lapisan luar, tekan sekitar 3-5 detik hingga patch menempel dengan sempurna. "

Erha Acneact ACSBP Acne Cleanser Scrub Beta Plus 60 g,Perawatan Kecantikan," ERHA ACNEACT ACSBP ACNE CLEANSER SCRUB BETA PLUS adalah sabun pembersih wajah yang mampu membersihkan kotoran dan membantu eksfoliasi sel kulit mati.
Mengandung Kombinasi duo Asam Salisilat - Sulfur yang dapat mengurangi produksi minyak berlebih, membunuh bakteri penyebab jerawat serta mempercepat pengeringan jerawat. Dengan scrub yang lembut dapat membersihkan sel kulit mati dan kotoran hingga ke pori. ", Sabun pembersih wajah yang mampu membersihkan kotoran dan membantu eksfoliasi sel kulit mati pada wajah berjerawat. , Sesuai kebutuhan atau sesuai dengan petunjuk dokter kulit ," Basahi wajah, ambil secukupnya dan taruh di lima titik, usap secara sirkular ke arah atas. Bilas hingga bersih. Keringkan wajah, lalu gunakan krim pagi. Hindari mengusap terlalu kuat di area yang berjerawat aktif. "

Erha Acneact BHA & Sulphur Acne Spot Gel 10 g,Perawatan Kecantikan," ERHA ACNEACT BHA & SULPHUR ACNE SPOT GEL merupakan rangkaian produk AcneAct yang diformulasikan untuk mengurangi peradangan, mempercepat penyembuhan dan mencegah hiperpigmentasi pada spot jerawat aktif. Dengan gel bening sehingga dapat dapat digunakan untuk day time, karena tidak meninggalkan bekas di kulit
TERBUKTI secara klinis sejak hari ketiga membantu mengurangi jerawat dan noda hitam bekas jerawat. "," Untuk membantu mengurangi peradangan, mempercepat penyembuhan dan mencegah hiperpigmentasi pada spot jerawat aktif. ", Sesuai kebutuhan. , Gunakan pada jerawat serta area sekitarnya. Biarkan mengering. 

Labore Sensitive Skin Care Biomeprotect Physical Sunscreen 10 ml,Kebutuhan Lebaran," LABORE Biome Protect TM Physical Sunscreen SPF 45 PA +++ diformulasikan dengan 100% mineral filter (Zinc Oxide dan Titanium Oxide) yang lebih cocok (minim risiko alergi) untuk kulit sensitif tropis dibandingkan chemical sunscreen (jenis sunscreen pada umumnya). Diperkaya dengan Microbiome Technology TM dan Broad Spectrum Protection yang efektif menangkal sinar UVA UVB, blue light, dan radikal bebas dari polusi hingga 98%. "," Physical sunscreen dengan mineral UV filter untuk menangkal sinar UVA UVB, bluelight, dan radikal bebas dari polusi, cocok untuk kulit sensitif di negara tropis. ",-," Gunakan paling sedikit 2 ruas jari untuk kebutuhan sunscreen setiap harinya. Gunakan kembali setelah 3-4 jam, setelah berkeringat, berenang, atau aktivitas luar ruangan lainnya. "

