product_name,category,deskripsi,indikasi_umum,dosis,aturan_pakai
Kombiglyze XR 5 mg/500 mg 7 Tablet,Diabetes, KOMBIGLYZE merupakan obat kombinasi saxagliptin dan metformin. Obat ini digunakan untuk pasien diabetes. Kombinasi ini membantu meningkatkan kontrol glikemik pada pasien Diabetes Mellitus Tipe 2. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. ," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Sebagai tambahan terhadap diet dan olahraga untuk memperbaiki pengendalian kadar glukosa darah (kontrol glikemik) pada orang dewasa dengan Diabetes Melitus Tipe 2 yang tidak dapat dikendalikan dengan dosis metformin maksimal yang dapat ditoleransi tubuh, atau pada pasien yang sudah diterapi dengan kombinasi saxagliptin dan metformin dalam tablet yang terpisah. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
1 tablet, 1 kali sehari ", Berikan bersama makanan 
Fonylin MR 60 mg 10 Tablet,Diabetes,-," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Semua jenis diabetes, diabetes dengan atau tanpa kegemukan pada orang dewasa, diabetes pada lanjut usia dan diabetes dengan komplikasi vaskular ",-," Berikan bersama makan pagi. Telan utuh, jangan dikunyah/dihancurkan. "
Autocheck Glucose 25 Strip,Diabetes, AUTOCHECK GLUCOSE merupakan strip untuk monitor kadar gula darah untuk digunakan pada alat Autocheck. Waktu pengukuran yang sangat singkat hanya 15 detik dengan hasil yang akurat. Strip ini hanya dapat digunakan dalam satu kali pemakaian. , Untuk monitor kadar glukosa darah dalam tubuh , Hanya untuk satu kali pemakaian ," Bersihkan jari terlebih dahulu dengan alkohol, kemudian gunakan lancet untuk menusuk jari agar darah dapat keluar. Teteskan darah pada strip. Setelah itu masukkan kedalam alat pengukur. "
Avico Blood Lancet 100 Pieces,Diabetes,-,-,-,-
BD Micro-Fine 4 Mm 100 Pieces,Diabetes,-,-,-,-
"Easy Touch GCU (Glucose, Cholesterol, Uric Acid) Meter Device",Diabetes," EASY TOUCH GCU METER DEVICE merupakan alat yang digunakan untuk melakukan pemeriksaan kadar gula darah, kolesterol, dan asam urat sekaligus. Alat test ini hanya dapat digunakan dengan menggunakan strip test EASY TOUCH GCU METER. 
Dalam 1 paket alat terdiri dari: 
1. 1 unit alat atau mesin
2. 10 test strip gula darah
3. 10 test strip asam urat 
4. 2 test strip kolesterol
5. Lancing atau pena jarum 
6. 25 jarum lancet 
7. Tas alat. "," Alat yang berfungsi untuk memeriksa kadar gula, kolesterol dan asam urat dalam darah dalam satu alat ", Sesuai kebutuhan ," *Pengecekan gula darah, kolesterol, dan asam urat disesuaikan dengan warna chip dan strip masing-masing (Hijau untuk gula darah, Biru untuk kolesterol, dan Kuning untuk asam urat). 
Cara penggunaan : 
1) Nyalakan alat dengan memasang baterai pada tempat yang sesuai. 
2) Akan tampil format tanggal pada layar alat. Tampilan tersebut akan mati secara otomatis setelah beberapa saat. 
3) Jika ingin cek gula darah, pasangkan chip berwarna hijau di belakang alat. Setelah itu, masukkan strip gula warna hijau dibagian atas alat. 
4) Tampilan kode chip akan muncul pada layar alat, diikuti dengan gambar tetes darah berkedip. 
5) Kemudian aplikasikan tetes darah pada strip (sesuai dengan tanda panah pada ujung strip). 
6) Hasil akan terlihat setelah beberapa detik. 
7) Cara yang sama dapat dilakukan untuk cek kolesterol atau asam urat (dengan warna chip dan strip yang sesuai). "
Ezelin Insulin Cartridge 100 IU/ml 3 ml,Diabetes," EZELIN merupakan sediaan steril yang mengandung Insulin Glargine yang ditujukan untuk penggunaan injeksi subkutan (SK). Insulin Glargine merupakan analog insulin rekombinan manusia atau insulin buatan manusia dengan aktivitas yang mirip dengan insulin alami dalam tubuh manusia. Insulin ini termasuk ke dalam agen penurun kadar glukosa darah parenteral yang bekerja lebih lama (long acting) dibandingkan dengan insulin biasa. Produk ini digunakan untuk mengontrol kadar gula darah yang tinggi pada pasien diabetes mellitus tipe 1 dan diabetes mellitus tipe 2 dewasa, remaja, dan anak berusia 2 tahun ke atas yang sudah menjalani pengobatan dengan perubahan pola hidup dan obat anti-diabetik namun tidak dapat mencapati target penurunan kadar gula darah yang diinginkan. Secara umum, aktivitas insulin adalah regulasi metabolisme glukosa. Insulin dan analognya menurunkan kadar glukosa darah dengan merangsang pengambilan glukosa perifer, terutama oleh otot rangka dan lemak, dan dengan menghambat produksi glukosa hati. Insulin menghambat lipolisis di adiposit, menghambat proteolisis, dan meningkatkan sintesis protein. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Untuk pasien diabetes melitus baik dewasa, remaja, dan anak-anak di atas usia 6 tahun yang membutuhkan terapi insulin. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
- Dosis bersifat individual, 1 x sehari diinjeksikan secara subkutan, diberikan pada waktu yang sama tiap harinya. 
- Kebutuhan dosis insulin dipengaruhi oleh pola makan, aktivitas fisik, kerja, atau penyakit lain dari pasien, sehingga harus dipertimbangkan secara individu. 
- Terkadang penyuntikan insulin glargine dikombinasikan dengan insulin kerja cepat, insulin analog kerja singkat, dan obat antidiabetes oral. 
- Jika terdapat perubahan regimen terapi dengan insulin lainnya, dosis insulin glargine perlu disesuaikan termasuk dosis obat kombinasi yang digunakan pada waktu bersamaan. "," Ditentukan dokter. Disuntikan secara subkutan pada area perut, lengan atas atau paha. "
Gea Blood Lancet 28G 200 Pieces,Diabetes,-,-,-,-
Glucodex 80 mg 10 Tablet,Diabetes," GLUCODEX TABLET merupakan obat antidiabetes dengan kandungan Gliclazide yang termasuk dalam golongan sulfonilurea. Obat ini digunakan pada pasien Diabetes Melitus tipe 2 atau Non-Insulin-Dependent (type II) Diabetes Melitus (NIDDM) dimana kadar glukosa darah tidak dapat hanya dikontrol hanya dengan diet, olahraga, dan penurunan berat badan saja. Gliclazide bekerja dengan cara meningkatkan pelepasan insulin dalam darah yang diproduksi oleh sel beta pankreas. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Diabetes Melitus tipe 2 atau Non-Insulin-Dependent (type II) Diabetes Melitus (NIDDM) dimana kadar glukosa darah tidak dapat hanya dikontrol hanya dengan diet, olahraga, dan penurunan berat badan saja. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Dosis awal 40-80 mg per hari, bila perlu dosis dapat ditingkatkan menjadi dosis maksimum 320 mg per hari. ", Dikonsumsi sebelum makan. 
Inlacin 50 mg 6 Kapsul,Diabetes,-,-,-,-
