product_name,category,deskripsi,indikasi_umum,dosis,aturan_pakai

Clungene Covid-19 Antigen Rapid Test Cassette 1 Kit,Alat Kesehatan, Clungene Covid-19 Antigen Rapid Test Cassette 1 Kit merupakan alat test visual immunoassay yang ditujukan untuk pemeriksaan secara kualitatif antigen nukleokapsid SARS Cov-2 pada swab nasal dari individu yang diduga terpapar Covid. ," Sebagai alat kesehatan in vitro diagnostik tes cepat untuk mendeteksi Antigen SARS-COV-2 pada pasien yang diduga terinfeksi COVID-19.
Dalam 1 kit di lengkapi dengan : 1 Pcs Test Cassettes (dikemas individual pouch alumunium foil), 1 Pcs Extraction tubes, 1 Pcs Sterilize swabs, 1 Pcs Dropper tips, 1 Pcs Extraction reagents. ", 0 ," Pemeriksaan sebaiknya dilakukan oleh penyedia layanan kesehatan. 
Dapat digunakan untuk pemakaian mandiri. 
Pengambilan Sampel swab melalui Nasal (Hidung): Masukan swab steril dengan hati-hati ke dalam lubang hidung. Kedalaman usap kurang lebih 2,5 cm. Putar sebanyak 5 kali.

Cara Pemakaian Swab Antigen Rapid Test Clungene: 
1. Buka extraction tube yang sudah berisi reagen.
2. Siapkan sterilized swab 
4. Masukan sterilized swab ke hidung. 
5. Masukan sterilized swab yang sudah memiliki sample Anda ke extraction tube. Putar hingga 5kali. Diamkan selama 1 menit 
6. Angkat sterilized swab dan pasang tutup dropper pada extraction tube. 
7. Buka kemasan Cassette.
8. Teteskan cairan (3-4 tetes) ke test cassettes yang bertanda S. 
9. Tunggu hingga hasil pemeriksaan keluar. "

Safety Thermometer Digital MC-201,Alat Kesehatan, Thermometer Safety MC-201 merupakan alat pengukur suhu tubuh. Termometer ini menyatakan suhu tubuh dengan angka pada layarnya sehingga penggunaannya praktis dan mudah. ," Alat ini digunakan untuk mengukur suhu tubuh digital melalui mulut, ketiak, atau rektal dengan layar LCD untuk menampilkan hasil pengukuran yang menawarkan akurasi, keamanan dan kecepatan dalam pengukuran temperatur. ", Sesuai kebutuhan ," 1. Nyalakan termometer dengan menekan atau menggeser tombol ON. 
2. Masukkan termometer secara perlahan dan hati-hati ke dalam mulut, lipatan ketiak atau liang telinga anak. Untuk pengukuran melalui anus, pastikan sudah memberi cukup pelumas. 
3. Biarkan selama 3 sampai 5 menit atau tunggu sampai ada bunyi yang menunjukkan pengukuran suhu sudah selesai dilakukan. 
4. Setelah itu, ambil termometer dan baca hasil yang tertera pada layar. "

Newlungene Covid-19 Antigen Rapid Test Casette,Alat Kesehatan, Newlungene Covid-19 Antigen Rapid Test Casette merupakan alat swab test antigen yang ditujukan untuk pemeriksaan secara kualitatif antigen nukleokapsid SARS Cov-2 pada swab nasofaring dari individu yang diduga terpapar Covid. ," Sebagai alat kesehatan in vitro diagnostik tes cepat untuk mendeteksi Antigen SARS-COV-2 pada pasien yang diduga terinfeksi COVID-19.
Dalam 1 kit di lengkapi dengan : 1 Pcs Test Cassettes (dikemas individual pouch alumunium foil), 1 Pcs Extraction tubes, 1 Pcs Sterilize swabs, 1 Pcs Dropper tips, 1 Pcs Extraction reagents. ", 0 ," Pemeriksaan hanya dilakukan oleh profesional/penyedia layanan kesehatan. 
Pengambilan Sampel swab melalui Nasofaring (Hidung): - Hadapkan kepala ke atas, sudut 45 derajat. - Masukan sterilized swab sampai ujung hidung, di lubang hidung kanan atau kiri. - Putar 3 kali ke kanan dan 3 kali ke kiri. 

Cara Pemakaian Swab Antigen Rapid Test : 
1. Teteskan cairan reagents ke dalam extraction tube. 
2. Keluarkan cassettes test dari kemasan. 
3. Siapkan sterilized swab dan penutup extraction tube. 
4. Masukan sterilized swab ke mulut atau hidung. 
5.Masukan sterilized swab yang sudah memiliki sample Anda ke extraction tube. Putar hingga 1-2 menit. 
6. Pasang tutup dropper pada extraction tube. 
7. Teteskan cairan (3-4 tetes) ke test cassettes yang bertanda S. 
8. Tunggu hingga hasil pemeriksaan keluar. "

Andalan Strip Uji Kehamilan,Alat Kesehatan," ANDALAN STRIP UJI KEHAMILAN merupakan strip uji kehamilan yang digunakan untuk mendeteksi kehamilan secara cepat dan akurat. Strip ini dapat memperoleh hasil dalam waktu 1 sampai 3 menit dengan tingkat akurasi 99%. Andalan Strip Uji Kehamilan bekerja dengan cara mendeteksi hCG (human Chorionic Gonadotropin), yaitu suatu hormon yang diproduksi oleh sel telur dimana sudah dibuahi dan menempel di dinding rahim, dimana hormon ini akan meningkat dua kali lipat ketika hamil di dalam urin. ", Tes Strip untuk mengetahui kehamilan secara dini. , Sesuai kebutuhan ," Pengujian dapat dilakukan minimal 7 hari setelah berhubungan. Tahapnya dapat dilakukan dengan cara menampung urine pertama yang keluar di pagi hari, kemudian strip dicelupkan ke dalamnya. Dalam waktu 1-3 menit hasil tes dapat terlihat. ( Dua garis : Positif, Satu garis : Negatif) "

One Med Test Kehamilan Strip,Alat Kesehatan," ONE MED TEST KEHAMILAN STRIP adalah alat uji kehamilan yang sangat mudah digunakan dan mempunyai sensitifitas 20 mIU dan akurasi 99.9%. ONE MED TEST KEHAMILAN STRIP sangat praktis dan cepat untuk mengetahui hasil kehamilan. Untuk mendapatkan hasil yang akurat sebaiknya digunakan setelah 7 hari berhubungan. Strip ini bekerja dengan cara mendeteksi tingkat kadar hormon hCG (human Chorionic Gonadotrophin) pada air seni, dimana hormon hCG akan meningkat pada saat awal kehamilan. ", Tes Strip untuk mengetahui kehamilan secara dini. , Sesuai kebutuhan ," Pengujian dapat dilakukan minimal 7 hari setelah berhubungan. Tahapnya dapat dilakukan dengan cara menampung urine pertama yang keluar di pagi hari, kemudian strip dicelupkan ke dalamnya. Dalam waktu 1-3 menit hasil tes dapat terlihat. ( Dua garis : Positif, Satu garis : Negatif) "
