product_name,category,deskripsi,indikasi_umum,dosis,aturan_pakai
ABDI Baterai Alat Bantu Dengar Ukuran 10 (Kuning),Alat Bantu Dengar," Baterai Alat Bantu Dengar ABDI tersedia dalam 4 jenis yakni ukuruan 10 (Kuning), 13 (Orange), 312 (Cokelat), dan 675 (Biru). Masing-masing tipe tersebut memiliki ukuran dan kapasitas baterai yang berbeda, yang berpengaruh pada lamanya masa waktu ketahanan baterai pada jenis alat bantu dengar pilihan Anda. "," Baterai untuk alat bantu dengar.
Spesifikasi:
Ukuran : 10
Warna : Kuning 
Dimensi : 5.8 mm x 3.6 mm
Durasi : 3 - 7 hari
Tipe Alat : CIC (Completely In Canal/di dalam liang telinga). ",-,-
ABDI Baterai Alat Bantu Dengar Ukuran 10 (Kuning) 10 Pack,Alat Bantu Dengar," Baterai Alat Bantu Dengar ABDI tersedia dalam 10 pack dan 4 jenis yakni ukuran 10 (Kuning), 13 (Orange), 312 (Cokelat), dan 675 (Biru). Masing-masing tipe tersebut memiliki ukuran dan kapasitas baterai yang berbeda, yang berpengaruh pada lamanya masa waktu ketahanan baterai pada jenis alat bantu dengar pilihan Anda. "," Baterai untuk alat bantu dengar.
 Spesifikasi:
 Ukuran : 10
 Warna : Kuning 
 Dimensi : 5.8 mm x 3.6 mm
 Durasi : 3 - 7 hari
 Tipe Alat : CIC (Completely In Canal/di dalam liang telinga). ", Sesuai kebutuhan ,-
ABDI Baterai Alat Bantu Dengar Ukuran 13 (Orange),Alat Bantu Dengar," Baterai Alat Bantu Dengar ABDI tersedia dalam 4 jenis yakni ukuruan 10 (Kuning), 13 (Orange), 312 (Cokelat), dan 675 (Biru). Masing-masing tipe tersebut memiliki ukuran dan kapasitas baterai yang berbeda, yang berpengaruh pada lamanya masa waktu ketahanan baterai pada jenis alat bantu dengar pilihan Anda. "," Baterai untuk alat bantu dengar.
Spesifikasi:
Ukuran : 13 
Warna : Orange
Dimensi : 7.9 mm x 5.4 mm
Durasi : 6 - 14 hari 
Tipe Alat : BTE (Behind The Ear) , RIC (Receiver in Canal) ",-,-
ABDI Baterai Alat Bantu Dengar Ukuran 312 (Coklat),Alat Bantu Dengar," Baterai Alat Bantu Dengar ABDI tersedia dalam 4 jenis yakni ukuruan 10 (Kuning), 13 (Orange), 312 (Cokelat), dan 675 (Biru). Masing-masing tipe tersebut memiliki ukuran dan kapasitas baterai yang berbeda, yang berpengaruh pada lamanya masa waktu ketahanan baterai pada jenis alat bantu dengar pilihan Anda. "," Baterai untuk alat bantu dengar.
Spesifikasi:
Ukuran : 312
Warna : Coklat 
Dimensi : 7.9 mm x 3.6 mm
Durasi : 3 - 10 hari
Tipe Alat : RIC (Receiver in Canal), ITC (In The Canal/di liang telinga) ",-,-
ABDI Baterai Alat Bantu Dengar Ukuran 675 (Biru),Alat Bantu Dengar," Baterai Alat Bantu Dengar ABDI tersedia dalam 4 jenis yakni ukuruan 10 (Kuning), 13 (Orange), 312 (Cokelat), dan 675 (Biru). Masing-masing tipe tersebut memiliki ukuran dan kapasitas baterai yang berbeda, yang berpengaruh pada lamanya masa waktu ketahanan baterai pada jenis alat bantu dengar pilihan Anda. "," Baterai untuk alat bantu dengar.
Spesifikasi:
Ukuran : 675 
Warna : Biru 
Dimensi : 11.6 mm x 5.4 mm
Durasi : 9 - 20 hari 
Tipe Alat : BTE (Behind The Ear)  ",-,-
ABDI Baterai Alat Bantu Dengar Ukuran 675 (Biru) 10 Pack,Alat Bantu Dengar," Baterai Alat Bantu Dengar ABDI tersedia dalam 10 pack dan 4 jenis yakni ukuran 10 (Kuning), 13 (Orange), 312 (Cokelat), dan 675 (Biru). Masing-masing tipe tersebut memiliki ukuran dan kapasitas baterai yang berbeda, yang berpengaruh pada lamanya masa waktu ketahanan baterai pada jenis alat bantu dengar pilihan Anda. "," Baterai untuk alat bantu dengar.
 Spesifikasi:
 Ukuran : 675 
 Warna : Biru 
 Dimensi : 11.6 mm x 5.4 mm
 Durasi : 9 - 20 hari 
 Tipe Alat : BTE (Behind The Ear) ", Sesuai kebutuhan ,-
Axon Hearing Aid X-168,Alat Bantu Dengar,-, untuk membantu pendengaran pada usia lanjut , sesuai kebutuhan ," Sebelum pakai set volume ke tingkat minimum atau ke 1. Masukkan alatnya ke telinga anda, masukkan earplugnya hingga pas. Hidupkan powernya, pelan-pelan naikkan volumenya. Jika dengar suara feedback, cek apakah alatnya sudah di pakai secara benar. Jika tidak pas pada lubang telinga, ganti earplugnya ke yang lebih kecil. Jika tidak di gunakan cabut/ copot Batrenya, kalau tidak batere akan cepat habis karena nyala terus
 "
Battery Tester Alat Bantu Dengar (Hearing Aids),Alat Bantu Dengar, Battery tester alat bantu dengar merupakan alat pengukur daya baterai ABD (Alat Bantu Dengar).  , Digunakan sebagai pengukur daya baterai dari alat bantu dengar. ,-," Cara penggunaan: 
1. Letakkan baterai alat bantu dengar pada (tanda +) menghadap ke atas di bagian depan baterai tester. 
2. Tekan dengan halus.
3. Persentase kapasitas baterai akan muncul di layar. "
Hearing Aid Nano Care / Filter,Alat Bantu Dengar," HEARING AID NANO CARE / FILTER merupakan alat yang akan melindungi receiver/speaker pada alat bantu dengar dari kotoran telinga. Alat ini digunakan untuk alat bantu dengar dengan model atau tipe dalam telinga, seperti Completely In Canal (CIC) dan In The Canal (ITC), dan Reciever In Canal (RIC). "," Pelindung receiver/speaker pada alat bantu dengar, sehingga kotoran telinga tidak menempel pada receiver. ",-,-
Illustro A&M T1 P,Alat Bantu Dengar, ILLUSTRO A&M T1 P merupakan alat bantu dengar digital dan programmable dengan tipe Behind the Ear (BTE). Alat ini digunakan untuk membantu penderita gangguan dengar ringan-sedang (26-70 dB). , Alat bantu dengar digital dan programmable dengan tipe Behind the Ear (BTE). Alat ini digunakan untuk membantu penderita gangguan dengar ringan-sedang (26-70 dB). , Sesuai kebutuhan ,-
Kids Klip Alat Bantu Dengar (Hearing Aids),Alat Bantu Dengar, Kids Klip berfunsi sebagai safety klip pengaman alat batu dengar BTE (Behind-the-Ear/receiver di liang telinga). Klip ini dipasangkan dibadan alat dan dijepit ke baju agar tidak jatuh.  , Digunakan sebagai penyangga alat bantu dengar BTE (Behind-the-Ear/receiver di liang telinga) agar tidak mudah terjatuh. ,-, Klip ini dapat dipasangkan/dikaitkan di baju pengguna. 
Onemed Hearing Aid Alat Bantu Dengar HA-125,Alat Bantu Dengar," Onemed Hearing Aid hadir dengan desain yang ergonomis, yang membuat pengguna akan terasa lebih nyaman ketika menggunakan alat bantu dengar ini karena alat bantu dengar ini jenis BTE dimana alat bantu dengar ini dipasang tersembunyi di belakang telinga. "," Alat bantu dengar Behind The Ear (BTE) yang ringkas dan nyaman serta dapat di-setting sendiri tanpa perlu bantuan audiolog.

Specifications:
Sound Output: 128 +/- 5 db
Sound Gain: 40 dB
Harmonic Distortion: <= 5%
Frequency Range: 100-600 Hz
Current <= 5.0 mA

Including:
1 Hearing Aid
2 LR75A Batteries
3 Ear Tips
1 Wallet Box
1 Instruction Manual ",-,-
Selang Tubing Melawai,Alat Bantu Dengar, SELANG TUBING MELAWAI merupakan alat bantu pendengaran berupa selang yang berfungsi untuk menyambungkan Earmould ke Alat Bantu Dengar , Alat bantu pendengaran berupa selang yang berfungsi untuk menyambungkan Earmould ke Alat Bantu Dengar , Sesuai kebutuhan ,-
Starkey Aries Bte (Behind The Ear) 675,Alat Bantu Dengar," Starkey Aries BTE 675 merupakan alat bantu dengar (Hearing aid) dibuat di USA. Alat ini memiliki fitur : Telecoil, Directional Microphone, 4 Channel, Battery 675 "," Alat Bantu Dengar (Hearing Aid) yang dibuat oleh Starkey Laboratories Inc USA. 
Spesifikasi :
Tipe : Aries BTE 675
Gain : 80 dB
Max Power : 140 dB
Fitur : Telecoil, Directional Microphone, 4 Channel, Battery 675

Garansi : 1 Tahun ",-,-
Starkey Aries Bte (Behind The Ear) D13,Alat Bantu Dengar," Starkey Aries BTE D13 merupakan alat bantu dengar (Hearing aid) dibuat di USA. Alat ini memiliki fitur : Telecoil, Directional Microphone, 4 Channel, Battery 13. "," Alat Bantu Dengar (Hearing Aid) yang dibuat oleh Starkey Laboratories Inc USA. 
Spesifikasi :
Tipe : Aries D13
Gain : 67 dB
Max Power : 130 dB
Fitur : Telecoil, Directional Microphone, 4 Channel, Battery 13

Garansi : 1 Tahun ",-,-
Tubing Earmold Alat Bantu Dengar (Hearing Aids) 10 cm,Alat Bantu Dengar, Tubing Earmold Hearing Aids merupakan selang dengan ukuran 10 cm yang digunakan untuk menyambungkan Alat Bantu Dengar (Hearing aids) dengan cetakan telinga.  ," Earmold tubing untuk penghubung antara alat bantu dengar dengan cetakan telinga earmold. 
Spesifikasi alat 
Ukuran : 10 cm
Warna : putih bening
Tipe alat : BTE (Behind-the-Ear) ",-,-
Vikacare Hearing Aid Diamond Vk-125,Alat Bantu Dengar,-, Alat bantu dengar ,-,-
Vikacare Hearing Aid Golden Vk-115,Alat Bantu Dengar,-, Alat bantu dengar ,-,-
Widex Evoke 50 Fa,Alat Bantu Dengar, WIDEX EVOKE 50 FA merupakan alat bantu dengar digital dan programmable dengan tipe Behind the Ear (BTE). Alat ini digunakan untuk membantu penderita gangguan dengar ringan-sedang (26-70 dB). , Alat bantu dengar digital dan programmable dengan tipe Behind the Ear (BTE). Alat ini digunakan untuk membantu penderita gangguan dengar ringan-sedang (26-70 dB). , Sesuai kebutuhan ,-
Widex Evoke 50 Fp,Alat Bantu Dengar, WIDEX EVOKE 50 FP merupakan alat bantu dengar digital dan programmable dengan tipe Behind the Ear (BTE). Alat ini digunakan untuk membantu penderita gangguan dengar sedang-berat (41-90 dB) , Alat bantu dengar digital dan programmable dengan tipe Behind the Ear (BTE). Alat ini digunakan untuk membantu penderita gangguan dengar sedang-berat (41-90 dB) , Sesuai kebutuhan ,-
