product_name,category,deskripsi,indikasi_umum,dosis,aturan_pakai
NaCl 0.9 % Infus 500 ml (Natrium Chloride / Sodium Chloride),Lainnya, NACL 0.9 % merupakan cairan infus yang mengandung NaCl 0.9%. Infus ini digunakan untuk mengembalikan keseimbangan elektrolit pada dehidrasi. Ion natrium adalah elektrolit utama pada cairan ekstraselular yang diperlukan dalam distribusi cairan dan elektrolit lainnya. Ion klorida berperan sebagai buffering agen pada paru-paru dan jaringan. Ion ini membantu memfasilitasi oksigen dan karbon dioksida untuk berikatan dengan hemoglobin. Ion natrium dan ion klorida diatur oleh ginjal yang mengontrol homeostatis dengan absopsi atau ekskresi pada tubulus. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER.  ," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS.
Mengembalikan keseimbangan elektrolit pada keadaan dehidrasi. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
- Sebagai pengganti cairan atau elektolit tubuh:
- Dosis, kecepatan infus, dan durasi pemberian bersifat individual berdasarkan kondisi tiap pasien. Kondisi seperti usia, berat badan, dan hasil laboratorium pasien. ", Sesuai dengan petunjuk dokter 
Kalnex 500 mg 10 Tablet,Lainnya," KALNEX 500 MG TABLET adalah obat dengan kandungan Asam Traneksamat 500 mg. Asam Traneksamat merupakan golongan anti-fibrinolitik yang digunakan untuk membantu menghentikan pendarahan pada sejumlah kondisi, misalnya mimisan, cedera, pendarahan akibat menstruasi berlebihan, dan pendarahan pada penderita angio-edema turunan. Asam Traneksamat merupakan competitive inhibitor dari aktivator plasminogen dan penghambat plasmin. Plasmin sendiri berperan menghancurkan fibrinogen, fibrin dari faktor pembekuan darah lain, oleh karena itu Asam Traneksamat dapat digunakan untuk mengatasi perdarahan akibat fibrinolisis yang berlebihan. Kegunaan Asam Traneksamat lainnya termasuk untuk mengatasi masalah pendarahan abnormal pascaoperasi dan mengurangi pendarahan akibat pencabutan gigi pada penderita hemofilia. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Fibrinolisis lokal, prostatectomy, cervical conisation, angioneuretic edema herediter, abnormal perdarahan setelah operasi, perdarahan pada ekstraksi gigi pada pasien hemofilia "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
1 tablet, 3-4 kali sehari ", Diberikan sebelum atau sesudah makan 
NaCl 0.9 % Infus 25 ml (Natrium Chloride / Sodium Chloride),Lainnya," NATRIUM CHLORIDE / SODIUM CHLORIDE 0.9% INFUS merupakan larutan steril untuk injeksi intravena. Obat ini digunakan untuk pengobatan dehidrasi isotonik ekstraseluler, deplesi natrium dan juga dapat digunakan sebagai pelarut sediaan injeksi. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
obat yang digunakan sebagai pengganti cairan tubuh "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Dosis penggunaan NaCl 0.9% Otsu Infus juga harus dikonsultasikan dengan Dokter terlebih dahulu sebelum digunakan, karena Dosis Penggunaan nya berbeda-beda setiap individu nya tergantung berat tidaknya penyakit yang diderita. ", konsultasikan dengan Dokter terlebih dahulu sebelum digunakan 
Asam Traneksamat 500 mg 10 Tablet,Lainnya," ASAM TRANEKSAMAT 500 MG TABLET adalah obat generik golongan anti-fibrinolitik yang digunakan untuk membantu menghentikan pendarahan pada sejumlah kondisi, misalnya mimisan, cedera, pendarahan akibat menstruasi berlebihan, dan pendarahan pada penderita angio-edema turunan. Asam Traneksamat merupakan competitive inhibitor dari aktivator plasminogen dan penghambat plasmin. Plasmin sendiri berperan menghancurkan fibrinogen, fibrin dari faktor pembekuan darah lain, oleh karena itu Asam Traneksamat dapat digunakan untuk mengatasi perdarahan akibat fibrinolisis yang berlebihan. Kegunaan Asam Traneksamat lainnya termasuk untuk mengatasi masalah pendarahan abnormal pascaoperasi dan mengurangi pendarahan akibat pencabutan gigi pada penderita hemofilia. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Fibrinolisis lokal, prostatectomy, cervical conisation, angioneuretic edema herediter, abnormal perdarahan setelah operasi, perdarahan pada ekstraksi gigi pada pasien hemofilia "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
1 tablet, 3-4 kali sehari ", Diberikan sebelum atau sesudah makan 
Otopain Ear Drop 8 ml,Lainnya," OTOPAIN EAR DROP 8 ML mengandung Polimiksin B sulfate, Neomicyn Sulfate, Fludrokortison Acetate dan LIdocain HCl. Obat ini digunakan untuk mengatasi penyakit infeksi pada telinga dengan beberapa gejalanya berupa rasa nyeri, bengkak, gatal dan telinga berair. Ini merupakan obat kombinasi yang terdiri dari antibiotika, analgetik dan antiradang. Antibiotik yang terdapat pada OTOPAIN EAR DROP yaitu Polymiksin B sulfate dan Neomycin sulfate merupakan antibiotika spektrum luas. Anti radang yang terkandung yaitu Fludrokortison Acetate yang memiliki efek anti inflamasi, anti alergi sekaligus anti gatal. Sedangkan untuk analgetik berupa LIdocain HCl yang merupakan zat anestesi untuk mengurangi sakit pada telinga. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Otitis eksterna akut, otitis media kronis "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
2-4 x sehari 4-5 tetes ", Tetes telinga 
NaCl 0.9% Infus 100 ml (Natrium Chloride / Sodium Chloride),Lainnya, NATRIUM CHLORIDE merupakan cairan infus yang mengandung NaCl 0.9%. Infus ini digunakan untuk mengembalikan keseimbangan elektrolit pada dehidrasi. Ion natrium adalah elektrolit utama pada cairan ekstraselular yang diperlukan dalam distribusi cairan dan elektrolit lainnya. Ion klorida berperan sebagai buffering agen pada paru-paru dan jaringan. Ion ini membantu memfasilitasi oksigen dan karbon dioksida untuk berikatan dengan hemoglobin. Ion natrium dan ion klorida diatur oleh ginjal yang mengontrol homeostatis dengan absopsi atau ekskresi pada tubulus. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. ," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
- Untuk penderita hiponatremia atau sindrom rendah garam. 
- Sebagai zat pembawa atau pelarut untuk obat-obatan infus. 
- Untuk mengganti kehilangan air dan natrium klorida. 
- Untuk mengganti cairan ekstraseluler. 
- Untuk terapi alkalosis metabolik karena kehilangan cairan dan deplesi natrium ringan. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. 
Sebagai pengganti cairan atau elektrolit tubuh: 
Dosis, kecepatan infus, dan durasi pemberian bersifat individual berdasarkan kondisi tiap pasien. 
Kondisi yang dipertimbangkan seperti seperti usia, berat badan, dan hasil laboratorium pasien. "," Secara intravena.
Sesuai dengan petunjuk dokter "
Ecosol Nacl 0.9 % Infus 500 ml (Natrium Chloride / Sodium Chloride),Lainnya," ECOSOL NACL 500 ML merupakan cairan infus yang mengandung NaCl 0.9%. Infus ini digunakan sebagai pengganti cairan isotonik plasma; mengatasi kekurangan natrium klorida, alkalosis hipokloremik; dan sebagai larutan pengantar untuk pengobatan tambahan. Natrium klorida merupakan garam utama yang berperan dalam mempertahakan kondisi osmosis darah dan jaringan, perubahan kadar Natrium dan Klorida akan mengubah kondisi ini dan memengaruhi pergerakan cairan dan difusi garam dalam jaringan seluler.  Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER.  "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS.
- Pengganti cairan isotonis plasma 
- Kekurangan natrium dan klorida 
- Alkalosis Hipokloremik 
- Larutan pengantar untuk pengobatan tambahan "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Dosis, kecepatan infus, dan durasi pemberian bersifat individual berdasarkan kondisi tiap pasien. Kondisi seperti usia, berat badan, dan hasil laboratorium pasien. "," Secara intravena.
Sesuai dengan petunjuk dokter "
Lapibal 500 mcg 10 Kapsul,Lainnya, LAPIBAL 500 MCG mengandung mecobalamin yang merupakan satu bentuk kimiawi-nya berupa co-enzyme dari B12. Obat ini digunakan untuk mengobati neuropati perifer (saraf tepi) dan anemia megaloblastik yang disebabkan oleh defisiensi vitamin B12. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. ," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS.  
Neuropati perifer, anemia megalobastik karena defisiensi vitamin B12 "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.  
3 x sehari 1 kapsul, dapat menyesuaikan dosis tergantung pada usia dan tingkat keparahan pasien ", Sebelum atau sesudah makan 
Forumen 5 mg/ml Ear Drops 10 ml,Lainnya, FORUMEN EAR DROP 10 ML mengandung Natrium Docusate yang merupakan obat yang digunakan untuk membantu menyingkirkan serumen atau kotoran telinga. FORUMEN EAR DROP merupakan cairan yang dapat mengencerkan kotoran pada telinga sehingga membuat telinga kembali bersih. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. ," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
 Membantu membersihkan serumen telinga "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
 Teteskan secukupnya pada telinga yang mau dibersihkan, tidak boleh lebih dari 2 malam berturut-turut ", Diteteskan pada telinga 
Methycobal 500 mcg 10 Kapsul,Lainnya, METHYCOBAL mengandung mecobalamin yang merupakan satu bentuk kimiawi-nya berupa co-enzyme dari B12. Obat ini digunakan untuk mengobati neuropati perifer (saraf tepi) dan anemia megaloblastik yang disebabkan oleh defisiensi vitamin B12. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. ," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS.  
Neuropati perifer, anemia megalobastik karena defisiensi vitamin B12 "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.  
3 x sehari 1 kapsul, dapat menyesuaikan dosis tergantung pada usia dan tingkat keparahan pasien ", Sebelum atau sesudah makan 
