product_name,category,deskripsi,indikasi_umum,dosis,aturan_pakai
Vicks Vaporub 10 g,Minyak Angin & Balsam, VICKS VAPORUB adalah obat gosok untuk meringankan gejala pilek dan batuk karena flu , Obat gosok untuk meringankan gejala pilek dan batuk karena flu , Digunakan sesuai dengan kebutuhan ," Gunakan setiap kali diperlukan pada dada, leher dan punggung untuk usia 2 tahun ke atas. "
Cap Lang Minyak Kayu Putih 120 ml,Minyak Angin & Balsam," CAP LANG MINYAK KAYU PUTIH adalah minyak putih alami yang digunakan untuk membantu meringankan sakit perut, perut kembung, rasa mual, dan gatal-gatal akibat gigitan serangga/nyamuk "," Membantu meredakan masuk angin, perut kembung, rasa mual, pusing, sakit kepala, gatal-gatal karena gigitan serangga atau nyamuk ", Oleskan secukupnya , Gosokkan secukupnya pada bagian tubuh yang diinginkan 
Vicks Vaporub 25 g,Minyak Angin & Balsam, VICKS VAPORUB adalah obat gosok untuk meringankan gejala pilek dan batuk karena flu , Obat gosok untuk meringankan gejala pilek dan batuk karena flu , Digunakan sesuai dengan kebutuhan ," Gunakan setiap kali diperlukan pada dada, leher dan punggung untuk usia 2 tahun ke atas. "
Cap Lang Minyak Kayu Putih 30 ml,Minyak Angin & Balsam," CAP LANG MINYAK KAYU PUTIH adalah minyak putih alami yang digunakan untuk membantu meringankan sakit perut, perut kembung, rasa mual, dan gatal-gatal akibat gigitan serangga/nyamuk "," Membantu meredakan masuk angin, perut kembung, rasa mual, pusing, sakit kepala, gatal-gatal karena gigitan serangga atau nyamuk ", Oleskan secukupnya , Gosokkan secukupnya pada bagian tubuh yang diinginkan 
Plossa Inhaler & Roll On Eucalyptus 8 ml,Minyak Angin & Balsam," PLOSSA EUCALYPTUS merupakan minyak angin aromatherapy yang digunakan untuk meredakan perut kembung, pusing, pegal-pegal, masuk angin dan mabuk perjalanan. Produk ini mengandung Cajuput Oil (minyak kayu putih) yang memberikan efek hangat pada tubuh, peppermint membantu melegakan saluran nafas, Menthol dan camphor yang memberikan efek relaxasasi. "," Produk ini digunakan sebagai Roll-On dan Inhaler untuk membantu meredakan pegal-pegal, sakit kepala, gejala masuk angin, kembung, mual, aromatherapi yang menyegarkan. ", 0 , Oleskan pada bagian tubuh yang ingin dihangatkan 
Freshcare Roll On Minyak Angin Citrus 10 ml,Minyak Angin & Balsam," FRESHCARE ROLL ON MINYAK ANGIN CITRUS adalah minyak angin yang digunakan untuk meredakan perut kembung, pusing, masuk angin dan mabuk perjalanan. Produk ini mengandung olive oil sebagai anti iritasi bila dipakai berulang, Menthol dan camphor yang memberikan efek relaxasasi. "," Minyak ini digunakan untuk mengurangi sakit kepala, perut kembung, masuk angin, mabuk perjalanan, gejala flu, pegal pegal, gatal akibat gigitan serangga "," Gosokkan secukupnya pada kening, dada, hidung atau pada bagian yang sakit lainnya. "," Gunakan secukupnya pada dada, kening, hidung atau pada bagian yang sakit lainnya. "
Minyak Kutus Kutus 100 ml,Minyak Angin & Balsam," MINYAK KUTUS KUTUS merupakan minyak gosok yang terbuat dari bahan herbal yag berasal dari beragam tanaman herbal yang diolah secara khusus, sehingga menghasilkan minyak yang aman dan nyaman untuk digunakan. Minyak gosok ini digunakan untuk membantu meredakan masuk angin, perut kembung, pegal linu, nyeri pada persendian, dan meringankan gatal akibat gigitan serangga. "," Minyak gosok ini digunakan untuk membantu meredakan masuk angin, perut kembung, pegal linu, nyeri pada persendian, dan meringankan gatal akibat gigitan serangga. ", oleskan sesuai kebutuhan ," Gosokan secukupnya pada kening, dada, hidung atau pada bagian yang sakit lainnya. "
Zam Buk Ointment 8 g,Minyak Angin & Balsam," ZAM BUK OINTMENT merupakan salep obat dengan kandungan Eucalyptus oil, Camphor, Thyme Oil, Colophony. Kandungan ZAM BUK OINTMENT efektif membantu meredakan memar dan terkilir ringan, gatal akibat gigitan serangga dan nyamuk, serta membantu meredakan rasa nyeri dan gatal gatal yang berkaitan dengan luka ringan. "," Meredakan rasa nyeri, gatal dengan luka ringan, gatal gigitan serangga dan nyamuk, meredakan memar dan terkilir ringan ", Digunakan sesuai dengan kebutuhan ," Oleskan ZAM BUK bila diperlukan. 
1. Bersihkan area yang akan dioles. 
2. Oleskan dengan lembut di tempat yang terkena. 
3. Segera tutup kembali kemasan. "
Freshcare Press & Relax Strong 10 ml,Minyak Angin & Balsam," FRESHCARE PRESS & RELAX STRONG adalah minyak angin yang digunakan untuk meredakan perut kembung, pusing, masuk angin dan mabuk perjalanan. Produk ini mengandung olive oil sebagai anti iritasi bila dipakai berulang, Menthol dan camphor yang memberikan efek relaxasasi. "," Minyak ini digunakan untuk mengurangi sakit kepala, perut kembung, masuk angin, mabuk perjalanan, gejala flu, pegal pegal, gatal akibat gigitan serangga. ", 0 ," Gosok atau kerik secukupnya pada kening, dada, hidung atau pada bagian yang sakit lainnya. "
Freshcare Roll On Minyak Angin Lavender 10 ml,Minyak Angin & Balsam," FRESHCARE ROLL ON MINYAK ANGIN LAVENDER adalah minyak angin yang digunakan untuk meredakan perut kembung, pusing, masuk angin dan mabuk perjalanan. Produk ini mengandung olive oil sebagai anti iritasi bila dipakai berulang, Menthol dan camphor yang memberikan efek relaxasasi. "," Minyak ini digunakan untuk mengurangi sakit kepala, perut kembung, masuk angin, mabuk perjalanan, gejala flu, pegal pegal, gatal akibat gigitan serangga. ", Sesuai kebutuhan. ," Gosokan secukupnya pada kening, dada, hidung atau pada bagian yang sakit lainnya. "
