product_name,category,deskripsi,indikasi_umum,dosis,aturan_pakai
Dextamine Sirup 60 ml,Alergi," DEXTAMINE SIRUP merupakan obat dengan kandungan Dexamethasone (glukokortikoid) dan Dexchlorpheniramine Maleate. Obat ini bekerja sebagai antiinflamasi dan antialergi/antihistamin.  
Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS.  
Mengatasi rhinitis alergi (radang selaput lendir), alergi obat, asma, hay fever, dan dermatitis kontak ataupun atopik. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Dewasa : 1-2 sendok takar (5-10 ml), diminum 3 kali sehari.   
Anak : 1/2 sendok takar (2,5 ml), diminum 3 kali sehari. ", Sesudah makan 
Lerzin 10 mg 10 Kapsul,Alergi," LERZIN 10 MG KAPSUL merupakan obat yang mengandung Cetirizine HCl 10 mg. Cetirizine merupakan antihistamin yang secara kompetitif dan selektif menghambat reseptor H1 di saluran pencernaan, pembuluh darah, dan saluran pernapasan. Obat ini diindikasikan untuk mengobati rinitis menahun, rinitis alergi seasonal, konjungtivitis, pruritus, urtikaria idiopati kronis. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
 Rinitis menahun, rinitis alergi seasonal, konjungtivitis, pruritus, urtikaria idiopati kronis. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. 
 Kondisi alergi
 Dosis yang dianjurkan: 
 Dewasa & anak umur >12 tahun: 10 mg sekali sehari. 
 Anak umur 2-6 tahun: 2,5 mg dua kali sehari. 
 Anak umur 6-12 tahun: 5 mg dua kali sehari. 
 Lansia: Belum ada data untuk menurunkan dosis pada pasien lansia. 
 Insufisiensi ginjal: dosis 1/2 kali dosis yang dianjurkan. ", Sebelum atau sesudah makan 
Ryvel Sirup 60 ml,Alergi," RYVEL SIRUP merupakan obat yang mengandung Cetirizine 2HCl 5 mg/5 ml. Cetirizine merupakan antihistamin yang secara kompetitif dan selektif menghambat reseptor H1 di saluran pencernaan, pembuluh darah, dan saluran pernapasan. Obat ini diindikasikan untuk mengobati rinitis menahun, rinitis alergi seasonal, konjungtivitis, pruritus, urtikaria idiopati kronis. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS.  
Rinitis menahun, rinitis alergi seasonal, konjungtivitis, pruritus, urtikaria idiopati kronis. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.  
Kondisi alergi
Dosis yang dianjurkan:  
Dewasa & anak umur >12 tahun: 10 mg sekali sehari.  
Anak umur 2-6 tahun: 2,5 mg dua kali sehari.  
Anak umur 6-12 tahun: 5 mg dua kali sehari. 
Lansia: Belum ada data untuk menurunkan dosis pada pasien lansia.  
Insufisiensi ginjal: dosis 1/2 kali dosis yang dianjurkan. ", Sebelum / sesudah makan 
Ryvel Drops 10 ml,Alergi," RYVEL DROP merupakan obat yang mengandung Cetirizine 2HCl 10 mg/ml. Cetirizine merupakan antihistamin yang secara kompetitif dan selektif menghambat reseptor H1 di saluran pencernaan, pembuluh darah, dan saluran pernapasan. Obat ini diindikasikan untuk mengobati rinitis menahun, rinitis alergi seasonal, konjungtivitis, pruritus, urtikaria idiopati kronis. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS.  
Rinitis menahun, rinitis alergi seasonal, konjungtivitis, pruritus, urtikaria idiopati kronis. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.  
Kondisi alergi
Dosis yang dianjurkan:  
Dewasa & anak umur >12 tahun: 10 mg sekali sehari.  
Anak umur 2-6 tahun: 2,5 mg dua kali sehari.  
Anak umur 6-12 tahun: 5 mg dua kali sehari. 
Lansia: Belum ada data untuk menurunkan dosis pada pasien lansia.  
Insufisiensi ginjal: dosis 1/2 kali dosis yang dianjurkan. ", Sebelum atau sesudah makan 
Cerini 10 mg 10 Kaplet,Alergi," CERINI mengandung cetirizine 10 mg. Cetirizine merupakan antihistamin yang secara kompetitif dan selektif menghambat reseptor H1 di saluran pencernaan, pembuluh darah, dan saluran pernapasan. Obat ini diindikasikan untuk mengobati rinitis menahun, rinitis alergi seasonal, konjungtivitis, pruritus, urtikaria idiopati kronis. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
 Rinitis menahun, rinitis alergi seasonal, konjungtivitis, pruritus, urtikaria idiopati kronis. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. 
 Kondisi alergi
 Dosis yang dianjurkan: 
 Dewasa & anak umur >12 tahun: 10 mg sekali sehari. 
 Anak umur 2-6 tahun: 2,5 mg dua kali sehari. 
 Anak umur 6-12 tahun: 5 mg dua kali sehari. 
 Lansia: Belum ada data untuk menurunkan dosis pada pasien lansia. 
 Insufisiensi ginjal: dosis 1/2 kali dosis yang dianjurkan. ", Sebelum atau sesudah makan 
Alloris 10 mg 10 Tablet,Alergi," ALLORIS TABLET merupakan obat dengan kandungan Loratadine dalam bentuk tablet. Loratadine merupakan turunan piperidin, yakni antihistamin non-sedatif kerja panjang yang secara selektif menghambat reseptor histamin H1 pada sel efektor. Loratadin digunakan untuk gejala alergi seperti hay fever, urtikaria. Dalam menggunakan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS.  
Obat ini digunakan untuk meredakan gejala alergi seperti hay fever, urtikaria. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.  
Dewasa dan anak usia lebih dari 12 tahun : 10 mg sekali sehari atau 5 mg dua kali sehari.  
Anak usia 2-12 tahun :  
BB kurang dari 30 kg: 5 mg sekali sehari.  
BB lebih dari 30: 10 mg, sekali sehari. ", Diminum sebelum atau sesudah makan 
Cetirizine Sirup 60 ml,Alergi," CETIRIZINE merupakan antihistamin yang secara kompetitif dan selektif menghambat reseptor H1 di saluran pencernaan, pembuluh darah, dan saluran pernapasan. Obat ini diindikasikan untuk mengobati rinitis menahun, rinitis alergi seasonal, konjungtivitis, pruritus, urtikaria idiopati kronis. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS.  
Rinitis menahun, rinitis alergi seasonal, konjungtivitis, pruritus, urtikaria idiopati kronis. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.  
Kondisi alergi
Dosis yang dianjurkan:  
Dewasa & anak umur >12 tahun: 10 mg sekali sehari.  
Anak umur 2-6 tahun: 2,5 mg dua kali sehari.  
Anak umur 6-12 tahun: 5 mg dua kali sehari. 
Lansia: Belum ada data untuk menurunkan dosis pada pasien lansia.  
Insufisiensi ginjal: dosis 1/2 kali dosis yang dianjurkan. ", Dikonsumsi sesudah makan 
Dexteem Plus 10 Tablet,Alergi," DEXTEEM PLUS TABLET adalah obat kombinasi kortikosteroid Dexamethason dan antihistamin Dexchlorpheniramin. Obat ini memiliki efek antiinflamasi, antialergi, dan antihistamin. DEXTEEM PLUS TABLET digunakan untuk mengobati kasus-kasus alergi dan inflamasi yang membutuhkan terapi dengan kortikosteroid, seperti gatal-gatal pada kulit, dermatitis (eksim), reaksi alergi obat, rhinitis alergi, asma, dan lain-lain. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Alergi yang memerlukan terapi dengan kostikosteroid "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Dewasa dan anak >12 tahun: dosis awal 1 tablet setiap 4-6 jam sehari sesudah makan atau sebelum tidur ", Obat diminum sesudah makan 
CTM 4 mg 12 Tablet,Alergi," CTM 4 MG TABLET merupakan obat anti alergi yang mengandung zat aktif Chlorpheniramine maleat. CTM bekerja secara antagonis terhadap efek histamin pada reseptor H1, dimana dapat menyebabkan efek samping berupa mengantuk. Obat ini digunakan untuk mengatasi gejala alergi seperti rhinitis alergi, urtikaria, bersin-bersin, mata berair, gatal pada mata, hidung, tenggorokan atau kulit. "," Obat ini digunakan untuk mengatasi gejala alergi, seperti gatal-gatal, urtikaria, dermatitis. "," Dewasa : 
1 Tablet, diminum 3-4 kali per hari.
Anak :  
0.5 Tablet, diminum 3-4 kali per hari. ", Diberikan bersama atau tanpa makanan 
Claritin 10 mg 10 Tablet,Alergi," CLARITIN TABLET merupakan obat yang mengandung Loratadin. Loratadin merupakan turunan piperidin, yakni antihistamin non-sedatif kerja panjang yang secara selektif menghambat reseptor histamin H1 pada sel efektor. Loratadin digunakan untuk gejala alergi seperti hay fever, urtikaria. Dalam menggunakan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER.  "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS.  
Obat ini digunakan untuk meredakan gejala alergi seperti hay fever, urtikaria. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. 
Dewasa dan anak usia lebih dari 12 tahun : 10 mg sekali sehari atau 5 mg, 2 x sehari.  

Anak usia 2-12 tahun : 
- BB kurang dari 30 kg: 5 mg, 1 x sehari.   
- BB lebih dari 30: 10 mg, 1 x sehari. "," Dapat dikonsumsi sebelum, bersama atau sesudah makan. "
