product_name,category,deskripsi,indikasi_umum,dosis,aturan_pakai
Cefixime 200 mg 10 Kapsul,Antibiotik & Anti Jamur," CEFIXIME 200 MG KAPSUL merupakakan obat generik yang mengandung Cefixime 200 mg per tablet. Cefixime adalah antibiotik golongan cephalosporin generasi ketiga. Cefixime merupakan antibiotik yang memiliki spektrum luas, aktif terhadap bakteri gram negatif mapun gram positif. Antibiotik ini digunakan untuk mengobati infeksi saluran kemih tanpa komplikasi, otitis media, faringiris dan tonsilitis, serta bronkitis akut dan kronis dengan eksaserbasi akut. Obat ini bekerja sebagai bakterisidal dengan mekanisme kerja obat dengan cara mengikat satu atau lebih penicillin-binding proteins (PBP) yang menghambat transpeptidasi tahap terakhir dari sintesis peptidoglikan di dinding sel bakteri, sehingga menghambat biosintesis dan mencegah pembentukan dinding sel yang mengakibatkan kematian sel bakteri. Dalam menggunakan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS.  
Infeksi saluran kemih tanpa komplikasi, otitis media, (radang rongga gendang telinga), faringitis dan tonsilitis, bronkhitis akut dan kronis serta eksaserbasi (kumatnya penyakit atau gejala penyakit secara mendadak) akut  "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.  
Dewasa: 200-400 mg per hari diberikan sebagai dosis tunggal atau dalam 2 dosis terbagi selama 7 hari, dapat dilanjutkan hingga 14 hari jika perlu, tergantung pada tingkat keparahan infeksi.  

Anak: >6 bulan sampai <10 tahun dengan berat badan <50 kg: 8 mg/kg setiap hari sebagai dosis tunggal atau dalam 2 dosis terbagi.  
>10 tahun dengan berat >50 kg: Sama dengan dosis dewasa.  
Demam tifoid anak: 10-15 mg/KgBB/hari, terbagi dalam 2 dosis, diberikan selama 10 hari. ", Dikonsumsi sebelum atau sesudah makan. Dapat diberikan bersama makanan untuk mengurangi rasa tidak nyaman pada saluran pencernaan. 
Cefadroxil 500 mg 10 Kapsul,Antibiotik & Anti Jamur," CEFADROXIL merupakan antibiotika golongan Cefalosporin. Antibiotika ini bekerja dengan cara mengikat 1 atau lebih protein pengikat penisilin (PBPs) yang pada gilirannya menghalangi langkah transpeptidasi akhir sintesis peptidoglikan di dinding sel bakteri, sehingga menghambat biosintesis dinding sel dan menahan perakitan dinding sel yang mengakibatkan lisis bakteri. Antibiotik ini digunakan untuk mengatasi infeksi saluran pernafasan, saluran kemih dan kelamin serta infeksi kulit dan jaringan lunak. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS.  
Mengatasi infeksi saluran pernafasan, saluran kemih dan kelamin serta infeksi kulit dan jaringan lunak "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.  
Infeksi kulit dan struktur kulit, Infeksi saluran kemih  
Dewasa: Dosis biasa: 1 atau 2 g setiap hari sebagai dosis tunggal atau dalam 2 dosis terbagi. Dosis individual berdasarkan kerentanan patogen, tingkat keparahan infeksi, dan status klinis pasien.  
Anak: 6 tahun Dosis anjuran:  
<40 kg: 30-50 mg/kg setiap hari sebagai dosis tunggal atau dalam 2 dosis terbagi. Maks: 100 mg/kg setiap hari. >40 kg: Sama seperti dosis dewasa.  

Faringitis streptokokus, Tonsilitis
Dewasa: Untuk kasus yang disebabkan oleh galur Streptococcus pyogenes yang rentan (streptokokus -hemolitik grup A): 1 g sekali sehari atau 500 mg dua kali sehari selama setidaknya 10 hari.  
Anak: Dosis yang dianjurkan: <40 kg: 30 mg/kg setiap hari sebagai dosis tunggal atau dalam 2 dosis terbagi selama minimal 10 hari. Maks: 100 mg/kg setiap hari. >40 kg: Sama seperti dosis dewasa. ", Sesudah makan 
Amoxicillin 500 mg 10 Kaplet,Antibiotik & Anti Jamur," AMOXICILLIN adalah antibiotik golongan aminopenisilin semisintetik yang menghambat langkah transpeptidasi akhir sintesis peptidoglikan di dinding sel bakteri dengan mengikat 1 atau lebih protein pengikat penisilin (PBP), sehingga menghambat biosintesis dinding sel dan akhirnya menyebabkan lisis bakteri. Obat ini digunakan untuk infeksi yang disebabkan oleh strain-strain bakteri yang peka spt Staphylococcus bukan penghasil penisilinase, Streptococcus, E.Coli, H.Influenzae, Streptococcus Pneumoniae, Streptococcus Faecalis, P.mirabilia dan N.Gonorrheae (bukan penghasil penisilinase) pada penyakit infeksi kulit dan jaringan lunak, infeksi saluran pernafasan, infeksi saluran genitourinari, dan gonore. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS.   
Penyakit infeksi kulit dan jaringan lunak, infeksi saluran pernafasan, infeksi saluran genitourinari, dan gonore yang disebabkan organisme Gram positif & Gram Negatif yang peka terhadap Amoxicillin "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.  
Dewasa dan Anak 20 mg/kgBB/hr : 250-500 mg.  
Anak dengan BB <20 kg : 20-40 mg/kgBB dalam 2 dosis terbagi tiap 8 jam.  
Infeksi berat Dosis ganda.  
GO akut 2-3 g dosis tunggal. ", Sesudah makan 
Azithromycin 500 mg Tablet,Antibiotik & Anti Jamur," AZITHROMYCIN adalah obat antibiotik generik golongan makrolida yang aktivitasnya terhadap bakteri gram positif dan gram negatif. Obat ini bekerja dengan cara mengikat sub unit 50s dari ribosom bakteri sehingga menghambat translasi mRNA. Dengan demikian sistesis protein akan terganggu sehingga pertumbuhan bakteri akan terhambat. Obat ini digunakan untuk pengobatan infeksi yang disebabkan oleh H. influenzae, M. catarrhalis, S. pneumoniae, C. pneumoniae, H. influenzae, Streptococcus pyogenes, S. aureus, atau S. agalactiae. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Infeksi saluran napas atas & bawah, kulit & struktur kulit, uretritis & servisitis non GO krn Chlamydia trachomatis "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Dewasa : 1 g dosis tunggal oral. Semua indikasi lainnya 500 mg 1 x/hari selama 3 hari. Anak 10 mg/kg BB/hari dosis tunggal selama 3 hari.
 ", Dapat diberikan bersama makanan untuk mengurangi rasa tidak nyaman pada GI 
Cefixime Sirup 30 ml,Antibiotik & Anti Jamur," CEFIXIME SIRUP merupakakan obat generik yang mengandung Cefixime 100 mg/5 ml.  Cefixime adalah antibiotik golongan cephalosporin generasi ketiga. Cefixime merupakan antibiotik yang memiliki spektrum luas, aktif terhadap bakteri gram negatif mapun gram positif. Antibiotik ini digunakan untuk mengobati infeksi saluran kemih tanpa komplikasi, otitis media, faringiris dan tonsilitis, serta bronkitis akut dan kronis dengan eksaserbasi akut. Obat ini bekerja sebagai bakterisidal dengan mekanisme kerja obat dengan cara mengikat satu atau lebih penicillin-binding proteins (PBP) yang menghambat transpeptidasi tahap terakhir dari sintesis peptidoglikan di dinding sel bakteri, sehingga menghambat biosintesis dan mencegah pembentukan dinding sel yang mengakibatkan kematian sel bakteri. Dalam menggunakan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS.  
Infeksi saluran kemih tanpa komplikasi, otitis media, (radang rongga gendang telinga), faringitis dan tonsilitis, bronkhitis akut dan kronis serta eksaserbasi (kumatnya penyakit atau gejala penyakit secara mendadak) akut  "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.  
Dewasa: 200-400 mg per hari diberikan sebagai dosis tunggal atau dalam 2 dosis terbagi selama 7 hari, dapat dilanjutkan hingga 14 hari jika perlu, tergantung pada tingkat keparahan infeksi.  

Anak: >6 bulan sampai <10 tahun dengan berat badan <50 kg: 8 mg/kg setiap hari sebagai dosis tunggal atau dalam 2 dosis terbagi.  
>10 tahun dengan berat >50 kg: Sama dengan dosis dewasa.  
Demam tifoid anak: 10-15 mg/KgBB/hari, terbagi dalam 2 dosis, diberikan selama 10 hari. ", Dikonsumsi sebelum atau sesudah makan. Dapat diberikan bersama makanan untuk mengurangi rasa tidak nyaman pada saluran pencernaan. 
Ciprofloxacin 500 mg 10 Tablet,Antibiotik & Anti Jamur," CIPROFLOXACIN merupakan obat antibiotik generik turunan Quinolon dengan cara menghambat DNA girase dan topoisomerase IV, keduanya penting dalam replikasi DNA bakteri, transkripsi, perbaikan dan rekombinasi. Obat ini bersifat digunakan untuk pengobatan infeksi bakteri yang sensitif terhadap ciprofloxacin seperti infeksi pada saluran kemih, saluran cerna, termasuk demam tifoid yang disebabkan oleh S. thypi, saluran napas (kecuali pneumonia akibat Streptococcus), kulit dan jaringan lunak, tulang dan sendi. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS.   
Infeksi pada saluran kemih, saluran cerna, termasuk demam tifoid yang disebabkan oleh S. thypi, saluran napas (kecuali pneumonia akibat Streptococcus), kulit dan jaringan lunak, tulang dan sendi "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.  
Dewasa :  
Infeksi Saluran Kemih (ISK) ringan sampai dengan sedang : 250 mg, 2 x sehari.  
Infeksi Saluran Kemih (ISK) berat, prostatis kronik, infeksi GI : 500 mg, 2 x sehari.  
Infeksi saluran napas, tulang & sendi, kulit & jaringan lunak ringan sampai dengan sedang : 250-500 mg, 2 x sehari.  
Infeksi saluran napas, tulang & sendi, kulit & jaringan lunak berat :  500-750 mg, 2 x sehari.  
GO akut : 250 mg sebagai dosis tunggal.  
Osteomieletis akut : 750 mg, 2 x sehari. ", Diminum sebelum atau sesudah makan 
Dohixat 100 mg 10 Kapsul,Antibiotik & Anti Jamur," DOHIXAT mengandung zat aktif Doxycycline.Obat ini digunakan dalam terapi dan pengobatan Sipilis, Infeksi yang rentan atau berat,  Epididimo-orkitis, Serangan akut malaria falciparum resisten klorokuin, demam atau tifus, Uretritis nongonokokus, Penyakit menular seksual, Gonore tanpa komplikasi, Profilaksis scrub tifus, Pengobatan dan profilaksis pasca pajanan antraks inhalasi, Leptospirosis, Diare, Pencegahan malaria, periodontitis, dan jerawat.  
Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS.  
Sipilis, Infeksi yang rentan atau berat,  Epididimo-orkitis, Serangan akut malaria falciparum resisten klorokuin, demam atau tifus, Uretritis nongonokokus, Penyakit menular seksual, Gonore tanpa komplikasi, Profilaksis scrub tifus, Pengobatan dan profilaksis pasca pajanan antraks inhalasi, Leptospirosis, Diare, Pencegahan malaria, periodontitis, dan jerawat. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.  
Sipilis  
Dewasa: 300 mg setiap hari dalam dosis terbagi setidaknya selama 10 hari.  

Infeksi yang rentan  
Dewasa: 200 mg sebagai dosis tunggal atau dalam 2 dosis terbagi (dengan interval 12 jam) pada hari pertama, kemudian 100 mg sekali sehari. Infeksi berat: 200 mg setiap hari.  
Anak: <45 kg: 4,4 mg/kg dalam 2 dosis terbagi pada hari pertama, 2,2 mg/kg. Untuk infeksi berat: 2,2 mg/kg setiap 12 jam; 45 kg: Sama seperti dosis dewasa.  

Epididimo-orkitis
Dewasa: Infeksi yang disebabkan oleh Chlamydia trachomatis atau Neisseria gonorrhoeae 100 mg dua kali sehari selama minimal 10 hari.  

Serangan akut malaria falciparum resisten klorokuin
Dewasa: Dalam kombinasi dengan kina: 200 mg setiap hari selama minimal 7 hari.  

Demam kambuhan dan tifus yang ditularkan melalui kutu
Dewasa: 100 atau 200 mg sebagai dosis tunggal.

Uretritis nongonokokus, Penyakit menular seksual, Gonore tanpa komplikasi
Dewasa: 100 mg bid selama 7 hari.

Profilaksis scrub tifus
Dewasa: 200 mg sebagai dosis tunggal.

Pengobatan dan profilaksis pasca pajanan antraks inhalasi
Dewasa: Profilaksis pasca pajanan: 100 mg dua kali sehari selama 60 hari. Pengobatan: 100 mg bid selama 7-10 hari (kutan); 200 mg sebagai dosis tunggal kemudian 100 mg setiap 12 jam, dalam kombinasi dengan agen bakterisida, selama 2 minggu sampai stabil secara klinis (sistemik).  
Anak: <45 kg: 2,2 mg/kg dua kali sehari selama 60 hari; 45 kg: Sama seperti dosis dewasa.

Leptospirosis
Dewasa: Sebagai profilaksis: 200 mg sekali seminggu selama tinggal di area tersebut, kemudian 200 mg pada hari terakhir perjalanan.

Diare
Dewasa: Sebagai profilaksis: 200 mg sebagai dosis tunggal atau dalam 2 dosis terbagi pada hari pertama perjalanan, kemudian 100 mg sekali sehari selama tinggal di daerah tersebut.

Pencegahan malaria
Dewasa: Sebagai tab dispersibel: 100 mg setiap hari dimulai 1-2 hari sebelum perjalanan ke daerah malaria, dilanjutkan setiap hari selama tinggal dan selama 4 minggu setelah meninggalkan daerah malaria.
Anak: 12 tahun <45 kg: 2,2 mg/kg sekali sehari; 45 kg: Sama seperti dosis dewasa.

Periodontitis
Dewasa: Sebagai tab berlapis film: 20 mg dua kali sehari hingga 3 bulan.

Jerawat
Dewasa: 40 mg atau 50 mg (tergantung pada persiapannya) setiap hari selama 6-12 minggu. ", Sesudah makan 
Amoxsan 500 mg 10 Kapsul,Antibiotik & Anti Jamur," AMOXSAN adalah obat antibiotik yang mengandung Amoxicillin. Amoksisilin adalah aminopenisilin semisintetik yang menghambat langkah transpeptidasi akhir sintesis peptidoglikan di dinding sel bakteri dengan mengikat 1 atau lebih protein pengikat penisilin (PBP), sehingga menghambat biosintesis dinding sel dan akhirnya menyebabkan lisis bakteri. Obat ini digunakan untuk infeksi yang disebabkan oleh strain-strain bakteri yang peka spt Staphylococcus bukan penghasil penisilinase, Streptococcus, E.Coli, H.Influenzae, Streptococcus Pneumoniae, Streptococcus Faecalis, P.mirabilia dan N.Gonorrheae (bukan penghasil penisilinase) pada penyakit infeksi kulit dan jaringan lunak, infeksi saluran pernafasan, infeksi saluran genitourinari, dan gonore. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS.   
Penyakit infeksi kulit dan jaringan lunak, infeksi saluran pernafasan, infeksi saluran genitourinari, dan gonore yang disebabkan organisme Gram positif & Gram Negatif yang peka terhadap Amoxicillin "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.  
Dewasa dan Anak 20 mg/kgBB/hr : 250-500 mg.  
Anak dengan BB <20 kg : 20-40 mg/kgBB dalam 2 dosis terbagi tiap 8 jam.  
Infeksi berat Dosis ganda.  
GO akut 2-3 g dosis tunggal. ", Sesudah makan 
Cefixime 100 mg 10 Kapsul,Antibiotik & Anti Jamur," CEFIXIME 100 MG KAPSUL merupakakan obat generik yang mengandung Cefixime 100 mg per tablet.  Cefixime adalah antibiotik golongan cephalosporin generasi ketiga. Cefixime merupakan antibiotik yang memiliki spektrum luas, aktif terhadap bakteri gram negatif mapun gram positif. Antibiotik ini digunakan untuk mengobati infeksi saluran kemih tanpa komplikasi, otitis media, faringiris dan tonsilitis, serta bronkitis akut dan kronis dengan eksaserbasi akut. Obat ini bekerja sebagai bakterisidal dengan mekanisme kerja obat dengan cara mengikat satu atau lebih penicillin-binding proteins (PBP) yang menghambat transpeptidasi tahap terakhir dari sintesis peptidoglikan di dinding sel bakteri, sehingga menghambat biosintesis dan mencegah pembentukan dinding sel yang mengakibatkan kematian sel bakteri. Dalam menggunakan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS.  
Infeksi saluran kemih tanpa komplikasi, otitis media, (radang rongga gendang telinga), faringitis dan tonsilitis, bronkhitis akut dan kronis serta eksaserbasi (kumatnya penyakit atau gejala penyakit secara mendadak) akut  "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.  
Dewasa: 200-400 mg per hari diberikan sebagai dosis tunggal atau dalam 2 dosis terbagi selama 7 hari, dapat dilanjutkan hingga 14 hari jika perlu, tergantung pada tingkat keparahan infeksi.  

Anak: >6 bulan sampai <10 tahun dengan berat badan <50 kg: 8 mg/kg setiap hari sebagai dosis tunggal atau dalam 2 dosis terbagi.  
>10 tahun dengan berat >50 kg: Sama dengan dosis dewasa.  
Demam tifoid anak: 10-15 mg/KgBB/hari, terbagi dalam 2 dosis, diberikan selama 10 hari. ", Dikonsumsi sebelum atau sesudah makan. Dapat diberikan bersama makanan untuk mengurangi rasa tidak nyaman pada saluran pencernaan. 
Fluconazole 150 mg Kapsul,Antibiotik & Anti Jamur," FLUCONAZOLE 150 MG KAPSUL adalah obat anti jamur yang digunakan untuk mengatasi infeksi akibat jamur, khususnya infeksi candida pada vagina, mulut, tenggorokan, dan aliran darah. Fluconazole yaitu anti jamur golongan imidazol sintetik. Zat aktif ini bekerja dengan menghambat enzim sitokrom P450 yaitu enzim yang berperan dalam jalur biosintesis sterol pada jamur sehingga pertumbuhan terhambat. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Menganitis kriptokokal, Kandidiasis sistemik, kandidiasis orofaringeal, kandidiasis vagina akul atau relaps, infeksi kandida superfisial, infeksi kandida, iskemik atau infeksi kriptokokal "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Dewasa menginitis kriptokokal : hari ke-1 : 400 mg sebagai dosis tunggal; hari ke-2 dan seterusnya 200 - 400 mg per hari. Lama terapi : 6 - 8 minggu. 
Kandidiasis mukosal: 50 mg/hari selama 14 hari.
Kandidiasis vagian: 150 mg sebagai dosis tunggal oral. ", Sebelum atau sesudah makan 
