product_name,category,deskripsi,indikasi_umum,dosis,aturan_pakai
Albothyl Konsentrate 5 ml,Antiseptik," ALBOTHYL KONSENTRATE mengandung Policresulen. Obat ini dapat digunakan sebagai hemostatik, antiseptik topikal pada servisitis dan vaginitis. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Hemostatik lokal. 
Pembersihan dan regenerasi jaringan pada luka bakar, luka, proses inflamasi kronik, lesi dekubitus, ulkus kruris, kondiloma akuminata, stomatitis aftosa. 
Vaginosis bakterial, kandidiasis vaginal trikomoniasis.
Iritasi atau inflamasi lokal dan kerusakan jaringan vagina atau serviks. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
- Hemostasis lokal : Gunakan secara langsung. 
- Luka bakar: Larutan dengan konsentrasi 1 : 3 sampai dengan 1 : 8. 
- Luka bakar yg luas: Gunakan hanya larutan konsentrat saja atau lapisi daerah yg sakit dengan Albothyl gel atau lapisan kasa. ", Untuk pemakaian luar. 
Betadine Vaginal Douche 10% 100 ml Plus Dengan Alat,Antiseptik," BETADINE VAGINAL DOUCHE merupakan obat pembersih vaginal yang mengandung Povidone Iodine 10%. Povidone Iodine merupakan germisida spektrum luas yang digunakan untuk mengobati vaginitis yang disebabkan oleh candidal, trichomonal, infeksi non spesifik atau infeksi campuran, atau sebagai desinfektan pre-operasi vaginal. Obat ini tidak disarankan bagi ibu hamil. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Sebagai disinfektan Vagina. Digunakan untuk mengobati gejala iritasi ringan, gatal-gatal & keputihan yang disebabkan oleh Trichomonas vaginalis, Candida albicans& Gardnerella vaginalis.  "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Terapi : 30-960 mL betadine dalam air hangat 1 kali sehari selama 6 hari. 

Upaya pembersihan rutin : 15-960 mL betadine dalam air hangat 1-2 kali/minggu "," Isi botol plastik yang tersedia dengan larutan sampai batas A (untuk menjaga kebersihan) atau sampai batas B (untuk mengobati infeksi). Tambahkan air hangat sampai batas C, kocok hingga merata. "
Albothyl Konsentrate 10 ml,Antiseptik," Albothyl Konsentrate mengandung Policresulen. Obat ini dapat digunakan sebagai hemostatik, antiseptik topikal pada servisitis dan vaginitis. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Hemostatik lokal. 
Pembersihan dan regenerasi jaringan pada luka bakar, luka, proses inflamasi kronik, lesi dekubitus, ulkus kruris, kondiloma akuminata, stomatitis aftosa. 
Vaginosis bakterial, kandidiasis vaginal trikomoniasis. 
Iritasi atau inflamasi lokal dan kerusakan jaringan vagina atau serviks. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. 
Hemostasis lokal : Gunakan secara langsung. 
Luka bakar: Larutan dengan konsentrasi 1 : 3 sampai dengan 1 : 8. 
Luka bakar yg luas: Gunakan hanya larutan konsentrat saja atau lapisi daerah yang sakit dengan Albothyl gel atau lapisan kasa.
 ", Untuk pemakaian luar. 
Alkohol Swab Onemed 2 Ply 100 Lembar,Antiseptik,"  Alkohol Swab Onemed merupakan non woven tissue 2 ply steril yang mengandung Ethyl Alcohol 70%. Digunakan untuk antiseptik pre-injeksi, pemasangan IV, pengambilan darah, melepas jahitan, atau tindakan lainnya yang memerlukan antisepsi. "," Antiseptik untuk tindakan pre-injeksi, pemasangan IV, pengambilan darah, melepas jahitan, atau tindakan lainnya yang memerlukan antisepsi. ",-," Usapkan pada tempat yang akan diinjeksi, luka bekas injeksi/pengambilan darah, juga pada alat kesehatan. "
Betadine Skin Cleanser Antiseptic 60 ml,Antiseptik," BETADINE SKIN CLEANSER ANTISEPTIC merupakan antiseptik untuk kulit yang digunakan sebagai pengobatan untuk penyakit kulit seperti jerawat, dan gatal-gatal. Dapat pula digunakan untuk membersihkan tangan sebelum operasi dan membersihkan daerah yang akan dioperasi. "," Mengatasi Seboreik pada kulit dan kulit kepala,
Mampu mengatasi ketombe dan jerawat
Disinfeksi tangan sebelum operasi. ", Gunakan secukupnya. , Tuangkan pada badan yang telah dibasahi dengan air. 
Alkohol 70% 200 ml,Antiseptik, ALKOHOL 70% merupakan cairan antiseptik yang digunakan untuk membantu membersihkan luka dan pembersih alat-alat medis. ," Digunakan untuk keperluan medis dan non medis, seperti, sterilisasi alat-alat medis, membersihkan luka, antiseptik, pelarut, desinfektan kulit, dan bahan baku atau tambahan dalam keperluan praktikum ", Sesuai kebutuhan ," Dituang pada kassa steril atau kapas, lalu diusapkan pada luka atau alat medis "
Alkohol 70% Ika Cool 100 ml,Antiseptik, ALKOHOL 70% IKA COOL merupakan cairan antiseptik yang digunakan untuk membantu membersihkan luka dan pembersih alat-alat medis. ," Digunakan untuk keperluan medis dan non medis, seperti, sterilisasi alat-alat medis, membersihkan luka, antiseptik, pelarut, desinfektan kulit, dan bahan baku atau tambahan dalam keperluan praktikum ", Sesuai kebutuhan , Basahi secukupnya pada kapas atau kain kasa steril dengan alkohol. Oleskan secara perlahan pada bagian daerah sekitar luka 
Dettol Antiseptik Cair 245 ml,Antiseptik," DETTOL ANTISEPTIK CAIR merupakan antiseptik cair yang digunakan sebagai perlindungan dari penyakit yang disebabkan kuman. Cairan ini juga dapat digunakan untuk mempercepat penyembuhan luka, lecet, gigitan, sengatan serangga, membunuh kuman pada pakaian kotor dan sebagai disinfektan pada peralatan rumah tangga. "," Cairan antiseptik yang dapat digunakan untuk untuk pertolongan pertama, medis dan kebersihan pribadi, dengan manfaat sebagai berikut: 
  - Perlindungan dari penyakit yang disebabkan kuman. 
  - Mempercepat penyembuhan luka, lecet, gigitan & sengatan serangga. 
  - Bunuh kuman pada pakaian kotor. 
  - Desinfektan pada peralatan rumah tangga. ", 0 ," Pertolongan pertama pada luka, gigitan dan sengatan serangga : Larutkan 1 tutup penuh Dettol dengan 420 ml air. Tuangkan larutan Dettol pada kapas kemudian usapkan pada luka. Membunuh kuman pada seluruh tubuh: Larutkan 1 tutup penuh Dettol dalam bak mandi. Untuk bunuh kuman pada popok dan pakaian : Larutkan 1 tutup penuh Dettol dengan 840 ml air. *1 Tutup penuh = 21 ml "
Dettol Antiseptik Cair 45 ml,Antiseptik," DETTOL ANTISEPTIK CAIR merupakan antiseptik cair yang digunakan sebagai perlindungan dari penyakit yang disebabkan kuman. Cairan ini juga dapat digunakan untuk mempercepat penyembuhan luka, lecet, gigitan, sengatan serangga, membunuh kuman pada pakaian kotor dan sebagai disinfektan pada peralatan rumah tangga. "," Cairan antiseptik yang dapat digunakan untuk untuk pertolongan pertama, medis dan kebersihan pribadi, dengan manfaat sebagai berikut: 
 - Perlindungan dari penyakit yang disebabkan kuman. 
 - Mempercepat penyembuhan luka, lecet, gigitan & sengatan serangga. 
 - Bunuh kuman pada pakaian kotor. 
 - Desinfektan pada peralatan rumah tangga. ", 0 ," Pertolongan pertama pada luka, gigitan dan sengatan serangga : 
 Larutkan 1 tutup penuh Dettol dengan 120 ml air. Tuangkan larutan Dettol pada kapas kemudian usapkan pada luka.
 
 Membunuh kuman pada seluruh tubuh:
 Larutkan 3-4 tutup penuh Dettol dalam bak mandi.
 
 Untuk bunuh kuman pada popok dan pakaian : Larutkan 1 tutup penuh Dettol dengan 240 ml air.
 
 *1 Tutup penuh = 6 ml "
Dettol Antiseptik Cair 95 ml,Antiseptik," DETTOL ANTISEPTIK CAIR merupakan antiseptik cair yang digunakan sebagai perlindungan dari penyakit yang disebabkan kuman. Cairan ini juga dapat digunakan untuk mempercepat penyembuhan luka, lecet, gigitan, sengatan serangga, membunuh kuman pada pakaian kotor dan sebagai disinfektan pada peralatan rumah tangga. "," Cairan antiseptik yang dapat digunakan untuk pertolongan pertama, medis dan kebersihan pribadi, dengan manfaat sebagai berikut: 
 - Perlindungan dari penyakit yang disebabkan kuman. 
 - Mempercepat penyembuhan luka, lecet, gigitan & sengatan serangga. 
 - Bunuh kuman pada pakaian kotor. 
 - Desinfektan pada peralatan rumah tangga. ", 0 ," Pertolongan pertama pada luka, gigitan dan sengatan serangga : 
 Larutkan 1 tutup penuh Dettol dengan 120 ml air. Tuangkan larutan Dettol pada kapas kemudian usapkan pada luka.
 
 Membunuh kuman pada seluruh tubuh:
 Larutkan 3-4 tutup penuh Dettol dalam bak mandi.
 
 Untuk bunuh kuman pada popok dan pakaian : Larutkan 1 tutup penuh Dettol dengan 240 ml air.
 
 *1 Tutup penuh = 6 ml "
