product_name,category,deskripsi,indikasi_umum,dosis,aturan_pakai
Lasal Expectorant Sirup 100 ml,Asma," LASAL EXPECTORANT SIRUP adalah obat yang mengandung kombinasi Salbutamol dan Guaifenesin. Obat ini digunakan untuk melegakan pernafasan dan membantu pengeluaran dahak pada kondisi asma yang disertai batuk. Senyawa salbutamol merupakan obat golongan bronkodilator yang bekerja dengan cara merangsang secara selektif reseptor beta-2 adrenergik terutama pada otot bronkus. Hal ini menyebabkan terjadinya bronkodilatasi karena otot bronkus mengalami relaksasi. Guaifenesin adalah senyawa yang bersifat ekspektoran, yaitu obat yang bekerja dengan cara meningkatkan volume dan mengurangi viskositas mukus dari trakea dan bkronkus sehingga dahak mudah dikeluarkan dari saluran pernafasan lewat mekanisme batuk. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Meringankan Asma bronkhial, Bronkhitis khronik, Emfisema, dan kondisi Bronkhospastik lain "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Dewasa : 2-3 x sehari 2-4 sendok takar 5 mL, Anak 6-12 tahun : 2-3 x sehari 1-2 sendok takar 5 mL, Anak < 6 tahun : 2-3 x sehari 0.5-1 sendok takar 5 mL. "," Saat perut kosong, 1 jam sebelum atau 2 jam sesudah makan. "
Ventolin Inhaler 100 mcg 200 Doses,Asma, VENTOLIN INHALER merupakan obat dengan kandungan Salbutamol yang digunakan untuk mengobati penyakit pada saluran pernafasan seperti asma dan penyakit paru obstruktif kronik (PPOK). Obat ini bekerja dengan cara merangsang secara selektif reseptor beta-2 adrenergik terutama pada otot bronkus. hal ini menyebabkan terjadinya bronkodilatasi karena otot bronkus mengalami relaksasi. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. ," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Meredakan serangan atau pencegahan asma ringan, sedang atau berat "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Dewasa :
- Menghilangkan bronkospam akut : 100 atau 200 mcg
- Pencegahan alergen atau bronkospasme akibat olahraga : 200 mcg
- Terapi kronis : 200 mcg, 4 kali/hari
Anak-anak :
- Menghilangkan bronkospam akut : 100 mcg
- Pencegahan alergen atau bronkospame akibat olahraga : 100 mcg
- Terapi kronis : 200 mcg, 4 kali/hari ", Duduk atau berdiri tegak saat menggunakan inhaler. Kocok inhaler dengan baik sebelum menghirupsnya. Langsung tarik napas perlahan begitu Anda menekan inhaler. Tahan napas selama minimal 10 detik setelah menghirupnya. Tarik dan buang napas perlahan diantara setiap isapan. 
Ataroc Sirup 60 ml,Asma," ATAROC SIRUP adalah obat yang mengandung Procaterol HCL 25 mcg/5 ml. Procaterol merupakan senyawa agonis beta-2 adrenoreseptor yang bekerja sebagai bronkodilator yaitu dengan cara memperlebar luas permukaan bronkus dan bronkiolus di paru-paru dan membuat kapasitas serapan oksigen paru-paru meningkat. Procaterol HCl digunakan untuk mengurangi berbagai gejala yang disebabkan oleh gangguan obstruksi pernafasan dari berbagai penyakit seperti asma bronkial, bronkitis kronis, emfisema pulmonum, bronchitis akut dan asmatis bronchitis. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Dispnea akibat Asma Bronkhial, Bronkhitis akut dan kronik, Emfisema Paru "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. 
Anak < 6 tahun : 0.20-0.25 mg/KgBB atau 1.125 mcg diberikan sekali sehari atau 2 kali sehari. 
Anak > 6 tahun : 1 sendok takar, diberikan sekali sehari atau 2 kali sehari. ", Sebelum atau sesudah makan 
Lasal Sirup 100 ml,Asma, LASAL SIRUP merupakan obat yang digunakan untuk mengobati penyakit pada saluran pernafasan seperti asma dan penyakit paru obstruktif kronik (PPOK). Lasal sirup mengandung salbutamol adalah obat sistem saluran nafas yang termasuk golongan agonis adrenoreseptor beta-2 selektif kerja pendek (short acting beta-adrenergic receptor agonist). Obat ini bekerja dengan cara merangsang secara selektif reseptor beta-2 adrenergik terutama pada otot bronkus. hal ini menyebabkan terjadinya bronkodilatasi karena otot bronkus mengalami relaksasi. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. ," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Meringankan Asma Bronkhial, Bronkhitis khronik, Emfisema, dan kondisi bronkhospastik lain "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Dewasa : 2-3 x sehari 1-2 sendok takar 5 mL, Anak 6-12 tahun : 2-3 x sehari 1 sendok takar 5 mL, Anak < 6 tahun : 2-3 x sehari 0.5-1 sendok takar 5 mL. "," Saat perut kosong, 1 jam sebelum atau 2 jam sesudah makan. "
Pulmicort 0.25 mg/ml 5 Respules,Asma," PULMICORT 0.25 MG/ML RESPULES merupakan obat inhaler yang mengandung Budesonide 0.25 mg/ml. Obat ini digunakan untuk meredakan dan mencegah gejala serangan asma, seperti sesak napas dan mengi. Obat ini bekerja langsung pada saluran pernapasan dengan mengurangi peradangan dan pembengkakan saluran napas, saat serangan asma terjadi. Dalam menggunakan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Asma Bronkhial "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
> 12 th : 2 x sehari 1-2 mg. Pemeliharaan : 2 x sehari 0,5-1 mg. Anak 3 bln- 12 th: 2 x sehari 0,5-1 mg. Pemeliharaan : 2 x sehari 0,25-0,5mg "," Diuapkan menggunakan alat nebulizer, kemudian dihirup "
Pulmicort 0.5 mg/ml 5 Respules,Asma," PULMICORT 0.5 MG/ML 5 RESPULES merupakan cairan nebulizer yang mengandung zat aktif Budesonide. Budesonide adalah obat anti inflamasi jenis kortikosteroid yang digunakan untuk terapi pada penderita asma dan rhinitis alergi, dapat pula digunakan untuk mengatasi penyakit kroup (laringotrakeobronkitis) atau infeksi saluran pernapasan bagian atas yang biasa dialami oleh anak-anak. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Asma Bronkhial "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
200-1200 mcg/hari terbagi dalam 2-4 dosis. Pemeliharaan : 200-400 mcg 2 kali sehari pada pagi dan malam hari "," Diuapkan menggunakan alat nebulizer, kemudian dihirup "
Salbutamol 4 mg 10 Tablet,Asma," SALBUTAMOL 4 MG TABLET adalah obat golongan bronkodilator. Salbutamol merupakan obat golongan beta adrenergik agonis yang secara langsung dapat membuat otot-otot polos pada bronkus menjadi lebih rileks. Selain itu, salbutamol juga dapat menurunkan kontraktilitas uterus karena efek tokolitik yang dimilikinya. SALBUTAMOL TABLET digunakan untuk mengobati bronkospasme (misalnya penyakit asma karena alergi tertentu, asma bronkial, bronkitis asmatis, emfisema pulmonum), dan penyakit paru obstruktif kronik (PPOK). Dalam penggunaan obat ini HARUS SESUAI PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Bronkospasme pada semua jenis asma bronkial, bronkritis kronik, dan emfisema "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Dewasa : 3-4 kali sehari 1-2 tablet. Anak-anak berusia 6-12 tahun : 3 kali sehari 1 tablet. Anak berusia 2-6 tahun : 3 kali sehari 1/2 tablet. ", Sebelum makan 
Salbutamol 2 mg 10 Tablet,Asma," SALBUTAMOL 2 MG TABLET adalah obat golongan bronkodilator. Salbutamol merupakan obat golongan beta adrenergik agonis yang secara langsung dapat membuat otot-otot polos pada bronkus menjadi lebih rileks. Selain itu, salbutamol juga dapat menurunkan kontraktilitas uterus karena efek tokolitik yang dimilikinya. SALBUTAMOL TABLET digunakan untuk mengobati bronkospasme (misalnya penyakit asma karena alergi tertentu, asma bronkial, bronkitis asmatis, emfisema pulmonum), dan penyakit paru obstruktif kronik (PPOK). Dalam penggunaan obat ini HARUS SESUAI PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Bronkospasme pada semua jenis asma bronkial, bronkritis kronik, dan emfisema "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Dewasa : 3-4 kali sehari 1-2 tablet. Anak-anak berusia 6-12 tahun : 3 kali sehari 1 tablet. Anak berusia 2-6 tahun : 3 kali sehari 1/2 tablet. ", Sebelum makan 
Teosal 10 Tablet,Asma," TEOSAL TABLET adalah obat golongan bronkodilator dengan komposisi Salbutamol dan Theophylline. Teofilin merupakan obat golongan xanthine bronchodilator yang digunakan untuk mengatasi gangguan atau obstruksi pernapasan, seperti asma, emfisema, bronkitis, dan penyakit paru obstruktif kronis (PPOK). Obat ini membantu mempermudah proses pernapasan dan juga meredakan gejala batuk, sesak napas, dan napas parau dengan cara membuka bronkus menjadi lebih lebar, sehingga membuat otot-otot saluran pernapasan lebih rileks. Salbutamol merupakan obat golongan beta adrenergik agonis yang secara langsung dapat membuat otot-otot polos pada bronkus menjadi lebih rileks. TEOSAL TABLET digunakan untuk mengatasi gangguan pernapasan akibat penyempitan saluran bronkus, seperti asma bronkial dan bronkitis kronis. Kegunaan obat Teosal lainnya termasuk untuk mengatasi penyakit paru obstrukstif kronik (PPOK). Dalam penggunaan obat ini HARUS SESUAI PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Sebagai bronkodilator pada penderita asma bronkial dan bronkitis kronis. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Dewasa: 1 tablet, diberikan 3 kali sehari. 
Anak usia 6-12 tahun: 0.5 tablet, diberikan 3 kali sehari. ", Sesudah makan 
Ventolin Expectorant Sirup 100 ml,Asma, VENTOLIN EXPECTORANT SIRUP merupakan obat yang digunakan untuk mengobati penyakit pada saluran pernafasan seperti asma dan penyakit paru obstruktif kronik (PPOK). Ventolin mengandung salbutamol Obat ini bekerja dengan cara merangsang secara selektif reseptor beta-2 adrenergik terutama pada otot bronkus. hal ini menyebabkan terjadinya bronkodilatasi karena otot bronkus mengalami relaksasi. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. ," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Meredakan bronkospasme pada bronkial asma, bronkitis kronis, & emfisema dan meredakan sumbatan saluran napas. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Dewasa : 10-20 ml, 2-3 kali/hari
Anak-anak :
2-6 tahun : 5-10 ml, 2-3 kali/hari
6-12 tahun : 10 ml, 2-3 kali/hari
>12 tahun : 10-20 ml, 2-3 kali/hari ", Sebaiknya diberikan pada saat perut kosong : Berikan 1 jam sblm atau 2 jam sesudah makan. 
