product_name,category,deskripsi,indikasi_umum,dosis,aturan_pakai
Seloxy AA 6 Kaplet,Vitamin & Suplemen, SELOXY AA 6 KAPLET merupakan suplemen untuk memelihara kesehatan kulit , Memelihara kesehatan kulit , Dewasa : 1 x sehari 1 kaplet salut selaput , Sesudah makan 
Natur-E 300 IU 16 Kapsul,Vitamin & Suplemen, NATUR-E 300 IU 16 KAPSUL merupakan suplemen yang mengandung Vitamin E. Suplemen ini digunakan untuk membantu memenuhi kebutuhan vitamin E. , Membantu memelihara kesehatan kulit , 1 kali per hari , Sesudah makan 
Ever E 250 IU 6 Kapsul,Vitamin & Suplemen, EVER E adalah suplemen kesehatan dengan kandungan 250 IU vitamin E yang membantu memenuhi kebutuhan vitamin E harian , Memelihara kesehatan kulit , 1 kali sehari 1 kapsul , Setelah makan 
Blackmores Natural E 250 IU 50 Kapsul,Vitamin & Suplemen, Blackmores Natural E 250 IU merupakan suplementasi vitamin E , Suplementasi vitamin E. ," Dewasa: 1 kapsul sehari setelah makan, atau sesuai petunjuk dokter. ", Dikonsumsi setelah makan 
Erha Nutraceuticals Zinccore 30 Kapsul,Vitamin & Suplemen," Erha Zincore mengandung zinc yang efektif membantu penyembuhan luka pada kulit seperti luka bakar, iritasi kulit dan lain sebagainya. Efektivitasnya diperkuat dengan adanya kombinasi Zinc dengan Copper, L-carnosine, dan Niacinamide yang mampu membantu pembentukan kolagen pada rambut, mengurangi kerontokan rambut, melindungi tubuh dari efek buruk radikal bebas (antioksidan), membantu memperbaiki tekstur kulit serta mengontrol dan mengurangi inflamasi pada jerawat. "," Erha Nutraceuticals Zincore merupakan suplemen untuk membantu penyembuhan luka pada kulit. Suplemen ini dapat membantu pembentukan kolagen di rambut, mengurangi keronokan rambut, melindungi tubuh dari efek buruk radikal bebas (antioksidan), membantu meningkatkan tekstur dan kontrol kulit, serta mengurangi peradangan pada jerawat.  ", Diminum 1-2 kali sehari 1 Kapsul , Suplemen ini dikonsumsi setelah makan 
Natur-E White 16 Kapsul,Vitamin & Suplemen," Natur-E White mengandung vitamin E 20 UI, L-glutathione 50 mg, dan olive fruit extract 50 mg. Produk ini bermanfaat untuk mencegah kerusakan sel akibat radikal bebas, serta melembapkan, dan mencerahkan kulit. ", Membantu memelihara kesehatan kulit. , 2 kapsul lunak sehari  , Sesudah makan  
Nourish Skin 15 Tablet,Vitamin & Suplemen," NOURISH SKIN 15 TABLET adalah produk suplemen kesehatan untuk nutrisi kulit yang mengandung 3 kombinasi bahan alami yang efektif untuk mengatasi masalah kulit seperti jerawat, flek hitam, dan kerutan. ", Menjaga dan memelihara kesehatan kulit , Dosis pemeliharaan 1 tablet perhari , Sesudah makan 
Nourish Skin Ultimate 15 Tablet,Vitamin & Suplemen, - ," Memudarkan flek-flek hitam
 Menghilangkan kerut dan keriput
 Melembabkan kulit kering
 Mengencangkan kulit
 Mencerahkan kulit kusam
 Menghaluskan kulit kering dan kasar
 Mencegah penuaan kulit

 "," Dosis awal: 2 bulan pertama dikonsumsi 2 x 1 tablet (pagi dan malam) 
Dosis pemeliharaan: 1 x 1 tablet sesudah makan malam ", Sesudah makan 
Acnacare SoftGel 30 Kapsul,Vitamin & Suplemen," ACNACARE SOFTGEL KAPSUL merupakan suplemen yang mengandung vitamin C, E ekstrak salina, mineral zinc dan Chromium. Suplemen ini digunakan untuk membantu memelihara kesehatan kulit, khususnya kulit dengan kondisi berjerawat. "," Mengurangi jumlah jerawat, mengurangi peradangan, detoksifikasi zat racun dan komedo, Mengontrol produksi minyak kulit, Mempercepat penyembuhan luka akibat jerawat, Mempercepat regenerasi sel kulit dan mencegah jerawat datang kembali. "," 1 kali sehari setelah makan malam,untuk kasus jerawat ringan, 2-3 kapsul per hari sesudah makan, untuk kasus jerawat sedang-berat. ", sesudah makan 
Alphalene 30 Kapsul,Vitamin & Suplemen,-," Meningkatkan imunitas tubuh, Mengurangi risiko penyakit jantung, Mengurangi tekanan darah tinggi, Mengurangi risiko penyakit kanker, Membantu melancarkan suplai oksigen dalam tubuh, Mencegah penuaan dini dan menghaluskan kulit. ",-,-
Astamax 10 Kapsul,Vitamin & Suplemen,-, Membantu memelihara daya tahan tubuh , 1 kapsul 1 kali sehari , Diberikan bersama makanan 
Avogen E 30 Kapsul,Vitamin & Suplemen,-, Merupakan perawatan kulit sempurna dari dalam untuk mengatasi problem penuaan dini. ," 2 x 1 kapsul /hari setelah makan selama 1-2 bulan. Setelah terasa manfaatnya, dilanjutkan dosis perawatan cukup 1 kapsul /hari setelah makan secara teratur. ",-
Avogen E Kapsul,Vitamin & Suplemen,-, Merupakan perawatan kulit sempurna dari dalam untuk mengatasi problem penuaan dini. ," 2 x 1 kapsul /hari setelah makan selama 1-2 bulan. Setelah terasa manfaatnya, dilanjutkan dosis perawatan cukup 1 kapsul /hari setelah makan secara teratur. ",-
Blackmores Evening Primrose Oil + Fish Oil 100 Kapsul,Vitamin & Suplemen, Blackmores Evening Primerose Oil + Fish Oil merupakan sumber kaya dan alami akan Omega 3 dan 6 yang berperan penting membantu meringankan gejala premenopause. , Membantu meringankan gejala premenopause ," Sebagai suplementasi, sebelum menstruasi, kesehatan kulit & rambut :  
 - Dewasa : 1 kapsul sehari setelah makan, atau sesuai petunjuk dokter.  
 - Anak usia 2-12 tahun : 1 kapsul sehari setelah makan, atau sesuai petunjuk dokter.  
  
 Selama menstruasi, menjaga kesehatan jantung & pembuluh darah, mengurangi inflamasi:  
 - Dewasa : 2 kapsul sehari setelah makan, atau sesuai petunjuk dokter.   "," Dikonsumsi setelah makan, atau sesuai petunjuk dokter. "
Blackmores Ultimate Radiance Skin 30 Kapsul,Vitamin & Suplemen," Blackmores Ultimate Radiance Skin merupakan suplemen kulit yang mengandung Kolagen, Vitamin E, Ekstrak Teh Hijau dan bahan lainnya yang membantu memelihara kesehatan kulit dari dalam. ", Membantu mengurangi kerutan halus di wajah. ," Dewasa: konsumsi 1 kapsul sehari setelah makan (baik untuk dikonsumsi di malam hari), atau sesuai petunjuk dokter. ", Dikonsumsi malam hari 
Brand's Bird's Nest Bev with Gula Batu 70 g 6 Botol,Vitamin & Suplemen,-, membantu membersihkan paruparu menguatkan sistem pernapasan membuat kulit lebih berseri dan mengurangi panas dalam , 1 botol setiap hari ,-
Brand's Birds Nest 42 g 6 Botol,Vitamin & Suplemen,-, membantu membersihkan paruparu menguatkan sistem pernapasan membuat kulit lebih berseri dan mengurangi panas dalam , 1 botol setiap hari ,-
Collastin Beauty 30 Kapsul,Vitamin & Suplemen," Collastin Beauty adalah suplemen kulit yang mengandung kombinasi Kolagen (Collactive), Astaxanthin, Vitamin C, serta Vitamin A untuk membantu memenuhi kebutuhan nutrisi kulit. ", Suplemen untuk membantu memenuhi kebutuhan nutrisi kulit. , Diminum 1-2 kapsul sehari ,-
Collastin Beauty 60 Kapsul,Vitamin & Suplemen,-,-,-,-
Collastin Crystal Beauty 6 Kaplet,Vitamin & Suplemen," Collastin Crystal Beauty adalah suplemen kulit yang mengandung collactive (kolagen aktif), Astaxanthin, vit C, serta vit A untuk membantu memenuhi kebutuhan nutrisi kulit ", Membantu memelihara kesehatan kulit ,-,-
