product_name,category,deskripsi,indikasi_umum,dosis,aturan_pakai
Obeslim 10 Kapsul,Diet," OBESLIM merupakan obat yang mengandung orlistat. Orlistat digunakan bersama makanan rendah kalori, sebagai terapi tambahan pada pasien obesitas dengan Index Massa Tubuh (Body Mass Index/BMI) 30 kg/m2 dan diatasnya atau pasien yang berkelebihan berat badan dengan BMI 27 kg/m2 dan diatasnya yang memiliki faktor risiko terkait. Orlistat bekerja dengan menghambat enzim lipase lambung dan pankreas. Hidrolisis trigliserida terhambat dan menyebabkan penurunan penyerapan lemak dari makanan. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Terapi tambahan bersama makanan rendah kalori untuk pasien obesitas dengan Index Massa Tubuh (Body Mass Index/BMI) 30 kg/m2 dan diatasnya atau pasien yang kelebihan berat badan dengan BMI 27 kg/m2 dan diatasnya yang memiliki faktor risiko terkait. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Dewasa: Pasien dengan BMI 30 mg/m2 dan diatasnya atau 27 kg/m2 dan diatasnya yang memiliki faktor risiko terkait (hipertensi, diabetes, dislipidemia) : 120 mg 3 kali sehari saat makan berat. "," Bersama dengan makanan. Saat makan atau maksimal 1 jam setelah makan. Jika makan terlewat atau makanan tidak mengandung lemak, maka dosis dapat diabaikan.Kpasul harus ditelan dengan air. "
Orlistat 120 mg 10 Kapsul,Diet," ORLISTAT 120 MG merupakan obat yang mengandung orlistat. Orlistat digunakan bersama makanan rendah kalori, sebagai terapi tambahan pada pasien obesitas dengan Index Massa Tubuh (Body Mass Index/BMI) 30 kg/m2 dan diatasnya atau pasien yang berkelebihan berat badan dengan BMI 27 kg/m2 dan diatasnya yang memiliki faktor risiko terkait. Orlistat bekerja dengan menghambat enzim lipase lambung dan pankreas. Hidrolisis trigliserida terhambat dan menyebabkan penurunan penyerapan lemak dari makanan. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
 Terapi tambahan bersama makanan rendah kalori untuk pasien obesitas dengan Index Massa Tubuh (Body Mass Index/BMI) 30 kg/m2 dan diatasnya atau pasien yang kelebihan berat badan dengan BMI 27 kg/m2 dan diatasnya yang memiliki faktor risiko terkait. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
 Dewasa: Pasien dengan BMI 30 mg/m2 dan diatasnya atau 27 kg/m2 dan diatasnya yang memiliki faktor risiko terkait (hipertensi, diabetes, dislipidemia) : 120 mg 3 kali sehari saat makan berat. Pasien Dewasa dengan BMI ?28 kg/m2 tanpa faktor risiko : 60 mg 3 kali sehari saat makan berat. "," Bersama dengan makanan. Saat makan atau maksimal 1 jam setelah makan. Jika makan terlewat atau makanan tidak mengandung lemak, maka dosis dapat diabaikan.Kapsul harus ditelan dengan air. "
Xenical 120 mg 21 Kapsul,Diet," XENICAL 120 MG merupakan obat yang mengandung orlistat. Orlistat digunakan bersama makanan rendah kalori, sebagai terapi tambahan pada pasien obesitas dengan Index Massa Tubuh (Body Mass Index/BMI) 30 kg/m2 dan diatasnya atau pasien yang berkelebihan berat badan dengan BMI 27 kg/m2 dan diatasnya yang memiliki faktor risiko terkait. Orlistat bekerja dengan menghambat enzim lipase lambung dan pankreas. Hidrolisis trigliserida terhambat dan menyebabkan penurunan penyerapan lemak dari makanan. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
 Terapi tambahan bersama makanan rendah kalori untuk pasien obesitas dengan Index Massa Tubuh (Body Mass Index/BMI) 30 kg/m2 dan diatasnya atau pasien yang kelebihan berat badan dengan BMI 27 kg/m2 dan diatasnya yang memiliki faktor risiko terkait. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
 Dewasa: Pasien dengan BMI 30 mg/m2 dan diatasnya atau 27 kg/m2 dan diatasnya yang memiliki faktor risiko terkait (hipertensi, diabetes, dislipidemia) : 120 mg 3 kali sehari saat makan berat. "," Bersama dengan makanan. Saat makan atau maksimal 1 jam setelah makan. Jika makan terlewat atau makanan tidak mengandung lemak, maka dosis dapat diabaikan.Kpasul harus ditelan dengan air. "
HaloDiet: Weight Loss Supplies,Saluran Pencernaan, Layanan rekomendasi suplemen kesehatan untuk membersihkan saluran pencernaan dari racun maupun kolesterol dan untuk memperbaiki gangguan pencernaan. , HaloDiet Weight Loss supplies merupakan paket yang diperkaya dengan vitamin dan nutrisi penting yang diperlukan dalam tubuh untuk membantu membantu menunjang memperbaiki gangguan pencernaan. Tonicard yang dapat membantu memelihara kesehatan tubuh. Fibrefirst memiliki manfaat ganda dari Natural Green FIbre dan Essential Nutrition. Tiap sachet dari fibrefirst dapat membersihkan saluran pencernaan dari racun dan kolesterol yang terdapat pada tubuh. ," Tonicard 10 Kapsul : 1 kali sehari 1 kapsul

Fibrefirst 7 Sachet : 1 Sachet per malam "," Tonicard 10 Kapsul : Sesudah makan

Fibrefirst 7 Sachet : Gunakan satu sachet per hari sebelum tidur lebih disarankan jam 10 malam. Larutkan fibrefirst sachet dengan air dingin hingga 300 ml "
Laxing 4 Kapsul,Diet, LAXING merupakan obat tradisional yang terbuat dari bahan alam untuk menjaga kesehatan pencernaan dan melancarkan buang air besar (BAB). ," Membantu melancarkan buang air besar .
 Membantu melunakkan tinja "," 1-2 kapsul per hari, diminum sebelum tidur. ", Dikonsumsi pada malam hari sebelum tidur. 
HaloDiet: Weight Gain Supplies,Saluran Pencernaan, Layanan rekomendasi suplemen kesehatan untuk menambah nafsu makan sehingga dapat meningkatkan berat badan. ," HaloDiet Weight Gain supplies merupakan paket yang berguna untuk membantu menambah nafsu makan serta memelihara kesehatan tubuh. Paket ini mengandung Fundamin-E 4 Tablet untuk membantu meningkatkan nafsu makan, memelihara kesehatan saluran cerna. Curvit 10 Kaplet yang dapat membantu memelihara kesehatan dan Peptisol Rasa French Vanilla 189 g merupakan susu bernutrisi tinggi protein untuk membantu mempercepat pemulihan.
 "," Fundamin-E 4 Tablet : 1 kali sehari 1 tablet

Curvit 10 Kaplet : 3 kali sehari 1 tablet

Peptisol Rasa French Vanilla 189 g : 2 gelas sehari @5 sendok takar "," Fundamin-E 4 Tablet : sesudah makan

Curvit 10 Kaplet : sesudah makan

Peptisol Rasa French Vanilla 189 g "
Rapet Wangi 12 Kapsul,Diet,-," Mengurangi kelebihan lendir, menghilangkan gatal-gatal serta bau tidak sedap, mencegah dan mengobati keputihan, mencegah bau badan, serta bau mulut yang tidak sedap, menambah gairah pasangan suami istri "," Untuk mencegah keputihan dan kelebihan lendir : Minum secara teratur 2 x sehari 1 kapsul : Untuk mencegah bau badan, bau keringat dan bau mulut : 1 x sehari 1 kapsul setiap pagi ", Berikan sesudah makan 
Slimesco 500 mg 10 Kapsul,Diet, Slimesco mengandung Hoodia Gordonii extract 500 mg dan berguna untuk membantu mengurangi lemak dan membantu menurunkan berat badan. , Membantu mengurangi lemak dan membantu menurunkan berat badan. , Sehari 3 x 1 kapsul , Selama penggunaan produk harus disertai olahraga teratur dan diet rendah kalori dan rendah lemak. 
Borobudur Susut Perut 12 Kapsul,Diet, - , Membantu mengurangi lemak dan menurunkan berat badan ," Minum secara teratur 2 x sehari 2 kapsul, dosis dapat ditingkatkan atau dikurangi sesuai kebutuhan ", Berikan setelah makan 
Combes 30 Tablet,Diet," Combes merupakan tablet dengan kombinasi chitosan, ekstrak garsinia cambogia, L-carnitine, chromium picolinat, coenzime Q10 dan vitamin C yang dapat membantu mengurangi lemak tubuh. ", Membantu mengurangi lemak tubuh , Dewasa: 1-3 kali sehari 2 tablet , Diminum 30 menit sebelum makan 
