product_name,category,deskripsi,indikasi_umum,dosis,aturan_pakai
Tolak Angin Cair Plus Madu 15 ml 5 Sachet,Herbal, TOLAK ANGIN CAIR PLUS MADU merupakan obat herbal terstandar yang mengandung kombinasi berbagai herbal alami yang dapat digunakan untuk membantu memelihara atau menjaga daya tahan tubuh dan meringankan gejala masuk angin. ," Herbal untuk membantu meringankan gejala masuk angin, seperti: pusing, meriang, kembung, sakit perut, tengorokan kering, mual dan muntah, serta membantu memelihara atau menjaga daya tahan tubuh. Tolak angin cair juga dapat diminum saat perjalanan jauh, kecapaian dan kurang tidur. "," Untuk membantu menjaga daya tahan tubuh: minum 1 sachet, 2 kali per hari. Selama 7 hari atau lebih.  
Jika masuk angin/sakit perut dan diare: minum 3-4 sachet per hari.  
Sebelum melakukan perjalanan minum 1 sachet, atau 1-3 sachet pada waktu mabuk perjalanan.  
Saat kecapaian dan kurang tidur, minum 1 sachet. "," Kocok dahulu sebelum diminum.  
Sesudah makan. Obat dapat langsung diminum atau dapat dicampur dengan air. "
Lianhua Qingwen 24 Kapsul,Herbal, LIANHUA QINGWEN KAPSUL merupakan produk herbal. Produk ini digunakan untuk membantu meredakan panas dalam yang disertai tenggorokan kering dan membantu meredakan batuk. , Membantu meredakan panas dalam yang disertai tenggorokan kering dan membantu meredakan batuk. , Sehari 3 kali 4 kapsul , Dikonsumsi setelah makan. 
Biosan 275 mg 6 Tablet,Herbal, BIOSAN TABLET merupakan herbal yang mengandung ekstrak Tribulus terrestris yang digunakan untuk membantu memelihara stamina , Membantu memelihara stamina , 3 kali sehari 1 tablet , Sesudah makan 
Vermint 30 Kapsul,Herbal," VERMINT 30 KAPSUL mengandung esktrak lumbricus rubellus, digunakan untuk membantu meredakan demam ", Membantu meredakan demam ," Dewasa : 2 kapsul, 3 kali per hari
 Anak-anak : 1 kapsul, 3 kali per hari. ", Obat dapat diminum sebelum atau sesudah makan 
Vermint 12 Kapsul,Herbal," VERMINT 12 KAPSUL mengandung esktrak lumbricus rubellus, berfungsi untuk membantu meredakan demam ", Membantu meredakan demam ," Dewasa: 2 kapsul, 3 kali per hari 
 Anak-anak: 1 kapsul, 3 kali per hari. ", Sebelum / sesudah makan 
Borobudur Em 12 Kapsul,Herbal, EM KAPSUL merupakan obat herbal yang secara tradisional membantu melancarkan haid dan membantu meredakan nyeri haid , Membantu melancarkan haid dan membantu meredakan nyeri haid ," Minumlah secara teratur 2 kali @ 2 kapsul mulai 4-5 hari sebelum datang haid. 
 Dosis dapat ditingkatkan atau dikurangi sesuai dengan kebutuhan ", Sebelum / sesudah makan 
Curcuma Force 12 Tablet,Herbal, CURCUMA FORCE merupakan suplemen yang mengandung ekstrak temulawak yang berfungsi untuk membantu memelihara kesehatan fungsi hati dan membantu memperbaiki nafsu makan. , Membantu memelihara kesehatan fungsi hati dan membantu memperbaiki nafsu makan. ," 3 x sehari, 1-2 tablet salut selaput ", Diminum sesudah makan 
Antangin JRG Cair 15 ml 5 Sachet,Herbal," ANTANGIN JRG CAIR merupakan sirup herbal yang berkhasiat membantu meredakan gejala masuk angin seperti meriang, mual, kembung, sakit kepala, dan membantu melegakan tenggorokan. "," Membantu meredakan gejala masuk angin seperti meriang, mual, kembung, sakit kepala, dan membantu melegakan tenggorokan. "," Dewasa: 3 kali per hari 1 sachet, 
Anak (6-12 tahun) : 1/2 dosis dewasa ", Diminum sesudah makan langsung dari sachet nya atau dituang 1/2 gelas air hangat.   
Fu Fang E Jiao Jiang 20 ml 12 Botol,Herbal, FU FANG E JIAO JIANG merupakan cairan herbal yang membantu memelihara stamina dan membantu meredakan sakit kepala , Membantu memelihara stamina dan membantu meredakan sakit kepala , 3 x sehari 20 ml , Baik diminum sebelum maupun setelah makan. 
Tolak Angin Anak Cair Plus Madu 10 ml 5 Sachet,Herbal," TOLAK ANGIN ANAK CAIR PLUS MADU merupakan obat herbal yang mengandung kombinasi berbagai herbal alami yang dapat digunakan untuk membantu meredakan masuk angin dan gejala-gejalanya seperti sumeng (meriang), pusing, perut mual, kembung, mules. "," Herbal untuk membantu meredakan masuk angin dan gejala-gejalanya seperti sumeng (meriang), pusing, perut mual, kembung, mules. "," Untuk anak usia 1 tahun langsung diminum 1/2 sachet atau dicampur dengan 1/2 gelas air hangat.  
Untuk anak usia 2-6 tahun : langsung diminum 1 sachet atau dicampur dengan 1/2 gelas air hangat. Minum 3 sachet sehari sesudah makan sampai kondisi membaik.  
Guna menjaga kondisi tubuh: 1 sachet per hari "," Kocok dahulu sebelum diminum.  
Sesudah makan. Obat dapat langsung diminum atau dapat dicampur dengan air. "
Fu Fang E Jiao Jiang 20 ml,Herbal, FU FANG E JIAO JIANG merupakan cairan herbal yang membantu memelihara stamina dan membantu meredakan sakit kepala , Membantu memelihara stamina dan membantu meredakan sakit kepala , 3 x sehari 20 ml , Baik diminum sebelum maupun setelah makan. 
Siladex Cough Herbal Sirup 60 ml,Herbal," Siladex Cough Herbal Sirup mengandung Glycyrrhiza inflata radix extract (Akar manis, Drymaria cordata herba extract (Cemplonan, Myristica fragrans semen extract (Pala) dan Madu 800 mg yang dapat membantu meredakan batuk, membantu menghangatkan dan melegakan tenggorokan. ", Meredakan batuk dan melegakan tenggorokan. ," Dewasa dan anak-anak di atas 12 tahun : 3 x sehari 2 sendok takar (10 ml) 
Anak-anak 6-12 tahun : 3 x sehari 1 sendok takar (5 ml) 
Anak-anak 2-5 tahun : 3 x sehari 1/2 sendok takar (2.5 ml) ", Sesudah makan 
Batugin Sirup 120 ml,Herbal," BATUGIN SIRUP merupakan obat herbal yang digunakan untuk membantu meluruhkan batu urin di ginjal dan saluran kemih, serta membantu melancarkan buang air kecil "," Membantu meluruhkan batu urin di ginjal dan saluran kemih, serta membantu melancarkan buang air kecil "," Terapi: 3-4 kali sehari 1 gelas (cup) takaran penuh (30 ml)
Profilaksis: 1 kali sehari 1 gelas (cup) takaran penuh (30 ml) ", sebelum atau sesudah makan. 
Kapsida Kembang Bulan 12 Kapsul,Herbal," KAPSIDA merupakan kapsul ekstrak herbal yang berkhasiat untuk membantu meringankan gatal-gatal, bisul, koreng, dan jerawat. "," Membantu meringankan gatal-gatal, bisul, koreng dan jerawat ", 3 x sehari 2 kapsul , Sebelum makan 
Mapoh 5.5 g,Herbal, Mapoh merupakan produk herbal yg bermanfaat untuk membantu meredakan demam dan membantu meredakan gatal pada saat sakit tampek. , Obat sakit tampek (campak) dan panas dalam cocok untuk anak-anak dan dewasa ," Dosis: 
1. Anak-anak 1-3 tahun: 1 botol dibagi 4 bagian.
2. Anak-anak 4-7 tahun: 1 botol dibagi 3 bagian.
3. Anak-anak 8-15 tahun: 1 botol dibagi 2 bagian.
4. Dewasa: tiap kali 1 botol.
Dilarang untuk wanita hamil. ", Diaduk dengan air panas 
New Hau Fung San,Herbal," HAU FUNG SAN merupakan herbal yang membantu meredakan panas dalam yang disertai sariawan, tenggorokan kering dan bau mulut "," Membantu meredakan panas dalam yang disertai sariawan, tenggorokan kering dan bau mulut ", 2-3 kali tiap jam , Taburkan serbuk obat 100-200 mg atau secukupnya pada bagian yang sakit. 
Shen Nong Shi Die Da Yao Jing 30 ml,Herbal, SHEN NONG SHI DIE DA YAO JING merupakan obat herbal yang secara Traditional Chinese Medicine (TCM) digunakan untuk membantu meringankan luka ringan dan bengkak. , Membantu meringankan luka ringan dan bengkak. , 3-4 x sehari , Gosok pada bagian yang sakit. 
Tolak Angin Bebas Gula 5 Sachet,Herbal," Tolak Angin Bebas Gula atau Sugar Free merupakan obat herbal yang digunakan untuk membantu meringakan gejala masuk angin dengan gejala: kembung, mual, sakit perut, pusing, meriang, tenggorokan kering, kecapaian, dan kurang tidur "," Obat herbal untuk embantu mengurangi gejala masuk angin dengan gejala kembung, mual, sakit perut, pusing, meriang, lesu dan tenggorokan kering. Juga baik diminum saat perjalanan, kecapaian dan kurang tidur. "," Untuk daya tahan tubuh: minum 1 sachet, 2 kali per hari. Selama 7 hari atau lebih. 
 Untuk masuk angin/ sakit perut: minum 1 sachet, 3 sampai 4 kali per hari. 
 Untuk mabuk atau saat melakukan perjalanan: minum 1 sachet, 1 kali per hari. 
 Untuk kecapaian dan kurang tidur: minum 1 sachet per hari. "," Kocok dahulu sebelum diminum. 
 Sesudah makan. Obat dapat langsung diminum atau dapat dicampur dengan air. "
Vipalbumin 30 Kapsul,Herbal," VIPALBUMIN 30 KAPSUL suplemen makanan yang terbentuk dari Ekstrak Ophiocephalus striatus (ikan gabus), yang digunakan untuk membantu memelihara kesehatan ", Membantu memelihara kesehatan ," 2 - 4 kapsul, diminum 3 kali per hari ", Sesudah makan 
Vitan 250 mg 20 Tablet,Herbal, VITAN 250 MG mengandung Ekstrak Tribulus Terrestris L 250 mg. Vitan digunakan untuk membantu memelihara stamina , Membantu memelihara stamina , 2-3 tablet per hari , Sebaiknya dikonsumsi setelah makan 
