product_name,category,deskripsi,indikasi_umum,dosis,aturan_pakai
Nutrinidrink Powder Vanila 400 g,Ibu dan Anak," NUTRINIDRINK VANILA merupakan makanan diet khusus untuk anak usia 1-12 tahun. Makanan diet khusus berbahan dasar susu sapi yang bergizi dan mengandung Energi (1.5 kkal/ml) untuk membantu memberi pemenuhan energi, yang karena kondisi tertentu tidak dapat dipenuhi dari makanan padat. Karbohidrat, lemak, protein, 12 vitamin dan 10 mineral untuk membantu pertumbuhan anak. Asam linoleat dan asam alpha linolenat sebagai asam lemak esensial. Selain itu, produk ini tidak mengandung laktosa, sehingga dapat digunakan oleh anak yang mengalami intoleransi laktosa.  
Pemakaian produk ini harus di bawah pengawasan Dokter. "," Formula Padat Nutrisi untuk anak usia 1-12 berkebutuhan khusus untuk pemenuhan energi, yang karena kondisi tertentu tidak dapat dipenuhi dari makanan padat, sehingga dapat mencapai berat badan ideal. "," Hanya digunakan sesuai petunjuk dokter atau ahli gizi dan bervariasi sesuai dengan kebutuhan masing-masing individu. 
Minumlah 3 sajian per hari untuk membantu memenuhi kebutuhan energi anak Anda. 
Untuk penggunaan lebih dari 3 sajian, konsultasikan terlebih dahulu dengan Dokter atau ahli gizi anak Anda. "," Hanya digunakan sesuai petunjuk dokter atau ahli gizi dan bervariasi sesuai dengan kebutuhan masing-masing individu. 

PETUNJUK PENYIAPAN: 
Cuci tangan Anda dan siapkan serta gunakan peralatan yang bersih. 
Untuk penyiapan Nutrinidrink, siapkan 150 ml air hangat dalam gelas. 
Gunakan sendok takar yang terdapat pada kemasan Nutrinidrink saat penyiapan. 
Tambahkan 10 sendok takar bubuk Nutrinidrink secara bertahap sambil diaduk dan dicampurkan hingga larut dengan sempurna. 
Habiskan dalam waktu 2 (dua) jam setelah disiapkan. 
Buang sisa cairan yang tidak habis. 
Nutrinidrink yang telah disiapkan dan belum dikonsumsi dapat disimpan (dalam gelas atau botol tertutup) di lemari es dan dikonsumsi selama maksimal 24 jam. "
Infatrini Powder 400 g,Ibu dan Anak," INFATRINI POWDER merupakan susu formula yang mengandung kalori lebih tinggi dari standar formula bayi, yaitu 100 kkal/100mL. Infatrini diindikasikan pada bayi usia 0-12 bulan atau sampai berat badan 5 kg yang memiliki gangguan medis yang menyebabkan naiknya kebutuhan kalori dan pada bayi dengan risiko gagal tumbuh, gizi kurang, atau gizi buruk. Akan terjadi kemungkinan yang tidak diinginkan jika diberikan pada bayi yang tidak memiliki indikasi seperti diatas.   "," Susu formula yang diindikasikan pada bayi usia 0-12 bulan atau sampai berat badan 5 kg yang memiliki gangguan medis yang menyebabkan naiknya kebutuhan kalori dan pada bayi dengan risiko gagal tumbuh, gizi kurang, atau gizi buruk. "," Jumlah pemberian dan pengenceran harus sesuai dengan petunjuk dokter atau praktisi kesehatan tergantung umur, berat badan dan kondisi medis pasien. "," Standar Pengenceran : Untuk Menyiapkan 100 ml formula, masukan 90 ml air dalam botol steril. Tambahkan 4 sendok takar infatrini (20g) secara bertahap.    

Cara menyiapkan dan menyajikan infartini : 
1. Bersihkan tempat penyiapan makanan 
2. Cuci Tangan dengan sabun dan air mengalir. Keringkan. 
3. Rebus air minum sampai mendidih 10 menit dalam panci tertutup.
4. Dinginkan air mendidih tersebut dalam panci tertutup dalam panci tertutup selama 10-15 menit sampai suhunya kurang dari 70 C.  
5. Tuangkan air tersebut sebanyak yang dapat dihabiskan oleh bayi ke dalam botol susu yang telah di sterilkan.  
6. Tambahkan bubuk susu sesuai takaran yang dianjurkan oleh dokter.  
7. Tutup kembali botol susu dan kocok sampai susu larut dengan baik.  
8. Dinginkan segera dengan merendam bagian bawah botol susu di dalam air bersih dingin , sampai suhunya sesuai untuk diminum ( coba untuk meneteskan susu pada pergelangan tangan, akan terasa agak hangat , tidak panas ). 
9. Sisa susu yang telah dilarutkan  dibuang setelah 1 jam. Sisa susu tidak boleh dihangatkan kembali.  "
Imboost Force Kids Sirup 60 ml,Ibu dan Anak," IMBOOST FORCE SIRUP merupakan suplemen dengan kandungan Echinacea purpurea herb dry extract, Blackelderberry fruit dry extract, Zn Piccolinate dalam bentuk sediaan sirup. Suplemen ini digunakan untuk membantu memlihara daya tahan tubuh yang berfungsi untuk mencegah dari sakit dan mempercepat penyembuhan. ", Membantu memelihara kekebalan tubuh atau sistem imun. ," ? Dewasa dan anak umur diatas 12 tahun: 5 ml, 3 kali per hari. 
 ? Anak umur 7 - 12 tahun: 5 ml, 2 sampai 3 kali per hari.
 ? Anak umur 2 - 6 tahun: 2.5 ml, 2 sampai 3 kali per hari.
  Anak umur 1 -2 tahun: Dosis sesuai dengan anjuran dokter. ", Dikonsumsi sesudah makan 
Prove D3 Drops 12.5 ml,Ibu dan Anak, PROVE D3 DROPS merupakan suplemen vitamin D3 (cholecalciferol). Suplemen ini digunakan sebagai suplementasi vitamin D. , Suplementasi Vitamin D. Membantu memenuhi kebutuhan vitamin D. Membantu memelihara kesehatan tubuh. ," Dewasa dan anak usia lebih dari 1 tahun : 1 kali sehari, 1 tetes. "," PROVE D3 sebaiknya diminum setelah makan makanan yang mengandung lemak agar absorpsinya lebih baik. 
 Teteskan Prove D3 ke dalam mulut secara langsung atau diletakkan di sendok terlebih dahulu atau dicampurkan ke dalam minuman. Botol dipegang agar tetap tegak lurus dan ketuk alas botol sampai tetesan keluar. "
Imboost Kids Sirup Rasa Anggur 60 ml,Ibu dan Anak, IMBOOST KIDS SIRUP merupakan suplemen dengan kandungan Echinacea purpurea herb dry extract dan Zn Piccolinate dalam bentuk tablet salut selaput. Suplemen ini digunakan untuk membantu memelihara daya tahan tubuh. , Membantu memelihara daya tahan tubuh. ," Dewasa dan anak umur > 6 tahun : 3 x sehari 1 sendok takar (5 ml)  
Anak umur 1 - 2 tahun : Dosis sesuai dengan anjuran dokter.  
Anak umur 2 - 6 tahun : 1-2 kali 1 sendok takar (5 ml) "," Kocok dahulu sebelum diminum.  
Dikonsumsi sesudah makan "
Transpulmin Kids Balsam 20 g,Ibu dan Anak," TRANSPULMIN KIDS BALSAM merupakan balsam untuk membantu meredakan hidung tersumbat krn influenza, nyeri dipunggung, sakit kepala, sakit perut dan menghangatkan badan. "," Membantu meredakan hidung tersumbat krn influenza, nyeri dipunggung, sakit kepala, sakit perut dan menghangatkan badan. "," Oleskan 1-4 cm balsem ke bagian dada, punggung, dan leher beberapa kali sehari, selama beberapa menit. Penguapan wajah : masukkan beberapa cm balsam ke dalam 1 L air panas, lalu hirup uap air panas tsb selama beberapa menit ", Balsam dioleskan atau dihirup uapnya (setelah dimasukkan ke dalam air panas) 
Cavit D3 10 Tablet,Ibu dan Anak, CAVIT D3 10 TABLET mengandung Ca hydrogen phosphate dan Cholecalciferol. Suplemen ini digunakan untuk membantu kebutuhan kalsium terutama saat kehamilan dan menyusui , Suplemen kalsium yang dibutuhkan terutama saat kehamilan dan menyusui ," 1 kali sehari, 1 tablet ", Sesudah makan 
Transpulmin Baby Balsam 10 g,Ibu dan Anak," TRANSPULMIN BABY BALSAM adalah balsam yang di gunakan untuk bayi di bawah 2 tahun, di mana transpulmin baby balsam ini khusus bayi yang di gunakan untuk meredakan nyeri punggung, sakit kepala, sakit perut, hidung tersumbat, dan menghangatkan badan yang biasanya timbul karena influenza "," Meredakan nyeri punggung, Sakit kepala, Sakit perut & memberi kehangatan pada pasien Influenza. "," Dioleskan 2-4 kali sehari, sesuai dengan kebutuhan. "," Dioleskan pada dada, punggung & leher "
Lactogen Lactose Free 400 g,Ibu dan Anak, LACTOGEN LACTOSE FREE merupakan susu formula bayi yang tidak mengandung laktosa atau lactose. Susu formula ini ditujukan untuk digunakan pada bayi usia 0 - 12 bulan yang mengalami intoleransi terhadap laktosa dan diare. , Formula bayi bebas laktosa untuk keperluan medis khusus untuk bayi yang intoleransi laktosa dan mengalami diare usia 0-12 bulan. ," Diberikan sesuai dengan petunjuk dosis penggunaan, leaflet/brosur dan sesuai atas rekomendasi dokter. "," 1. Cuci tangan Anda dengan sabun sebelum membersihkan dan mensterilkan peralatan minum bayi. 
2. Cuci peralatan minum bayi dengan air yang mengalir sampai bersih. 
3. Rebus peralatan minum bayi dalam air mendidih selama 5-10 menit. Biarkan dalam panci tertutup sampai saat akan dipakai. Bila peralatan minum bayi tidak langsung digunakan, harus disimpan di tempat yang bersih dan tertutup. 
4. Cuci tangan dengan sabun dan air mengalir, kemudian keringkan sebelum mengambil peralatan minum bayi. 
5. Rebus air minum sampai mendidih selama 10 menit, diamkan di dalam panci tertutup selama 10-15 menit sampai suhunya turun menjadi tidak kurang dari 70?C. 
6. Tuangkan air tersebut ke dalam peralatan minum bayi sesuai jumlah yang tertera pada ""Petunjuk Penggunaan"". 
7. Gunakan sendok takar yang tersedia di dalam kaleng. 
8. Masukan bubuk Formula Bayi ke dalam peralatan minum bayi dengan jumlah takaran sesuai ""Petunjuk Penggunaan"". 
9. Kocok sampai bubuk Formula Bayi larut seluruhnya. 
10. Dinginkan segera dengan merendam bagian bawah peralatan minum bayi di dalam air bersih dingin, sampai suhunya sesuai untuk diminum (Dicoba dengan meneteskan Formula Bayi pada pergelangan tangan, akan terasa agak hangat). 
11. Sisa Formula Bayi yang sudah dilarutkan dibuang setelah 2 jam. 
12. Tutup kaleng dengan rapat setelah digunakan dan simpan di tempat sejuk dan kering. Harus dihabiskan dalam waktu 3 minggu setelah dibuka. "
Transpulmin Baby Balsam 20 g,Ibu dan Anak," TRANSPULMIN BABY BALSAM merupakan balsam untuk membantu meredakan hidung tersumbat krn influenza, nyeri dipunggung, sakit kepala, sakit perut dan menghangatkan badan. "," Membantu meredakan hidung tersumbat krn influenza, nyeri dipunggung, sakit kepala, sakit perut dan menghangatkan badan. ", Dioleskan 2-4 kali sehari ," Dioleskan pada dada, punggung & leher "
