product_name,category,deskripsi,indikasi_umum,dosis,aturan_pakai
Atorvastatin 20 mg 10 Tablet,Jantung," ATORVASTATIN 20 MG merupakan jenis obat golongan penghambat HMG-CoA reduktase atau disebut statin. Obat ini digunakan sebagai tambahan diet untuk menurunkan peningkatan kolesterol total, kolesterol LDL, apo-B & trigliserida pada pasien dengan hiperkolesterolemia primer, hiperlipidemia kombinasi (campuran) & hiperkolesterolemia familial heterozigot & homozigot bila respons terhadap diet & tindakan nonfarmakologis lainnya tidak adekuat. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
 Sebagai terapi tambahan di samping diet, untuk menurunkan kolesterol total, kolesterol LDL, apolipoprotein-B, dan kadar trigliserida pada pasien dengan hiperkolesterolemia primer, hiperlipidemia kombinasi (campuran), serta hiperkolesterolemia familial heterozigot dan homozigot, bila diet dan penatalaksanaan non-farmakologik lainnya kurang berhasil. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. 
 
 Dosis awal yang biasa diberikan adalah 10 mg 1 kali sehari. Rentang dosis adalah antara 10-80 mg sekali sehari. 
 Hypercholesterolemia primer dan hyperlipidemia campuran: 10 mg, diberikan 1 kali sehari.
 Familial hypercholesterolemia homozigot: 10-80 mg per hari. 
 Familial hypercholesterolemia heterozigot pada pasien anak-anak (10-17 tahun): dosis awal yang direkomendasikan adalah 10 mg/hari, dosis maksimum yang direkomendasikan adalah 20 mg/hari. 
 Penyesuaian harus dilakukan pada interval 4 minggu. Kombinasi dg siklosporin, telaprevir, atau kombinasi tipranavir/ritonavir: Dosis tidak boleh melebihi 10 mg. ", Dapat dikonsumsi sebelum atau sesudah makan. 
Atorvastatin 10 mg 10 Tablet,Jantung," ATORVASTATIN 10 MG merupakan jenis obat golongan penghambat HMG-CoA reduktase atau disebut statin. Obat ini digunakan sebagai tambahan diet untuk menurunkan peningkatan kolesterol total, kolesterol LDL, apo-B & trigliserida pada pasien dengan hiperkolesterolemia primer, hiperlipidemia kombinasi (campuran) & hiperkolesterolemia familial heterozigot & homozigot bila respons terhadap diet & tindakan nonfarmakologis lainnya tidak adekuat. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
 Sebagai terapi tambahan di samping diet, untuk menurunkan kolesterol total, kolesterol LDL, apolipoprotein-B, dan kadar trigliserida pada pasien dengan hiperkolesterolemia primer, hiperlipidemia kombinasi (campuran), serta hiperkolesterolemia familial heterozigot dan homozigot, bila diet dan penatalaksanaan non-farmakologik lainnya kurang berhasil. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. 
 
 Dosis awal yang biasa diberikan adalah 10 mg 1 kali sehari. Rentang dosis adalah antara 10-80 mg sekali sehari. 
 Hypercholesterolemia primer dan hyperlipidemia campuran: 10 mg, diberikan 1 kali sehari.
 Familial hypercholesterolemia homozigot: 10-80 mg per hari. 
 Familial hypercholesterolemia heterozigot pada pasien anak-anak (10-17 tahun): dosis awal yang direkomendasikan adalah 10 mg/hari, dosis maksimum yang direkomendasikan adalah 20 mg/hari. 
 Penyesuaian harus dilakukan pada interval 4 minggu. Kombinasi dg siklosporin, telaprevir, atau kombinasi tipranavir/ritonavir: Dosis tidak boleh melebihi 10 mg. ", Dapat dikonsumsi sebelum atau sesudah makan. 
Atorvastatin Dexa 20 mg 1 Box (30 Tablet/Box) - Obat Rutin,Jantung," ATORVASTATIN 20 MG merupakan jenis obat golongan penghambat HMG-CoA reduktase atau disebut statin. Obat ini digunakan sebagai tambahan diet untuk menurunkan peningkatan kolesterol total, kolesterol LDL, apo-B & trigliserida pada pasien dengan hiperkolesterolemia primer, hiperlipidemia kombinasi (campuran) & hiperkolesterolemia familial heterozigot & homozigot bila respons terhadap diet & tindakan nonfarmakologis lainnya tidak adekuat. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
 Sebagai terapi tambahan di samping diet, untuk menurunkan kolesterol total, kolesterol LDL, apolipoprotein-B, dan kadar trigliserida pada pasien dengan hiperkolesterolemia primer, hiperlipidemia kombinasi (campuran), serta hiperkolesterolemia familial heterozigot dan homozigot, bila diet dan penatalaksanaan non-farmakologik lainnya kurang berhasil. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. 
 
 Dosis awal yang biasa diberikan adalah 10 mg 1 kali sehari. Rentang dosis adalah antara 10-80 mg sekali sehari. 
 Hypercholesterolemia primer dan hyperlipidemia campuran: 10 mg, diberikan 1 kali sehari.
 Familial hypercholesterolemia homozigot: 10-80 mg per hari. 
 Familial hypercholesterolemia heterozigot pada pasien anak-anak (10-17 tahun): dosis awal yang direkomendasikan adalah 10 mg/hari, dosis maksimum yang direkomendasikan adalah 20 mg/hari. 
 Penyesuaian harus dilakukan pada interval 4 minggu. Kombinasi dg siklosporin, telaprevir, atau kombinasi tipranavir/ritonavir: Dosis tidak boleh melebihi 10 mg. ", Dapat dikonsumsi sebelum atau sesudah makan. 
Clopidogrel Dexa 75 mg 1 Box (30 Tablet/Box) - Obat Rutin,Jantung," CLOPIDOGREL 75 MG TABLET adalah obat yang memiliki efek anti agregasi platelet (keping darah atau trombosit) dan menghambat pembentukan trombus (penggumpalan darah yang terbentuk pada dinding pembuluh darah arteri dan vena). Trombus yang terbentuk dapat menganggu aliran darah ke organ tubuh, sehingga berpotensi menyebabkan masalah kesehatan serius, seperti stroke dan serangan jantung. Obat ini secara selektif menghambat ikatan Adenosine Di-Phosphate (ADP) pada reseptor ADP di platelet. Dengan demikian, maka akan menghambat aktivasi kompleks glikoprotein GPIIb/IIIa yang dimediasi ADP, sehingga menimbulkan penghambatan terhadap agregasi platelet dan pembentukan trombus. Dengan demikian, maka Clopidogrel dapat mengurangi kejadian aterosklerosis pada pasien yang berisiko tinggi, termasuk pasien yang memiliki riwayat infark miokard dan gejala lain dari sindrom koroner akut, stroke, serta penyakit arteri perifer. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Mengurangi kejadian aterosklerosis (infark miokard, stroke dan kematian vaskular) pada pasien dengan aterosklerosis yang ditandai dengan stroke yang belum lama, terjadi infark miokard atau penyakit arteri lain. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. 
Sehari 1 kali 1 tablet (75 mg). 
Tidak ada penyesuaian dosis yang diperlukan untuk pasien lanjut usia atau pasien dengan penyakit ginjal. ", Dapat dikonsumsi sebelum maupun sesudah makan. 
Isosorbide Dinitrate 5 mg 10 Tablet,Jantung, ISOSORBIDE DINITRATE 5 MG TABLET merupakan obat anti angina golongan nitrat. Obat ini bekerja untuk menurunkan kebutuhan dan meningkatkan suplai oksigen dengan cara mempengaruhi tonus vaskular. Obat ini digunakan untuk mengatasi Angina (nyeri dada) yang disebabkan oleh penyakit jantung. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. ," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Pencegahan dan pengobatan angina pektoris yang disebabkan penyakit jantung koroner "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Dosis awal: 5 mg, dapat ditingkatkan 10 mg pada hari ke-2 atau ke-3 sesuai anjuran dokter.
Dosis pemeliharaan: 1 tablet 2 kali per hari. ", Dihisap dibawah lidah 
Clonidine 0.15 mg 10 Tablet,Jantung," CLONIDINE merupakan obat yang digunakan untuk membantu mengatasi hipertensi, mengurangi efek sakit yang parah akibat kanker, dan sebagai terapi untuk dismenore parah. Clonide menstimulasi alpha-adrenoreceptors pada batang otak, dimana aksi ini akan menurunkan aliran simpatetik dari sistem saraf pusat. Selain itu juga menurunkan resitensi peripheral, resistensi renal vascular, denyut jantung, dan tekanan darah. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Obat antihipertensi untuk menurunkan tekanan darah tinggi.  "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. 
Tekanan darah tinggi atau hipertensi (dewasa) : 
Dosis Awal : 0.075 - 0.15 mg per hari. ", Sesudah makan 
Angintriz MR 10 Tablet,Jantung, ANGINTRIZ MR merupakan obat  untuk menanggulangi Angina Pectoris dengan mencegah kekurangan nutrisi dan oksigen pada otot jantung. Angintriz mengandung Trimetazidine Hydrochloride merupakan obat yang termasuk ke dalam golongan agen metabolic anti-ishemic atau dikenal juga dengan sebutan anti anginal. Yang memiliki cara kerja dengan meningkatkan pemakaian glukosa myocardial dengan cara menghambat metabolisme asam lemak. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. , Terapi tambahan untuk antiangina ," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
2x sehari 1 tablet pada pagi dan sore hari. ", Berikan pada saat makan 
Aptor 100 mg 10 Tablet,Jantung," APTOR TABLET adalah obat tablet yang mengandung Acetylsalicylic Acid 100 mg. Acetylsalicylic acid atau dikenal juga dengan Aspirin merupakan senyawa analgesik non steroid yang digunakan sebagai analgesik, antipiretik, antiinflamasi dan anti-platelet. Pada dosis kecil (80 mg - 100 mg), Acetylsalicylic acid, memiliki manfaat sebagai anti-platelet atau pengencer darah yang dapat digunakan untuk mencegah proses agregasi platelet (keping darah atau trombosit) pada pasien yang mengalami infark miokard atau penyumbatan pada otot jantung dan kondisi pasca stroke. Obat ini bekerja dengan cara menghambat agregasi trombosit sehingga dapat menghambat pembentukan trombus (penggumpalan darah yang terbentuk pada dinding pembuluh darah) yang sering ditemukan pada pembuluh darah arteri. Acetylsalicylic acid akan menghambat aktivitas enzim cyclo-oxygenase I dan II (COX 1 dan COX 2) yang selanjutnya menghambat produksi tromboksan, yaitu zat yang merangsang agregasi trombosit. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Mencegah proses agregasi trombosit pada pasien infark miokard dan pasien angina tidak stabil, serta mencegah serangan serebral iskemik sesaat. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
80-160 mg/hari. 
Untuk infark miokard : sampai dengan 300 mg/hari. 
Untuk transient ischaemic attack (TIA) atau storke ringan : sampai dengan 1000 mg/hari. "," Diberikan setelah makan. 
Telan utuh, jangan dikunyah, dipotong, atau dihancurkan. "
Bio Atp 10 Tablet,Jantung," BIO ATP mengandung ATP / Adenosin Triphosphate 20mg, Thiamin 100mg, Pyridoxine 200mg, Cyanobalamin 200mcg, dan juga Vitamin e 30mg.
Adenosina trifosfat (ATP) merupakan jenis nukleotida yang di sebut sebagai ?satuan molekular? pertukaran energi intraselular, maksudnya adalah, ATP ini di pakai untuk menyimpan dan mentranspor energi kimia yang ada di dalam sel. ATP juga mempunyai peran yang penting di dalam sintesis asam nukleat. Pada tumbuhan, molekul ATP juga di pakai untuk menyerap energi yang bersumber oleh tumbuhan dalam respirasi seluler nya. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Otot atau neuromuskuler astenia, otot jantung gangguan metabolisme, kelelahan fisik "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
2-4 tablet sehari ", sebelum atau sesudah makan 
Cedocard 5 mg 10 Tablet,Jantung, CEDOCARD 5 MG merupakan obat anti angina untuk mengatasi gejala yang timbul pada saat terjadi serangan angina atau serangan jatung dan gagal jantung kongestif untuk mengurangi sesak dan gejala lainnya. Cedocard mengandung isosorbide dinitrate yang berfungsi untuk melebarkan dinding pembuluh darah. Isosorbide dinitrate juga dapat menurunkan tekanan darah sehingga dapat digunakan sebagai anti hipertensi. dalam menggunakan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. ," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Terapi Angina Pektoris, Pencegahan serangan angina pada penyakit2 koroner khronik, gangguan Angina paska Infark Miokard, Gagal Jantung "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
3 kali sehari 1 tablet ", Sesudah makan 
