product_name,category,deskripsi,indikasi_umum,dosis,aturan_pakai
Oligocare 30 Tablet,Vitamin & Suplemen, OLIGOCARE 30 TABLET merupakan suplemen penunjang untuk memnuhi kebutuhan mikronutrien untuk mendukung kesehatan tubuh pria. OLIGOCARE TABLET mengandung vitamin C yang berguna untuk melindungi sperma dari kerusakan karena interaksi obat-obatan. , Membantu memenuhi kebutuhan mikronutrisi untuk menunjang kesehatan pria , 1 tablet 2 kali sehari , Sebaiknya diberikan bersama makanan 
Herbapoten 10 Tablet,Herbal, Herbapoten Tablet terbuat dari bahan alami Tongkat Ali atau Pasak Bumi murni yang di produksi dengan teknologi modern Advance Fractionation Technology menghasilkan fraksi yang paling sesuai dari Tongkat Ali atau Pasak Bumi untuk stamina dan vitalitas Pria. ," Meningkatkan stamina dan vitalitas Pria, meningkatkan libido (membangkitkan naluri dan hasrat seksual), meningkatkan kepuasan seksual (mood & performa seksual), membuat tubuh lebih FIT untuk Pria. ", setiap hari 1 kali 1 kaplet selama 14 hari. , Sesudah makan 
Neo Hormoviton 5 Kapsul,Vitamin & Suplemen, NEO HORMOVITON KAPSUL digunakan sebagai suplemen kesehatan untuk stamina pria. , Suplemen kesehatan untuk stamina pria , Memelihara kesehatan 1 kapsul/ hari. Memulihkan stamina 3 kali sehari 1 kapsul , Sesudah makan 
Plusfortil 20 Kapsul,Vitamin & Suplemen, Plusfortil merupakan suplemen kesehatan yang membantu memenuhi kebutuhan gizi mikro sebagai suplemen penunjang kesehatan pada pria.  , Membantu memenuhi kebutuhan mikronutrien untuk membantu kesehatan pria.  , 2 kapsul 1 kali sehari. , Dapat dikonsumsi dengan makanan atau sesudah makan.  
Sido Muncul Libidione 30 Kapsul,Herbal, Sido Muncul Libidione merupakan suplemen herbal khusus bagi pria. ," Suplemen herbal khusus bagi pria dengan ekstrak tribulus yang lebih banyak untuk meningkatkan stamina dan vitalitas pria, serta memperlancar peredaran darah sehingga kebugaran tubuh tetap terjaga. "," 1 kapsul, 2-3x sehari selama 1-2 bulan atau sesuai petunjuk dokter. ",-
Starfer 90 Kapsul,Vitamin & Suplemen," STARFER merupakan suplemen makanan dengan kandungan Pygeum Africanum, Zinc sulfate, Piridoxine, Folic Acid, Ascorbic Acid, Cyanocobalamin, Frustose, Sodium selenite, Arginine, Carnitine, Vitamin E. Kandungan vitamin dan antioksidan pada produk ini membantu melindungi sel-sel dari kerusakan akibat radikal bebas sehingga dapat memelihara kesehatan fungsi prostat pada pria. ", Suplemen makanan yang digunakan untuk membantu memelihara kesehatan fungsi prostat. ," 1 kapsul, diminum 2 kali per hari. ", Dikonsumsi setelah makan 
Adidas Man Climacool Spray 150 ml,Kebutuhan Pria, - , Formula ClimaCool antiperspirant menambah kekuatan untuk perlindungan yang terbaik dikelasnyA persembahan terbaik dari Adidas Memberikan perlindungan selama 48 jam tanpa rasa lengket dan mengkontrol bau berkat blocking ganda dan formula penyerapan yang aktif sehinggan memberikan perlindungan yang sempurna sepanjang hari , Sesuai kebutuhan , Semprot ADIDAS Spray ke tubuh Anda dan bersiaplah menjadi wanita yang dikagumi di manapun Anda berada 
Adidas Men 3 In 1 Pure Game Relaxing Deo Body Spray 150 ml,Kebutuhan Pria, - , Adidas Pure Game Anti Perspirant Roll On meluncurkan keharuman untuk pria moderen Adidas menyajikan aroma yang sangat maskulin yang menarik perhatian semua orang The woody hijau menambah kesegaran pada harihari Anda dan menjaga keseharian Anda selalu segar dengan keharuman yang maskulin , Sesuai kebutuhan , Semprot ADIDAS Spray ke tubuh Anda dan bersiaplah menjadi wanita yang dikagumi di manapun Anda berada 
Adidas Men Champ League Eau De Toilette Spray 100 ml,Kebutuhan Pria, - ," aroma oriental kayu segar untuk pria. Terinspirasi oleh atmosfer unik dari arena Liga Champions aroma ini kuat, menyegarkan dan elegan. ", Sesuai kebutuhan , Semprot ADIDAS Spray ke tubuh Anda dan bersiaplah menjadi wanita yang dikagumi di manapun Anda berada 
Adidas Men Dynamic Pulse Deo Body Spray 150 ml,Kebutuhan Pria, - , adidas deo body spray memberikan perlindungan hingga 24 jam untuk membangkitkan semangat beraktivitas seharian Untuk performa yang lebih tinggi , Sesuai kebutuhan , Semprot ADIDAS Spray ke tubuh Anda dan bersiaplah menjadi wanita yang dikagumi di manapun Anda berada 
Adidas Men Dynamic Pulse Eau De Toilette Spray 100 ml,Kebutuhan Pria, - , Merupakan parfum yang digunakan untuk pria. Mampu menjaga keharuman dan kesegaran Anda sepanjang hari. , Sesuai kebutuhan , Semprotkan parfum dengan jarang 35 cm dari permukaan kulit setelah selesai mandi sebelum anda melakukan aktifitas sehari lalu dapatkan keharuman maskulin sepanjang hari 
Adidas Men Get Ready Deo Body Spray 150 ml,Kebutuhan Pria,-, adidas deo body spray memberikan perlindungan hingga 24 jam untuk membangkitkan semangat beraktivitas seharian Untuk performa yang lebih tinggi , Sesuai kebutuhan , Semprot ADIDAS Spray ke tubuh Anda dan bersiaplah menjadi wanita yang dikagumi di manapun Anda berada 
Adidas Men Ice Dive Deo Body Spray 150 ml,Kebutuhan Pria, - , adidas deo body spray memberikan perlindungan hingga 24 jam untuk membangkitkan semangat beraktivitas seharian Untuk performa yang lebih tinggi , Sesuai kebutuhan , Semprot ADIDAS Spray ke tubuh Anda dan bersiaplah menjadi wanita yang dikagumi di manapun Anda berada 
Adidas Men Ice Dive Eau De Toilette Spray 100 ml,Kebutuhan Pria, - , Merupakan parfum yang digunakan untuk pria. Mampu menjaga keharuman dan kesegaran Anda sepanjang hari. , Sesuai kebutuhan , Semprotkan parfum dengan jarang 35 cm dari permukaan kulit setelah selesai mandi sebelum anda melakukan aktifitas sehari lalu dapatkan keharuman maskulin sepanjang hari 
Adidas Men Team Force Deo Body Spray 150 ml,Kebutuhan Pria, - , adidas deo body spray memberikan perlindungan hingga 24 jam untuk membangkitkan semangat beraktivitas seharian Untuk performa yang lebih tinggi , Sesuai kebutuhan , Semprot ADIDAS Spray ke tubuh Anda dan bersiaplah menjadi wanita yang dikagumi di manapun Anda berada 
Alpecin Caffeine Shampoo C1 250 ml,Kebutuhan Pria,-,-,-,-
Axe Deo Roll On Signature Invisible Protection 50 ml,Kebutuhan Pria,-,-,-,-
Axe Deo Roll On Urban Anti Bac Protection 50 ml,Kebutuhan Pria,-,-,-,-
Axe Deo Spray Anarchy for Her 150 ml,Kebutuhan Pria,-, mencegah bau tidak sedap karena keringat berlebih dari ketiak Anda. , Sesuai kebutuhan , Semprotkan pada ketiak  
Axe Deo Spray Anarchy for Him 150 ml,Kebutuhan Pria,-, deodoran untuk mencegah bau tidak sedap karena keringat berlebih dari ketiak ,-," Putar, tekan, kocok dan semprotkan 15 cm dari tubuh dan ketiak "
