product_name,category,deskripsi,indikasi_umum,dosis,aturan_pakai
Primolut N 5 mg 15 Tablet,Kontrasepsi & Hormon," PRIMOLUT N 5 MG merupakan obat dengan kandungan Norethisterone, yang merupakan hormon progesteron. Obat ini digunakan untuk pendarahan disfungsional, amenore primer dan sekunder, sindrom pra-menstruasi, mastopati siklik, pengaturan waktu menstruasi, endometriosis. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Pendarahan disfungsional, amenore primer dan sekunder, sindrom pra-menstruasi, mastopati siklik, pengaturan waktu menstruasi, endometriosis "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Pendarahan disfungsional : 3 x per hari 1 tablet selama 10 hari, maksimal 30 hari. Amenore primer dan sekunder : 1-2 x sehari 1 tablet selama 10 hari. Untuk merangsang pendarahan siklus : 2 x sehari 1 tablet dimulai pada hari ke 16 sampai dengan 25 dari siklus menstruasi. Sindrom pra-menstruasi : 1 - 3 x sehari 1 tablet selama fase luteal dari siklus. Pengaturan Haid : 2-3 x sehari 1 tablet selama 10-14 hari dimulai 3 hari sebelum menstruasi yang diharapkan. Endometriosis : Dimulai pada hari 1 sampai dengan ke 5 dari siklus, dengan dosis 2 x sehari 1 tablet. Pengobatan dapat dilanjutkan 4-6 bulan. ", Sesudah makan 
Postinor-2 0.75 mg 2 Tablet,Kontrasepsi & Hormon," POSTINOR-2 0.75 MG 2 TABLET di gunakan sebagai kontrasepsi darurat yang diminum secara oral, untuk wanita yang baru saja berhubungan seksual tanpa pengaman. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. ", sebagai kontrasepsi darurat yang harus diminum 12-72 jam (3 hari) setelah berhubungan seksual tanpa perlindungan. ," 0.75 mg harus di minum 2 kali. Dosis pertama diminum sesegera mungkin, sedangkan dosis kedua diminum 12 jam setelah dosis pertama. ", setelah makan 
Testpack The Real Testpack,Kontrasepsi & Hormon," TESTPACK THE REAL TESTPACK adalah alat uji kehamilan yang sangat mudah digunakan. TESTPACK THE REAL TESTPACK sangat praktis dan cepat untuk mengetahui hasil kehamilan. Untuk mendapatkan hasil yang akurat sebaiknya digunakan setelah 7 hari berhubungan. Strip ini bekerja dengan cara mendeteksi tingkat kadar hormon hCG (human Chorionic Gonadotrophin) pada air seni, dimana hormon hCG akan meningkat pada saat awal kehamilan. ", Tes Strip untuk mengetahui kehamilan secara dini. ,-," Tampung sample urine dalam cawan bersih. Disarankan urine pagi hari, karena konsentrasi HCG pada urine paling tinggi. Buka kemasan aluminium foil, keluarkan strip dan celupkan ke dalam sample urine sampai batas garis biru selama 30 detik. "
Diane-35 21 Tablet,Kontrasepsi & Hormon," DIANE-35 TABLET adalah obat kontrasepsi yang mengandung kombinasi Cyproterone acetate 2 mg dan Ethinyl estradiol 0.035 mg. Obat ini digunakan sebagai kontrasepsi oral. Obat Diane-35 juga dapat digunakan untuk mengobati wanita dengan masalah jerawat yang parah, serta dapat menangani masalah lain seperti seborrhea atau hirsutisme ringan. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Kontrasepsi oral, hirsutism (pertumbuhan rambut berlebih pada wanita di area yang biasanya tumbuh rambut pada pria), jerawat. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
1 x sehari 1 tablet dimulai pada hari ke-1 siklus haid selama 21 hari diikuti masa istirahat selama 7 hari. ", Sebelum atau sesudah makan 
Onemed Ultraone Tes Kehamilan,Kontrasepsi & Hormon," Onemed Ultraone Tes Kehamilan merupakan alat tes uji kehamilan yang mempunyai sensitifitas 20mlU dan akurasi 99.9%. Onemed Ultraone sangat praktis dan cepat untuk mengetahui hasil kehamilan. Untuk mendapatkan hasil yang akurat sebaiknya digunakan setelah 7 hari berhubungan. Strip ini bekerja dengan cara mendeteksi tingkat kadar hormon hCG (human Chorionic Gonadotrophin) pada air seni, dimana hormon hCG akan meningkat pada saat awal kehamilan. ", Tes Strip untuk mengetahui kehamilan secara dini. , Sesuai kebutuhan ," Pengujian dapat dilakukan minimal 7 hari setelah berhubungan. Tahapnya dapat dilakukan dengan cara menampung urine pertama yang keluar di pagi hari, kemudian strip dicelupkan ke dalamnya. Dalam waktu 1-3 menit hasil tes dapat terlihat. ( Dua garis : Positif, Satu garis : Negatif) "
Andalan Pil Kb 56 Tablet,Kontrasepsi & Hormon," ANDALAN PIL KB TABLET adalah kontrasepsi oral yang mengandung Levonogestrel 0.15 mg, dan ethinylestradion 0.03 mg. Obat ini bekerja dengan cara mencegah pertemuan antara sel sperma dan sel telur. Pil ini membuat carian vagina menjadi kental sehingga sulit dilalui oleh sperma. Untuk menjaga efektivitas, Pil KB hendaknya dikonsumsi pada waktu yang sama setiap hari. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Sebagai kontrasepsi oral untuk mencegah kehamilan "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
1 x sehari 1 tablet ", Segera sebelum makan atau bersama  makanan 
Yasmin 21 Tablet,Kontrasepsi & Hormon," YASMIN mengandung drospirenone dan ethinylestradiol yang merupakan Kontrasepsi oral dengan efek antimineralokortikoid dan antiandrogenik. Juga bermanfaat bagi wanita yang mengalami retensi cairan terkait hormon dan gejala yang ditimbulkannya, dan bagi wanita dengan jerawat dan seborrhea. Kontrasepsi oral kombinasi (KOK) didasarkan pada interaksi berbagai faktor, yang paling penting dilihat sebagai penghambatan ovulasi dan perubahan sekresi serviks. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Kontrasepsi oral "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Mulai pada hari pertama menstruasi, tiap hari 1 tablet selam 21 hari, lalu 7 hari tanpa tablet, dan seterusnya ", Dikonsumsi dengan atau tanpa makanan. Konsumsi dengan waktu yang sama  
Kondom Durex Extra Safe Isi 3,Kontrasepsi & Hormon, KONDOM DUREX EXTRA SAFE ISI 3 merupakan alat kontrasepsi yang digunakan oleh pria , Alat kontrasepsi , Sesuai kebutuhan. Digunakan saat berhubungan intim , Digunakan pada kelamin pria saat berhubungan intim 
Norelut 5 mg 10 Tablet,Kontrasepsi & Hormon," NORELUT merupakan obat dengan kandungan Norethisterone, yang merupakan hormon progesteron. Obat ini digunakan untuk pendarahan disfungsional, amenore primer dan sekunder, sindrom pra-menstruasi, mastopati siklik, pengaturan waktu menstruasi, endometriosis. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Pengobatan perdarahan rahim disfungsional, endometriosis, metropati hemoragika, sindroma pra-menstruasi, penundaan waktu haid, menoragi & dismenore "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
3 X sehari 1 tablet selama 10 hari pendarahan. ", Sesudah makan 
Kondom Durex Invisible Extra Thin Isi 2,Kontrasepsi & Hormon, KONDOM DUREX INVISIBLE EXTRA THIN ISI 2 merupakan alat kontrasepsi yang di gunakan oleh pria , Alat kontrasepsi , Sesuai kebutuhan , Digunakan pada kelamin pria saat berhubungan intim 
