product_name,category,deskripsi,indikasi_umum,dosis,aturan_pakai
Mometasone Cream 10 g,Kulit," MOMETASONE CREAM digunakan untuk meringankan manifestasi inflamasi dan pruritus dari dermatosis yang responsif terhadap kortikosteroid, psoriasis, dermatitis atopik. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Meringakan manifestasi inflamasi dan pruritus dari dermatosis yang responsif terhadap kortikosteroid, psoriasis, dermatitisk atopik "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Oleskan 1 x sehari ", Oleskan pada bagian yang sakit 
Caladine Lotion 60 ml,Kulit," CALADINE LOTION merupakan lotion anti gatal yang mengandung Calamine, Zinc Oxyde dan Diphenhydramine HCL. Caladine lotion digunakan untuk mengobati gatal karena biang keringet, udara panas, gigitan serangga. Selain itu dapat digunakan sebagai antialergi, antideptik dan penyejuk kulit "," Mengobati gatal karena biang keringet, udara panas, gigitan serangga. Selain itu dapat digunakan sebagai antialergi, antideptik dan penyejuk kulit ", 2-4 kali sehari ," Bersihkan bagian kulit yang gatal lalu oleskan, sebaiknya digunakan sehabis mandi pagi dan sore. "
Digenta Cream 10 g,Kulit, DIGENTA CREAM adalah obat oles yang mengandung Gentamycin 0.1% dan Betamethasone 0.05%. Obat ini digunakan untuk pengobatan penyakit kulit seperti inflamasi pada dermatosis yang peka terhadap kortikosteroid dan disertai oleh infeksi sekunder oleh bakteri tertentu. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. ," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Dermatosis yang responsif terhadap Kortikosteroid dengan komplikasi infeksi sekunder "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Oleskan krim 2 x sehari ", Krim dioleskan pada area kulit yang radang/sakit 
Acyclovir 5% Cream 5 g,Kulit," ACYCLOVIR CREAM merupakan obat generik yang mengandung zat aktif Acyclovir yang digunakan untuk mengobati infeksi akibat virus seperti pengobatan infeksi herpes simpleks pada kulit & membran mukosa, termasuk herpes genital awal & rekuren. Pencegahan infeksi herpes simpleks berulang pada pasien imunokompeten. Profilaksis herpes simpleks pada pasien immunocompromised. Pengobatan herpes zoster. Obat ini bekerja dengan cara menghambat virus herpes simplex DNA polymerase dan replikasi DNA virus, sehingga mencegah sintesa DNA virus tanpa mempengaruhi sel normal (sel tubuh). Dalam penggunaan obat ini HARSU SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS.   
Pengobatan infeksi herpes simpleks pada kulit & membran mukosa, termasuk herpes genital awal & rekuren. Pencegahan infeksi herpes simpleks berulang pada pasien imunokompeten. Profilaksis herpes simpleks pada pasien immunocompromised. Pengobatan herpes zoster. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.  
Oleskan 5 kali sehari dengan interval 4 jam selama 4-10 hari. ", Dioleskan pada area infeksi/yang sakit setelah kulit dibersihkan dan dikeringkan. 
Bioplacenton Gel 15 g,Kulit," BIOPLACENTON merupakan obat yang mengandung Placenta Extract dan Neomycin sulfate. Obat ini biasa digunakan untuk mengobati luka bakar, luka dengan infeksi, serta luka kronik dan jenis luka yang lain. Ekstrak plasenta bekerja dengan memicu pembentukan jaringan baru dan untuk wound healing, sedangkan neomycin bekerja dengan mencegah atau mengatasi infeksi bakteri Gram negatif pada area luka. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Luka bakar, luka dengan infeksi, serta luka kronik dan jenis luka yang lain. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Oleskan 4-6 x sehari atau sesuai kebutuhan pada area luka. ", Dioleskan pada kulit yang sakit/ lepuh/ terbakar setelah kulit dibersihkan dan dikeringkan. 
Gentasolon Cream 5 g,Kulit," GENTASOLON CREAM mengandung Fluocinolone Acetonide dan Gentamisin Sulfat sehingga menggabungkan kortikosteroid dengan antibiotik spektrum luas dan memiliki sifat anti-inflamasi, anti alergi, antipruritus dan antibakteri. Gentasolon memiliki nilai khusus pada penyakit kulit yang rumit oleh infeksi lokal. Obat ini digunakan untuk Pengobatan topikal penyakit kulit misalnya dermatitis atopik, terutama bentuk yang terinfeksi, neurodermatitis, dermatitis seboroik, eksim, dermatitis kontak, dermatitis eksfoliatif, pruritus anogenital. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS.   
Pengobatan topikal penyakit kulit misalnya dermatitis atopik, terutama bentuk yang terinfeksi, neurodermatitis, dermatitis seboroik, eksim, dermatitis kontak, dermatitis eksfoliatif, pruritus anogenital. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Oleskan krim 2-3 x sehari ", Krim dioleskan pada area kulit yang radang/sakit 
Bactoderm 2% Cream 5 g,Kulit," BACTODERM 2% CREAM 5 G adalah obat yang mengandung Mupirocin. Obat ini digunakan untuk mengatasi infeksi bakteri pada kulit terutama yang disebabkan oleh bakteri gram positif seperti Staphylococcus aureus dan Staphylococcus pyogenes yang menyebabkan impetigo, folikulitis, karbunkel serta bisul. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Infeksi Kulit primer akut, misalnya Impetigo, Folikulitis, Furunkulosis "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Dewasa dan anak : oleskan hingga 3 x sehari selama s/d 10 hari ", Dioleskan pada area kulit yang sakit/radang 
Thrombophob Gel 20 g,Kulit," THROMBOPHOB GEL merupakan sediaan topikal berbentuk gel yang mengandung Sodium Heparin. Heparin merupakan suatu antikoagulan yang dapat mencegah terbentuknya gumpalan-gumpalan dalam darah dan membantu memcahkan pembekuan darah yang telah terbentuk. Obat ini digunakan untuk flebitis superfisial, penyempitan pembuluh vena, cedera karena olahraga dan kecelakaan. "," Obat ini digunakan untuk flebitis superfisial, penyempitan pembuluh vena, cedera karena olahraga dan kecelakaan. ", 2-3 kali sehari dioleskan tipis pada kulit. , Dioleskan pada area yang sakit 
Cindala 10 mg/g Gel 10 g,Kulit, CINDALA 10 MG/G GEL adalah obat antibiotik topikal untuk mengobati jerawat yang parah pada orang dewasa dan anak-anak yang berusia minimal 12 tahun. Cindala Gel mengandung Clindamycin obat antibiotik yang digunakan untuk mengobati infeksi serius yang disebabkan oleh bakteri anaerob atau bakteri aerob gram positif yang rentan. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. ," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Jerawat/Akne vulgaris "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Sehari 2-3 kali ", Oleskan tipis-tipis pada kulit jerawat 
Sagestam 0.1% Cream 10 g,Kulit," SAGESTAM 0.1% CREAM merupakan sediaan topikal berbentuk cream yang digunakan untuk mengobati penyakit kulit akibat infeksi oleh bakteri yang peka. Sagestam mengandung Gentamicin yang termasuk golongan antibiotik aminoglikosida yang digunakan secara luas terutama untuk mengobati infeksi-infeksi yang disebabkan oleh bakteri gram negatif, seperti Pseudomonas, Proteus, Serratia, dan Staphylococcus. Gentamicin juga digunakan untuk septikemia (keracunan darah oleh bakteri patogenik dan atau zat-zat yang dihasilkan oleh bakteri tersebut), meningitis (radang selaput otak), infeksi saluran kemih, saluran pernafasan, saluran pencernaan, infeksi pada kulit, tulang, dan jaringan lunak. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Infeksi kulit primer seperti folikulitis superfisial, furunkulosis, impetigo kontagiosa, pioderma gangrenosa. Infeksi kulit sekunder seperti dermatitis eksematus infeksiosa, akne pustular, psoriasis pustular, dermatitis seboroik terinfeksi, dermatitis kontak. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Oleskan 3-4 kali sehari.
Pada impetigo contagiosa, krusta harus dibuang sebelum Sagestam dioleskan. ", Oleskan pada bagian yang dibutuhkan secara merata 
