product_name,category,deskripsi,indikasi_umum,dosis,aturan_pakai
Cendo Xitrol Salep Mata 3.5 g,Mata, CENDO XITROL SALEP MATA adalah obat untuk mengatasi infeksi bakteri pada mata yang menyebabkan mata merah atau bengkak serta iritasi pada jaringan konjungtiva dan kornea. Cendo xitrol terdiri dari kombinasi obat anti inflamasi dan antibiotik sehingga efektif mengatasi infeksi bakteri di sertai peradangan. Dalam penggunaan obat ini HARUS SESUAI PETUNJUK DOKTER. ," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Infeksi bakteri peka Neomisindan Polimiksin, blefaritis tidak bernanah, konjungtivits tidak bernanah, skleritis, tukak kornea dan keratitis "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
1-2 tetes tiap jam pada siang hari, dan tiap 2 jam pada malam hari. jika respon baik dikurangi menjadi 1 tetes tiap 4 jam "," 1. Cuci tangan terlebih dahulu hingga bersih dengan air dan sabun. 2. Buka penutup tube dan jangan menyentuh ujung tube dengan tangan atau benda lainnya. 3. Condongkan kepala sedikit ke belakang dan tarik kelopak bawah mata dengan jari (telunjuk) yang akan diolesi obat hingga membentuk kantung. 4. Dengan satu tangan lainnya, pegang dan arahkan ujung tube sedekat mungkin ke arah kantung kelopak mata bawah tanpa menyentuhnya. Kemudian, oleskankan obat kira-kira 1 cm ke dalam kantung kelopak mata bawah tersebut. 5. Setelah selesai, kedipkan mata secara perlahan dan tutup mata selama 2-3 menit. Bersihkan obat yang berlebih pada wajah. 6. Tutup kembali ujung tube dan cuci tangan hingga bersih. Perhatian : Jangan menyentuh ujung penetes tube dengan tangan atau benda lain. "
Cendo Mycos Eye Ointment 3.5 g,Mata," CENDO MYCOS EYE OINTMENT adalah salep antibiotik steril untuk mata yang mengandung Chloramphenicol 0.2% dan Hydrocortisone 0.5%. Chloramphenicol adalah antibiotik spektrum luas yang bersifat bakteriostatik. Hydrocortisone adalah obat kortikosteroid yang digunakan sebagai anti peradangan . Obat ini berfungsi untuk mengobati radang mata yang disertai infeksi seperti iritis, konjungtivitis, keratitis, dakriositis, dan infeksi mata lain yang sensitif terhadap Chloramphenicol. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Infeksi okular yang disebabkan oleh organisme yang sensitif terhadap chloromicetin, yang membutuhkan terapi kortikosteroid "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Oleskan pada kelopak mata 1-3 kali sehari ", oleskan sekitar 1 cm salep pada mata yang sakit di bagian kelopak mata 
Cendo Fenicol 0.25% Eye Drops 5 ml,Mata," CENDO FENICOL 0.25% EYE DROPS adalah sediaan tetes mata antibiotik steril yang mengandung Chloramphenicol 0.25%. Chloramphenicol adalah antibiotik spektrum luas yang bersifat bakteriostatik. Obat ini efektif terhadap bakteri gram positif dan gram negatif yang aerob dan anaerob, kecuali Pseudomonas aeruginosa. Obat ini bekerja dengan cara menghambat sintesis protein bakteri. Obat ini berfungsi untuk mengobati mata infeksi seperti iritis, konjungtivitis, keratitis, dakriositis, dan infeksi mata lain yang sensitif terhadap Chloramphenicol. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Konjungtivitis karena infeksi E "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Dewasa dan anak : 1-2 tetes 3 kali sehari ", Teteskan pada bagian mata yang sakit 
Cendo Floxa Minidose 0.6 ml,Mata," CENDO FLOXA adalah sediaan steril tetes mata yang mengandung antibiotik Ofloxacin. Ofloxacin memiliki aktifitas bakterisid terutama terhadap bakteri gram negatif seperti Pseudomonas aeruginosa, Enterobacter aerogenes, Proteus dan Klebsiella dengan cara menghambat sintesis protein sel bakteri tersebut, juga terhadap strain yang sensitif dari staphylococci termasuk S. aureus dan S. epidermidis. Obat ini digunakan untuk infeksi luar pada mata. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Untuk mengobati infeksi pada mata yang disebabkan oleh bakteri yang sensitif "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Teteskan 1-2 tetes setiap 4-6 jam. Dosis dapat ditingkatkan 1-2 tetes tiap 2 jam selama 24-48 jam pertama. Kemudian frekuensi harus diturunkan bertahap sesuai tanda-tanda perbaikan klinis. ", Teteskan pada mata yang sakit 
Cendo Gentamicin 0.3% Salep Mata 3.5 g,Mata," CENDO GENTAMICIN 0.3% SALEP MATA adalah salep mata yang mengandung Gentamicin. Gentamicin merupakan obat antibiotik golongan aminoglikosida. Obat ini digunakan untuk mengobati radang pada mata yang disertai infeksi oleh bakteri tertentu. Gentamicin adalah antibiotika golongan aminoglikosida yang digunakan secara luas terutama untuk mengobati infeksi-infeksi yang disebabkan oleh bakteri gram negatif, seperti Pseudomonas, Proteus, Serratia, dan Staphylococcus. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Konjungtivitis, blefaritis, blefarokonjungtivitis, keratitis, tukak kornea, keratokonjungtivitis, dakriosistitis "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Dioleskan pada mata yang bermasalah, 2-3 kali per hari. ", dioleskan pada mata 2-3 kali sehari 
Cendo LFX Minidose 0.6 ml,Mata, CENDO LFX MINIDOSE 0.6 ML mengandung zat aktif Levofloxacin. Tetes mata ini digunakan untuk mengatasi infeksi pada area luar mata yang disebabkan oleh bakteri yang peka terhadap levofloxacin. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. ," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS.  
Pengobatan untuk infeksi ocular eksternal mata seperti konjungtivitis yang disebabkan microorganisme "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.  
1-2 tetes ke mata yang sakit 2-8 kali sehari selama 1-2 hari, lalu 4 kali sehari pada hari ke 3-5, durasi pengobatan tergantung pada tingkat keparahan dan jenis bakteri. Durasi normal 5 hari.  ", Teteskan ke dalam kantung mata yang sakit 
Cendo Polynel Minidose 0.6 ml,Mata, CENDO POLYNEL MINIDOSE 0.6 ML adalah obat yang digunakan untuk pengobatan jangka pendek pada penyakit mata terutama karena radang yang disertai infeksi bakteri. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. , Membantu meredakan alergi dan peradangan mata yang disebabkan oleh bakteri. ," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Atas petunjuk dokter ", Teteskan pada mata yang sakit 
Cendo Lyteers Minidose 0.6 ml,Mata, CENDO LYTEERS mengandung Sodium Chloride dan Potassium Chloride merupakan sediaan steril tetes mata yang bekerja sebagai pembasah/ lubrocants pada mata yang kering dan berfungsi untuk mempertahankan agar permukaan mata tetap basah ," Melumasi dan menyejukan pada mata kering akibat kekurangan sekresi air mata atau teriritasi kondisi lingkungan, ketidaknyamanan karena penggunaan hard contact lens, gangguan penglihatan karena kelebihan lendir pada mata. ", 1-2 tetes 3-4 kali sehari , Teteskan pada mata yang sakit 
Erlamycetin 1% Salep Mata 3.5 g,Mata," ERLAMYCETIN 1% SALEP MATA adalah salep antibiotik steril untuk mata yang mengandung Chloramphenicol 1%. Chloramphenicol adalah antibiotik spektrum luas yang bersifat bakteriostatik. Obat ini efektif terhadap bakteri gram positif dan gram negatif yang aerob dan anaerob, kecuali Pseudomonas aeruginosa. Obat ini bekerja dengan cara menghambat sintesis protein bakteri. Obat ini berfungsi untuk mengobati mata infeksi seperti iritis, konjungtivitis, keratitis, dakriositis, dan infeksi mata lain yang sensitif terhadap Chloramphenicol. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Pengobatan konjunctivitis bakteri disebabkan oleh Escherichia coli, Haemophilus influenzae, Staphylococcus aereus, streptococcus haemolyticus "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
oleskan 3 kali sehari ", oleskan pada mata yang sakit 
Lanavision 12 Kapsul,Mata, LANAVISION merupakan suplemen dengan kandungan ekstrak buah Bilberry yang kaya akan antioksidan dalam bentuk kapsul. Suplemen ini digunakan untuk membantu memelihara kesehatan mata. , Membantu memelihara kesehatan mata ," 3 kali sehari, 1 kapsul ", Dapat dikonsumsi sebelum atau sesudah makan 
