product_name,category,deskripsi,indikasi_umum,dosis,aturan_pakai
Degirol Hisap 0.25 mg 10 Tablet,Kebutuhan Lebaran," DEGIROL merupakan tablet hisap yang mengandung Dequalinium Chloride. Obat ini digunakan untuk mengobati sakit tenggorokan, radang atau infeksi pada rongga mulut dan tenggorokan, serta pencegahan flu dan batuk "," Obat ini digunakan untuk sakit tenggorokan, peradangan pada rongga mulut dan tenggorokan seperti gingivitis, periodontitis, faringitis, laringitis dan angina, serta infeksi selaput lendir mulut seperti stomatitis. "," Dewasa: 1 tablet dihisap, tiap 3 - 4 jam. Maksimal 8 tablet per hari ", Satu tablet dibiarkan melarut perlahan-lahan di dalam mulut. 
Degirol Hisap 0.25 mg 20 Tablet,Kebutuhan Lebaran," DEGIROL merupakan tablet hisap yang mengandung Dequalinium Chloride. Obat ini digunakan untuk mengobati sakit tenggorokan, radang atau infeksi pada rongga mulut dan tenggorokan, serta pencegahan flu dan batuk "," Sakit tenggorokan, peradangan pada rongga mulut dan tenggorokan seperti gingivitis, faringitis, periodontitis, laringitis dan angina, infeksi selaput lendir mulut seperti stomatitis. "," Dewasa: 1 tablet dihisap, tiap 3 - 4 jam. Maksimal 8 tablet per hari ", Satu tablet dibiarkan melarut perlahan-lahan di dalam mulut. 
Kenalog in Orabase 0.1% Salep 5 g,Mulut & Tenggorokan," KENALOG IN ORABASE merupakan sediaan basis salep. Tiap gram Kenalog in Orabase mengandung 1 mg Triamcinolon Acetonide. Triamcinolon acetonide adalah kortikosteroid sintesis yang memiliki efek antiinflamasi, antipruritus, dan antialergi. Pasta dental emolien sebagai bahan pembawa berfungsi merekatkan obat pada jaringan mukosa rongga mulut. Bahan pembawa akan menutupi jaringan yang iritasi sehingga dapat mengurangi rasa sakit terkait iritasi mulut yang bersifat sementara. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS.  
Terapi tambahan untuk menghilangkan gejala yang berhubungan dengan lesi inflamasi oral & lesi ulseratif akibat trauma. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.  
2-3 kali sehari "," Oleskan obat secukupnya sekitar 0.6 cm pada lesi hingga menghasilkan lapisan tipis. Jangan digosok. Oleskan pada waktu tidur. Tergantung pada tingkat keparahan gejala, mungkin perlu diterapkan 2-3 kali sehari. "
Minosep Obat Kumur 0.2% 60 ml (Merah),Kebutuhan Lebaran," MINOSEP OBAT KUMUR 0.2% merupakan obat kumur yang dapat digunakan sebagai perlindungan terhadap kuman, meringankan sariawan dan membantu memberi rasa segar di mulut "," Perlindungan terhadap kuman, meringankan sariawan dan membantu memberi rasa segar di mulut ", 2 x Sehari 10 ml ," Kumur-kumur selama 30 detik sampai 1 menit pada pagi dan malam hari sebelum tidur. 
Dianjurkan tidak berkumur dengan air selesai berkumur. "
Aloclair Plus Gel 8 ml,Mulut & Tenggorokan," ALOCLAIR PLUS GEL merupakan obat yang membentuk suatu film pelindung yang akan menutupi ujung persarafan dari suatu lesi (aphtas) sehingga akan terhindar dari iritasi dan mengurangi nyeri. Kandungan asam hialuronat dan aloe vera mendukung terjadinya proses penyembuhan yang alami dari jaringan yang mengalami kerusakan. Obat ini berguna untuk ulkus aftosa, stomatitis aftosa, lesi minor, ulkus karena perlukaan dan trauma yang disebabkan penggunaan kawat gigi atau gigi palsu. "," Membantu mengatasi ulkus aftosa, stomatitis aftosa, lesi minor, ulkus karena perlukaan dan trauma yang disebabkan penggunaan kawat gigi atau gigi palsu. "," Aplikasikan 1-2 tetes gel pada area yang sakit, 3-4 kali sehari ", Oleskan hingga menutup seluruh ulkus/lesi rongga mulut. Hindari kontak langsung antara ujung tube dengan lesi.  Jangan menyentuh lesi dengan lidah min 2 menit agar terbentuk selaput pelindung. Hindari makan & minum min 1 jam setelah pengolesan. 
Betadine Throat Spray 50 ml,Mulut & Tenggorokan," BETADINE THROAT SPRAY merupakan spray mulut dengan kandungan Povidone Iodine 0.45%. Produk ini dapat membantu meredakan sakit tenggorokan, sariawan, gusi bengkak, bau mulut dan nafas tidak segar.  "," Spray mulut untuk meredakan gejalan sakit tenggorokan, sariawan, gusi bengkak, bau mulut dan nafas tidak segar.  "," 1x semprot, gunakan 3 kali per hari. ", Semprotkan kedalam rongga mulut dan Keluarkan sisa cairan. Tidak perlu dibilas dengan berkumur.  
SP Troches Meiji Rasa Melon 12 Tablet,Mulut & Tenggorokan, SP TROCHES merupakan tablet hisap dengan kandungan Dequalinium Chloride. Obat ini digunakan untuk membantu mengatasi infeksi bakteri dan fungi dalam ruang mulut dan tenggorokan , Untuk infeksi bakteri dan jamur (fungi) pada rongga mulut dan tenggorokan. ," 6 x sehari 1 tablet, tidak lebih dari 8 tablet sehari ", Tablet dihisap perlahan-lahan hingga larut dalam mulut tanpa dikunyah. 
Burung Kakak Tua Obat Sakit Gigi 2 ml,Mulut & Tenggorokan, Burung Kakak Tua Obat Sakit Gigi merupakan cairan herbal yang membantu meringankan rasa nyeri pada sakit gigi. ," Membantu meringankan rasa nyeri pada sakit gigi, misalnya gigi berlubang ", Sesuai kebutuhan , Jepit kapas dengan pinset. Tuangkan obat secukupnya pada kapas. Letakkan kapas tersebut pada gigi yang sakit. Ulangi pemakaian bila perlu. 
Larutan Cap Badak Botol 500 ml,Kebutuhan Lebaran," LARUTAN CAP BADAK merupakan larutan penyegar yang digunakan untuk membantu meredakan panas dalam yang disertai tenggorokan kering, sariawan, dan membantu menyegarkan badan "," Membantu meredakan panas dalam yang disertai tenggorokan kering, sariawan, dan membantu menyegarkan badan "," Untuk pengobatan: Orang dewasa minum 3 kali sehari 100mL sampai 200mL (1/2 sampai 1 botol), anak-anak minum 3 kali sehari 50mL sampai 100ml (1/4 sampai 1/2 botol).  
Untuk pencegahan: Orang dewasa 1 kali sehari 1 botol, anak-anak 1 kali sehari 1/2 botol. ", Sebelum atau sesudah makan 
Nystatin Drops 12 ml,Mulut & Tenggorokan, NYSTATIN DROPS adalah obat anti jamur yang digunakan untuk mengobati infeksi jamur pada mulut. Obat ini menghambat perumbuhan jamur dengan cara mempengaruhi permeabilitas dinding sel jamur sehingga jamur dapat mati. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. ," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Pengobatan infeksi jamur dalam rongga mulut "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Suspensi atau permen: 100,000 unit, 4 kali sehari. Tempelkan pada area yang mengalami penyakit selama mungkin. Lanjutkan penggunaan hingga 48 jam sesudah sembuh untuk menghindari kekambuhan. "," Sebelum atau sesudah makan, kocok/kumur dan ditahan di dalam mulut selama mungkin sebelum ditelan "
SP Troches Meiji Rasa Strawberry 6 Tablet,Mulut & Tenggorokan, SP TROCHES MEIJI RASA STRAWBERRY merupakan tablet manis yang dirancang khusus untuk larut dalam mulut berangsur-angsur tanpa dikunyah. Tablet ini mengandung zat Dequalinium Chloride yang digunakan untuk mengatasi infeksi pada rongga mulut dan tenggorokan. , Untuk infeksi bakteri dan jamur (fungi) pada rongga mulut dan tenggorokan. ," Anak usia di atas 10 tahun dan dewasa: 1 tablet, diberikan 6-8 kali per hari (bila perlu). ", Hisap satu tablet perlahan-lahan hingga larut dalam mulut setiap 2-3 jam sekali. Maksimum 8 tablet per hari. 
Aloclair Plus Spray 15 ml,Mulut & Tenggorokan, ALOCLAIR PLUS SPRAY merupakan obat yang membentuk suatu film pelindung yang akan menempel pada rongga mulut dan menjadikannya suatu barier mekanik pada daerah yang sakit sehingga akan menghilangkan nyeri yang diakibatkan paparan terhdapa ujung persarafan. Kandungan asam hialuronat dan aloe vera mendukung terjadinya proses penyembuhan yang alami dari jaringan yang mengalami kerusakan.  ," Membantu mengatasi ulkus aftosa, stomatitis aftosa, lesi minor, ulkus karena perlukaan dan trauma yang disebabkan penggunaan kawat gigi atau gigi palsu. ", Semprotkan 3 kali sehari atau sesuai kebutuhan pada area yang sakit ," Buka ujung penutup dari vaporizer, arahkan vaporizer ke arah lesi dalam mulut, semprotkan. Adanya vaporizer mengakibatkan perlindungan lesi rongga mulut dengan efisiensi maksimal. "
Cooling 5 Plus Orange 15 ml,Mulut & Tenggorokan," COOLING 5 PLUS ORANGE merupakan obat semprot rongga mulut yang berfungsi untuk menghilangkan rasa sakit misalnya pada saat sariawan, sakit gigi, radang gusi, dan sakit saat pertumbuhan gigi. "," Menghilangkan rasa sakit misalnya pada saat sariawan, sakit gigi, radang gusi, dan sakit saat pertumbuhan gigi. "," Semprotkan pada area sakit, bila perlu diulang tiap 3-4 jam  ", Semprotkan atau oleskan sedikit pada daerah yang sakit. 
Cooling 5 Mouth Spray Cool Mint 15 ml,Mulut & Tenggorokan," COOLING 5 merupakan obat semprot rongga mulut yang berfungsi untuk meredakan sakit tenggorokan, nyeri akibat sariawan, iritasi ringan pada mulut, tenggorokan dan bibir. "," Meredakan sakit tenggorokan, nyeri akibat sariawan, iritasi ringan pada mulut, tenggorokan dan bibir. "," Untuk setiap kali pemakaian, cukup disemprotkan 2-3 kali, semprotan dapat diulang tiap 2 jam dan atau beberapa kali sehari  ", Semprotkan tepat ke arah tenggorokan atau pada daerah yang sakit. 
Aloclair Plus Mouthwash 60 ml,Mulut & Tenggorokan," ALOCLAIR PLUS merupakan pereda nyeri dan membantu penyembuhan pada ulkus rongga mulut. Produk ini mengandung aloe vera dan asam hialuronat. ALOCLAIR PLUS bekerja dengan membentuk selaput pelindung pada lesi, luka atau ulkus dan memberikan efek analgesik (pereda nyeri), antiseptik, antiinflamasi (meredakan bengkak) serta wound healing (penyembuhan luka). ", Stomatitis (sariawan) dan lesi traumatik di mulut. , Sehari: 3-4 kali sehari atau sesuai kebutuhan. ," 10 ml Aloclair plus mouthwash dikumur selama 1 menit. 
 Diulang 3-4 kali sehari atau sesuai kebutuhan. 
 Aman jika tertelan. 
 Hindari makan / minum minimal 1 jam setelah berkumur. "
Mycostatin Drops 12 ml,Mulut & Tenggorokan," MYCOSTATIN DROPS adalah obat anti jamur yang mengandung nystatin untuk mengobati kandidiasis pada rongga mulut. Nystatin dapat bersifat fungistatik dan fungisidal terhadap beberapa jenis jamur seperti Candida albicans, C. parapsilosis, C. tropicalis, C. guilermondi, C. pseudotropicalis, C. krusei. Nystatin bekerja dengan cara mengikat sterol dalam membran sel jamur yang peka terhadap obat ini sehingga terjadi perubahan permeabilitas membran dan terjadi kebocoran komponen intrasel yang menyebabkan kematian jamur. Dalam menggunakan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Pengobatan infeksi jamur dalam rongga mulut "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Dewasa dan anak : 4 x sehari 1-6 mL (100,000-600,000 unit), 
Bayi : 4 x sehari 1-2 mL (100,000-200,000 unit). "," Sebelum atau sesudah makan, kocok/kumur dan ditahan di dalam mulut selama mungkin sebelum ditelan "
Dentasol Drop 10 ml,Mulut & Tenggorokan," DENTASOL DROP 10 ML adalah obat gigi berbentuk cair untuk meredakan sakit gigi, peradangan gusi, sariawan serta masalah pada gigi, gusi dan mulut lainnya. Dentasol mengandung benzocain, cetylpyridium chloride, campora, mentholum, phenolum "," Radang gusi, sariawan, sakit gigi, sakit dari rangsangan tumbuh gigi ", Oleskan dengan kapas diulangi setiap 3-4 jam , Oleskan pada tempat yang sakit 
Larutan Kaki Tiga Botol 200 ml,Kebutuhan Lebaran," LARUTAN CAP KAKI TIGA BOTOL merupakan larutan penyegar yang digunakan untuk membantu meredakan panas dalam yang disertai tenggorokan kering, sariawan, dan membantu menyegarkan badan "," Membantu meredakan panas dalam yang disertai tenggorokan kering, sariawan, dan membantu menyegarkan badan "," Untuk pengobatan: Orang dewasa minum 3 kali sehari 100mL sampai 200mL (1/2 sampai 1 botol), anak-anak minum 3 kali sehari 50mL sampai 100ml (1/4 sampai 1/2 botol).  
Untuk pencegahan: Orang dewasa 1 kali sehari 1 botol, anak-anak 1 kali sehari 1/2 botol. ", Sebelum atau sesudah makan 
