product_name,category,deskripsi,indikasi_umum,dosis,aturan_pakai
Drontal Cat Tablet,Perawatan Hewan," Drontal Cat Tablet merupakan obat cacing spektrum luas untuk kucing yang digunakan sebagai pencegahan dan pengobatan terhadap infeksi cacing saluran cerna yang disebabkan oleh cacing gelang, cacing cambuk, cacing kait dan cacing pita serta sebagai kontrol terhadap giardiasis. "," PRODUK INI HANYA DIKONSUMSI UNTUK HEWAN. Obat cacing spektrum luas untuk kucing yang digunakan sebagai pencegahan dan pengobatan terhadap infeksi cacing saluran cerna yang disebabkan oleh cacing gelang, cacing cambuk, cacing kait dan cacing pita serta sebagai kontrol terhadap giardiasis. ",-, Dapat diberikan sebelum atau bersamaan dengan pemberian makan Anjing. 
Royal Canin Cat And Dog Recovery Wet 195 g,Perawatan Hewan, ROYAL CANIN CAT AND DOG RECOVERY WET merupakan makanan untuk anjing dan kucing yang diformulasikan untuk meningkatkan restorasi nutrisi selama masa pemulihan atau pada kasus hepatik lipidosis. Makanan ini mempunyai densitas energi tinggi dan konsentarasi nutrisi esensial tinggi yang sangat mudah dicerna. ," PRODUK INI HANYA DIKONSUMSI UNTUK HEWAN. 
Makanan anjing dan kucing untuk meningkatkan restorasi nutrisi selama masa pemulihan atau pada kasus hepatik lipidosis. ",-, Dapat langsung dikonsumsi oleh anjing atau kucing. 
Cystaid Plus Kapsul,Perawatan Hewan," CYSTAID PLUS KAPSUL adalah obat untuk kucing yang mengandung N-acetyl D-glucosamine, L-Theanine, Quercetin untuk menjaga kesehatan kandung kemih kucing. "," PRODUK INI HANYA DIKONSUMSI UNTUK HEWAN. Sebagai obat untuk membantu menyehatkan, menjaga serta mengembalikan kerja saluran dan kandung kemih, juga mencegah pembentukan batu/kristal. Dapat digunakan pula untuk mengobati penyakit FLUTD (Feline Lower Urinary Tract Disease). ",-, Kapsul dapat dibuka dan ditaburkan ke dalam makanan atau diberikan utuh. 
Drontal Plus Flavour Dog Tablet,Perawatan Hewan," DRONTAL PLUS FLAVOUR DOG TABLET merupakan obat cacing spektrum luas untuk anjing yang digunakan sebagai pencegahan dan pengobatan terhadap infeksi cacing saluran cerna yang disebabkan oleh cacing gelang, cacing cambuk, cacing kait dan cacing pita serta sebagai kontrol terhadap giardiasis. "," PRODUK INI HANYA DIKONSUMSI UNTUK HEWAN. Obat cacing spektrum luas untuk anjing dan anak anjing yang digunakan sebagai pencegahan dan pengobatan terhadap infeksi cacing saluran cerna yang disebabkan oleh cacing gelang, cacing cambuk, cacing kait dan cacing pita serta sebagai kontrol terhadap giardiasis. "," 1 Tablet, 1 kali per hari.
Dosis disesuaikan dengan bobot anjing. 
1 Tablet untuk anjing dengan bobot 10 Kg.
Untuk anjing dengan bobot lebih dari 30 Kg, gunakan Tablet DRONTAL DOG XL.  ", Dapat diberikan sebelum atau bersamaan dengan pemberian makan Anjing. 
Raid All Sheborrhea Shampoo Anti Sheborrhea 200 ml,Perawatan Hewan,-," PRODUK INI HANYA DIGUNAKAN UNTUK HEWAN. Shampoo anjing dan kucing yang berfungsi untuk mengatasi masalah kulit dan bulu, serta penyakit kulit seperti dermatitis seboroik (kondisi kulit berminyak, berketombe, berkerak, iritasi, dll) ",-,-
Revolution For Cats Blue Tube,Perawatan Hewan," REVOLUTION FOR CATS BLUE TUBE merupakan obat kutu kucing yang mengandung Selamectin dan berfungsi sebagai obat pembunuh kutu, dan mencegah telur kutu dari menetas hingga berusia satu bulan. Obat ini juga menjaga kucing dari gangguan kutu (Ctenocephalides felis) yang berkembang biak. "," PRODUK INI HANYA DIGUNAKAN UNTUK HEWAN. Untuk mencegah dan mengobati infestasi pinjal (Ctenocephalides felis), mencegah cacing jantung yang disebabkan oleh Dirofilaria immitis, serta mencegah dan mengobati infestasi tungau telinga (Otodectes cynotis). Revolution juga diindikasikan untuk mencegah dan mengobati roundworm/cacing gilig (Toxocara cati) dan infestasi hookworm/cacing kait (Ancylostoma tubaeforme) ",-," Mandikan hewan terlebih dahulu kalau bisa. Teteskan obat Revolution pada daerah tengkuk leher bagian kulit, bukan di bulu pada hewan peliharaan Anda. tunggu hingga meresap. Gunakan pada kucing di usia 6 minggu atau lebih. "
Virbac Nutri-Plus Gel 120 g,Perawatan Hewan," VIRBAC NUTRI-PLUS GEL merupakan suplemen energi untuk hewan yang berfungsi sebagai makanan tambahan yang mengandung vitamin, mineral dan energi tinggi untuk hewan kesayangan. Vibrac Nutri-Plus Gel sangat dianjurkan untuk hewan muda yang tumbuh dengan cepat, berburu dan anjing pekerja yang sedang hamil dan menyusui, memelihara kesehatan kulit dan bulu, atau pemulihan setelah penyakit dan pembedahan. "," PRODUK INI HANYA DIKONSUMSI UNTUK HEWAN. 
Sebagai suplemen tambahan untuk anjing dan kucing. 
Gel ini dapat diberikan setelah latihan intensif untuk mengisi kembali energi hewan peliharaan Anda dengan cepat dan dapat juga diberikan sebelum dan sesudah situasi stres yang mungkin menghabiskan energi dalam waktu yang singkat "," 1-2 sendok teh (atau seukuran 10 cm gel) per hari untuk hewan peliharaan dengan berat 5 kg. 
Jika Nutri Plus Gel adalah sumber utama makanan : berikan 2-4 sendok teh per hari untuk hewan peliharaan dengan berat 5 kg. ", Nutri Plus Gel dapat diberikan langsung ke dalam mulut hewan peliharaan dengan kanula atau dapat dicampur dengan makanan sehari-hari sampai hewan peliharaan tersebut sembuh total atau selama periode aktivitas fisik. 
Baytril Flavour 15 mg Tablet For Dogs & Cats,Perawatan Hewan," BAYTRIL FLAVOUR 15 MG TABLET merupakan tablet antimikroba untuk anjing dan kucing pada infeksi pencernaan, pernafasan, saluran kemih, dan kulit "," PRODUK INI HANYA DIKONSUMSI UNTUK HEWAN. 
Diindikasikan untuk infeksi yang disebabkan oleh bakteri pada saluran pencernaan, pernafasan, kemih, kulit, dan otitis eksterna pada hewan Anjing dan Kucing.  ", 1 Tablet untuk bobot hewan 3 Kg.  , Dapat diberikan sebelum atau bersamaan dengan pemberian makan Anjing atau kucing. 
Biodin Natural Antiseptic Spray 20 ml,Perawatan Hewan," BIODIN NATURAL ANTISEPTIC SPRAY merupakan cairan antiseptik luka dalam bentuk spray yang khusus untuk hewan peliharaan yang berfungsi untuk mencegah dan mengobati kudis (scabies), jamur caplak, iritasi kulit, luka baru dan akut, eksim, dan gatal pada hewan peliharaan ", PRODUK INI HANYA DIGUNAKAN UNTUK HEWAN. Sebagai cairan spray antiseptik khusus untuk hewan peliharaan ,-,-
Biodin Salep Antiseptic for Pets 12 G,Perawatan Hewan," BIODIN SALEP ANTISEPTIC FOR PETS merupakan krim antiseptik luka khusus untuk hewan peliharaan yang berfungsi untuk mencegah dan mengobati kudis (scabies), jamur caplak, iritasi kulit, luka baru dan akut, eksim, dan gatal pada hewan peliharaan ", PRODUK INI HANYA DIGUNAKAN UNTUK HEWAN. Sebagai salep antiseptik khusus untuk hewan peliharaan ,-,-
Coatex Vetplus 15 Kapsul,Perawatan Hewan, COATEX VETPLUS merupakan suplemen khusus anjing dan kucing yang mengandung Asam Lemak Esensial Omega 3 (EFA) untuk membantu menjaga kulit dan bulu hewan peliharaan dalam kondisi prima. , PRODUK INI HANYA DIKONSUMSI UNTUK HEWAN. Sebagai suplemen pendamping makanan untuk membantu menjaga kulit dan bulu hewan peliharaan dalam kondisi prima. ," Berat Badan :
<10kg 1 kapsul/hari
10-19 2 kapsul/hari
20-29 3 kapsul/ hari
>30 4 kapsul/hari ", campurkan kedalam makanan 
Nutricell Vet Special Gastrointestinal Cat 185 g,Perawatan Hewan, Nutricell Vet Special Gastrointestinal Cat merupakan makanan khusus untuk hewan yang memiliki masalah pencernaan yang sensitif. , PRODUK INI HANYA DIKONSUMSI UNTUK HEWAN. Makanan untuk kucing yang bermanfaat bagi kesehatan saluran pencernaan. ,-,-
Nutricell Vet Special Recovery Cat 185 g,Perawatan Hewan, Nutricell Vet Special Recovery Cat merupakan makanan khusus untuk hewan yang sedang dalam fase penyembuhan setelah sakit atau operasi. , PRODUK INI HANYA DIKONSUMSI UNTUK HEWAN. Makanan untuk kucing yang bermanfaat bagi fase penyembuhan setelah sakit atau operasi. ,-,-
Oxyfresh Pet Gel 28 G,Perawatan Hewan," OXYFRESH PET GEL merupakan gel antiseptik serbaguna yang mengandung bahan aktif Oxygene yang digunakan untuk merawat luka, kulit kemerahan, gatal-gatal pada kulit hewan, serta untuk membantu mencegah dan memperlambat terjadinya karang gigi dan membantu mengatasi sariawan dan infeksi gusi pada hewan. "," PRODUK INI HANYA DIKONSUMSI UNTUK HEWAN. Gel antiseptik yang digunakan untuk merawat luka, kulit kemerahan, gatal-gatal pada kulit hewan, serta untuk membantu mencegah dan memperlambat terjadinya karang gigi dan membantu mengatasi sariawan dan infeksi gusi pada hewan. ",-,-
Poison Dermcare Malaseb Medicated Shampoo 250 ml,Perawatan Hewan," POISON DERMCARE MALASEB MEDICATED SHAMPOO merupakan shampoo khusus untuk pengobatan dermatitis seboroik berkaitan dengan infeksi oleh Staphylococcus intermedius, Malassezia (Pityrosporum) pachydermatis dan bantuan dalam pengobatan infeksi dermatofit karena Microsporum canis, Microsporum gypseum dan Trichophyton mentagrophytes pada anjing dan kucing. ", PRODUK INI HANYA DIGUNAKAN UNTUK HEWAN. Sebagai shampoo khusus untuk pengobatan kulit pada anjing dan kucing ,-,-
Revolution For Dogs 40.1-85 Lbs Hijau/Teal Tube,Perawatan Hewan," REVOLUTION FOR DOGS 40.1-85 LBS HIJAU/TEAL merupakan obat kutu pada anjing yang mengandung bahan aktif Selamectin dan berfungsi sebagai obat pembunuh kutu, dan mencegah telur kutu dari menetas hingga berusia satu bulan. Obat ini juga menjaga anjing dari gangguan kutuyang berkembang biak dan mencegah penyakit cacing hati. "," PRODUK INI HANYA DIGUNAKAN UNTUK HEWAN. Untuk mencegah dan mengobati infestasi pinjal (Ctenocephalides felis), mencegah cacing jantung yang disebabkan oleh Dirofilaria immitis, serta mencegah dan mengobati infestasi tungau telinga (Otodectes cynotis). Revolution juga diindikasikan untuk mencegah dan mengobati sarcoptic mange (Sarcoptes scabiei) serta mengendalikan infestasi caplak Dermacentor variabliis. ",-, Teteskan satu tube (atau dua tube untuk anjing dengan berat badan lebih dari 42.5 kg) Revolution pada kulit di daerah tengkuk. 
Royal Canin Cat Gastrointestinal Kitten Wet 195 g,Perawatan Hewan," ROYAL CANIN GASTROINTESTINAL KITTEN
Makanan Komplit untuk Kucing, terutama untuk Kitten yang mengalami gangguan pencernaan seperti diare, bisa juga diberikan pada induk kucing dimasa setelah melahirkan dan masa menyusui. "," PRODUK INI HANYA DIKONSUMSI UNTUK HEWAN.  
Makanan untuk kucing kecil (kitten) yang mengalami gangguan pencernaan seperti diare ",-," Berikan selama 1 sampai 2 minggu selama masa penyembuhan dari diare akut, sampai tercapai pemulihan "
