product_name,category,deskripsi,indikasi_umum,dosis,aturan_pakai
Urispas 200 mg 10 Tablet,Saluran Kemih & Prostat," URISPAS 200 MG merupakan obat yang di gunakan untuk mengatasi gejala yang timbul pada pada saluran kemih seperti disuria, urgensi, nokturia, inkontinensia dan nyeri kandung kemih yang disebabkan oleh peradangan atau infeksi pada saluran kemih. Urispas mengandung flavoxat Dengan mekanisme kerjanya tersebut maka Flavoksat dapat membantu mengurangi terjadinya kebocoran urin, mengurangi perasaan untuk segera buang air kecil, mengurangi frekuensi ke kamar kecil, dan mengurangi rasa sakit yang timbul pada kandung kemih. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Menghilangkan gejala-gejala disuria (kesulitan saat buang air kecil/kencing atau sakit sewaktu kencing), kencing yang tidak dapat ditahan, ngompol pada malam hari, nyeri di atas daerah kemaluan, sering kencing dan tidak dapat ditahan yang dapat terjadi pada sistitis, prostatitis, uretritis, uretrosistitis, uretrotrigonitis "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Dewasa dan anak berusia lebih dari 12 tahun : 3-4 kali sehari 200 mg. ", Dikonsumsi pada perut kosong (1 atau 2 jam sebelum/sesudah makan) 
Floragyn 10 Kapsul,Saluran Kemih & Prostat," FLORAGYN mengandung Lactobacillus rhamnosus dan lactobacillus reuteri, bakteri yang merupakan floral normal (bakteri baik) vagina. floragyn merupakan suplemen untuk membantu membantu terapi tambahan untuk kandidiasis vulvovag , vaginosis bakterial . Obat ini juga dapat digunakan untuk infeksi saluran kemih. "," Terapi tambahan utk kandidiasis vulvovag, vaginosis bakterial, & ISK. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
 Pencegahan 1 kaps/hr selama 3 minggu, dg selang waktu pemberian tiap 4 bln. Utk diberikan sblm menstruasi, ketika tjd ggn keseimbangan flora vag. Pengobatan 2 kaps/hr, diberikan pd hr pertama terapi antibiotik hingga 3 minggu ssdh penghentian terapi antibiotik. ", Diberikan 1-2 jam ssdh pemberian antibiotik. 
Urogetix 100 mg 10 Kaplet,Saluran Kemih & Prostat, UROGETIX 100 MG merupakan obat untuk mengatasi gejala yang timbul akibat adanya iritasi atau infeksi pada saluran kemih. Urogetix mengandung phenazopyridine secara farmakologis diketahui bahwa senyawa obat yang bersifat anastesi lokal ini dapat memberikan efek analgesik topikal langsung pada lapisan mukosa saluran kemih. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. ," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Meredakan nyeri saluran urin/kemih "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Dewasa : 3 x sehari 2 kaplet ", Sesudah makan 
Urief 4 mg 10 Tablet,Saluran Kemih & Prostat, URIEF 4 MG merupakan obat yang di gunakan untuk saluran kemih dan prostat. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. , Obstruksi saluran keluar kandung kemih yg berhubungan dg hiperplasia prostat jinak. ," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
1 tablet 2x sehari ", Sesudah makan 
Cialis Tablet 10 mg,Saluran Kemih & Prostat," CIALIS 10 MG merupakan obat yang di gunakan untuk disfungsi ereksi. Cialis mengandung Tadalafil yang berguna untuk mengobati disfungsi ereksi, tadalafil juga dapat digunakan untuk mengobati penderita pembesaran prostat jinak (BPH) dan hipertensi pulmonal atau tekanan tinggi pada pembuluh darah arteri paru-paru. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Pengobatan ketidakmampuan mencapai atau mempertahankan ereksi dengan baik untuk berhubungan seksual (disfungsi ereksi) pada pria dewasa, mengobati penderita pembesaran prostat jinak (BPH) dan hipertensi pulmonal atau tekanan tinggi pada pembuluh darah arteri paru-paru. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Pria dewasa 10 mg 1 x/hari, diberikan 30 menit s/d 12 jam sebelum aktivitas seksual. Dosis dapat ditingkatkan s/d 20 mg bila tidak diperoleh respon yang adekuat. ", Diberikan sebelum atau setelah makan 
Sildenafil Citrate 50 mg 4 Tablet,Saluran Kemih & Prostat," SILDENAFIL CITRATE merupakan obat yang digunakan untuk mengobati gangguan fungsi seksual pada pria, yaitu disfungsi ereksi. Obat ini bekerja dengan cara meningkatkan aliran darah ke alat kelamin pria sehingga dapat mempertahankan ereksi saat berhubungan seksual. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Terapi disfungsi ereksi pada pria dewasa "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Dewasa : 50 mg diberikan sesuai kebutuhan 1 jam sebelum aktivitas seksual, dapat disesuaikan dengan kebutuhan. Maksimal 100 mg/hari "," Dikonsumsi satu jam sebelum melakukan aktivitas seksual, dapat disesuaikan dengan kebutuhan. "
Cialis 5 mg 14 Tablet,Saluran Kemih & Prostat, CIALIS 5 MG merupakan obat dengan kandungan Tadalafil. Tadalafil digunakan untuk mengobati disfungsi ereksi pada pria dewasa. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. ," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS.
Terapi disfungsi ereksi pada pria dewasa. "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.  
Dosis yang dianjurkan: Dosis awal 10 mg, paling tidak 30 menit sebelum aktifitas seksual, dosis berikutnya disesuaikan dengan respon, bisa sampai 20 mg sebagai dosis tunggal, maksimal 1 dosis dalam 24 jam (Tidak direkomendasikan untuk penggunaan setiap hari). ", Diberikan sebelum atau setelah makan 
Ericfil Tablet 100 mg,Saluran Kemih & Prostat," ERICFIL merupakan obat yang digunakan untuk mengobati disfungsi ereksi. Ericfil mengandung Sildenafil citrate adalah inhibitor selektif dari siklik guanosin monofosfat (cGMP) -spesifik phosphodiesterase tipe 5 (PDE5).Obat ini menghambat fosfodiesterase tipe-5 (PDE-5) yang bertanggung jawab pada proses degradasi siklik guanosin monofosfat (cGMP) di corpus cavernosum. Penghambatan PDE-5 meningkatkan cGMP yang menghasilkan relaksasi sel otot polos pembuluh darah paru.Sildenafil citrate cepat diserap setelah pemberian oral, dengan bioavailabilitas absolut sekitar 41%. Obat ini dimetabolisme di hati (terutama oleh enzim sitokrom P-450 3A4) dan diubah menjadi metabolit aktif dengan sifat yang mirip dengan Sildenafil citrate. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Ericfil diindikasikan untuk mengobati disfungsi ereksi "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Dewasa : 50 mg diberikan sesuai kebutuhan 1 jam sebelum aktivitas seksual, dapat disesuaikan dengan kebutuhan. Maksimal 100 mg/hari "," Dikonsumsi satu jam sebelum melakukan aktivitas seksual, dapat disesuaikan dengan kebutuhan. "
Viagra 50 mg 1 Tablet,Saluran Kemih & Prostat," VIAGRA merupakan obat yang digunakan untuk mengobati gangguan fungsi seksual pada pria, yaitu disfungsi ereksi. Obat ini bekerja dengan cara meningkatkan aliran darah ke alat kelamin pria sehingga dapat mempertahankan ereksi saat berhubungan seksual. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. ", INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Terapi disfungsi ereksi pada pria dewasa ," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Dewasa : 50 mg diberikan sesuai kebutuhan 1 jam sebelum aktivitas seksual, dapat disesuaikan dengan kebutuhan. Maksimal 100 mg/hari "," Dikonsumsi satu jam sebelum melakukan aktivitas seksual, dapat disesuaikan dengan kebutuhan. "
Nexurin 12 Tablet,Saluran Kemih & Prostat,-," Meredakan rasa sakit, rasa seperti terbakar/panas, sering dan rasa tidak nyaman lainnya yang timbul dari iritasi pada mukosa saluran kemih bagian bawah. ", 2 x Sehari  1 Tablet , Sesudah makan 
Prorenal 10 Tablet,Saluran Kemih & Prostat, PRORENAL merupakan obat yang di gunakan untuk terapi insufisiensi ginjal kronik dalam hubungan dengan diet tinggi kalori rendah protein pada retensi yang terkompensasi atau tidak terkompensasi. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. ," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Insufisiensi ginjal kronik dlm hubungan dg diet tinggi kalori rendah protein pd retensi yg terkompensasi atau tak terkompensasi "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Dws dg BB 70 kg Insufisiensi ginjal kronik 4-8 tabh 3 x/hr. Retensi yg terkompensasi 4-6 tab 3 x/hr dg nutrisi tinggi kalori rendah protein. Retensi yg tak terkompensasi 4-8 tab 3 x/hr dg nutrisi tinggi kalori rendah protein. ", Sebaiknya diberikan bersama makanan : Berikan pd saat makan. Telan utuh. 
Rozgra 50 mg Tablet,Saluran Kemih & Prostat," ROZGRA 50 MG TABLET mengandung Sildenafil citrate, golongan inhibitor selektif (cGMP). Obat ini digunakan untuk mengatasi masalah disfungsi ereksi. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. ", INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Terapi disfungsi ereksi pada pria dewasa ," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Dewasa : 50 mg diberikan sesuai kebutuhan 1 jam sebelum aktivitas seksual, dapat disesuaikan dengan kebutuhan. Maksimal 100 mg/hari "," Dikonsumsi satu jam sebelum melakukan aktivitas seksual, dapat disesuaikan dengan kebutuhan. "
Aminefron 4 Kaplet,Saluran Kemih & Prostat, AMINEFRON  di gunakan untuk pengobatan terhadap kelainan yang terjadi pada fungsi ginjal kronik. Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. , Terapi disfungsi Ginjal khronik dalam kombinasi dengan diet tinggi kalori-rendah protein pada retensi terkompensasi dan tidak terkompensasi. ," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Insufisiensi Ginjal Khronik (GFR/laju filtrasi glomerulus 5-50 mL/mnt) : 3 x sehari 4-8 kaplet ", Sesudah makan 
Cialis Tablet 20 mg,Saluran Kemih & Prostat," CIALIS 20 MG merupakan obat dengan kandungan Tadalafil. Tadalafil digunakan untuk mengobati disfungsi ereksi dan dapat juga digunakan untuk mengobati penderita pembesaran prostat jinak (BPH), hipertensi pulmonal atau tekanan tinggi pada pembuluh darah arteri paru-paru. Obat ini bekerja dengan cara melemaskan otot pembuluh darah dan meningkatkan aliran darah ke area tertentu dari tubuh. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. ", INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Pengobatan ketidakmampuan mencapai atau mempertahankan ereksi dengan baik untuk berhubungan seksual (disfungsi ereksi) pada pria dewasa ," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Disfungsi ereksi: 1 kali per hari, diberikan 30 menit sebelum aktivitas seksual.
Benign prostatic hyperplasia: 5 mg, 1 kali per hari.
Pulmonary arterial hypertension: 40 mg, 1 kali per hari. ", Diberikan sebelum atau setelah makan 
Dutasteride 0.5 mg 10 Kapsul,Saluran Kemih & Prostat,-, Pengobatan hiperplasia prostat jinak. , Seahari 1 kali 1 Kapsul , Dapat dikonsumsi sebelum atau setelah makan 
