product_name,category,deskripsi,indikasi_umum,dosis,aturan_pakai
Dulcolax 5 mg 10 Tablet,Saluran Pencernaan," DULCOLAX TABLET merupakan obat dengan kandungan Bisacodyl dalam bentuk tablet salut enterik. Obat ini digunakan untuk untuk mengatasi masalah sembelit/susah BAB/konstipasi. Selain itu obat ini juga digunakan sebagai salah satu persiapan prosedur terapi diagnostic, terapi sebelum dan sesudah operasi dan dalam kondisi untuk mempercepat defekasi. DULCOLAX 5 MG TABLET bekerja dengan cara merangsang pergerakan pada usus besar dan membantu jalan keluar nya feses. "," Untuk mengatasi masalah sembelit/ susah BAB/ konstipasi. Untuk persiapan prosedur terapi diagnostic, terapi sebelum dan sesudah operasi dan dalam kondisi untuk mempercepat defekasi. "," Dewasa dan anak di atas usia 10 tahun : 1-2 tablet per hari.
Anak 6-10 tahun : 1 tablet sekali sehari ", Tablet dianjurkan untuk diminum pada malam hari (waktu kerja obat 6-12 jam) untuk mendapatkan buang air besar keesokan harinya. 
Promag Suspensi 60 ml,Saluran Pencernaan," PROMAG merupakan obat sakit maag yang mengandung Hydrotalcite, Magnesium Hydroxide, dan Simethicone. Obat ini diigunakan untuk meringankan gejala sakit maag akibat kelebihan asam lambung seperti perih, mual, kembung, dan nyeri ulu hati. "," Untuk mengurangi gejala yang berhubungan dengan kelebihan asam lambung, gastritis, tukak lambung, dan tukak usus 12 jari dengan gejala mual, kembung, nyeri lambung, nyeri ulu hati, dan rasa penuh pada lambung "," Dewasa : 1-2 sendok takar (5-10 ml), 3-4 kali sehari. 
Anak usia 6-12 tahun : 1 sendok takar (5 ml), 3-4 kali sehari.  ", Dianjurkan untuk meminum obat ini segera pada saat timbul gejala dan dianjurkan 1-2 jam sebelum atau setelah makan dan sebelum tidur.  
Vometa FT 10 mg 10 Tablet,Saluran Pencernaan," VOMETA FT 10 MG TABLET mengandung domperidone. Domperidone merupakan merupakan obat golongan antiemetik yang bekerja dengan cara menghambat reseptor dopamin perifer shg meningkatkan peristaltik esofagus, menurunkan tekanan sfingter esofagus, motilitas dan peristaltik lambung, dan meningkatkan koordinasi gastroduodenal, sehingga memfasilitasi pengosongan lambung dan mengurangi waktu transit usus halus. Obat ini diindikasikan untuk mual & muntah akut serta dispepsia fungsional. Pada anak diindikasikan untuk mual & muntah yang disebabkan kemoterapi & radioterapi untuk kanker. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS.   
Mual & muntah akut serta dispepsia fungsional. Pada anak diindikasikan untuk mual & muntah yang disebabkan kemoterapi & radioterapi untuk kanker "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.  
Dewasa: 10 mg, 3 kali sehari. Maks: 30 mg setiap hari. Durasi perawatan maksimal: 7 hari. Gunakan dosis efektif terendah untuk durasi sesingkat mungkin.  

Anak: 
Anak umur <12 tahun <35 kg: 0,25 mg/kg diberikan hingga 3 kali sehari. Maks: 0,75 mg/kg setiap hari.  
Anak umur 12 tahun 35 kg: Sama seperti dosis dewasa. ", Dikonsumsi saat perut kosong. Diminum 15-30 menit sebelum makan 
New Diatabs 4 Tablet,Saluran Pencernaan," NEW DIATABS merupakan obat antidiare dengan kandungan Attapulgit 600 mg. Obat ini dapat digunakan untuk pengobatan simtomatik pada diare non-spesifik, yaitu diare yang tidak diketahui penyebabnya dengan jelas. New Diatabs bekerja dengan cara mengadsorbsi beberapa racun dan bakteri penyebab diare, mengurangi frekuensi buang air besar, serta memperbaiki konsistensi feses yang encer. "," Obat ini dapat digunakan untuk pengobatan simtomatik pada diare non-spesifik, yaitu diare yang tidak diketahui penyebabnya dengan jelas. "," Dewasa dan anak-anak (12 tahun atau lebih) : 2 tablet setiap setelah buang air besar, maksimum penggunaan 12 tablet dalam waktu 24 jam. 
 Anak-anak (6-12 tahun) : 1 tablet setiap setelah buang air besar, maksimum penggunaan 6 tablet dalam waktu 24 jam. Jika gejala-gejala masih berlangsung terus, harap berkonsultasi dengan dokter. ", Sebelum atau sesudah makan 
Inpepsa Sirup 100 ml,Saluran Pencernaan," INPEPSA SIRUP merupakan obat dengan kandungan Sucralfate dalam bentuk sirup. Obat ini digunakan untuk pengobatan jangka pendek dan jangka panjang pada tukak lambung dan usus, gastritis kronik. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS.   
Tukak Usus, Tukak Lambung, Gastritis kronis "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. 
Dewasa : 4 x sehari 2 sendok takar (10 ml) ", Saat perut kosong : 1 jam sebelum makan atau 2 jam sesudah makan dan menjelang tidur malam 
Buscopan Plus 4 Tablet,Saluran Pencernaan," BUSCOPAN PLUS merupakan obat dengan kandungan Hyoscine-N-butylbromide, paracetamol dalam bentuk tablet salut selaut. Obat ini digunakan untuk nyeri paroksismal pada lambung atau usus halus, nyeri spastik pada saluran empedu, saluran kemih dan organ genital wanita. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Nyeri paroxismal pada lambung atau usus halus, nyeri spastik pada saluran empedu, saluran kemih dan organ genital wanita "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.
Dewasa : 1-2 tablet, 3 kali sehari. Maksimal : 6 tablet per hari. ", Dikonsumsi sebelum atau sesudah makan 
Lodia 2 mg 10 Tablet,Saluran Pencernaan, LODIA 2 MG Merupakan obat antidiare dengan kandungan Loperamid HCl 2 mg. Obat ini dapat digunakan untuk mengobati diare akut dan kronis. Dalam menggunakan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. ," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. 
Diare akut non spesifik & diare kronik "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.  
Diare akut nonspesifik :  2 tab, diikuti 1 tab setelah setiap tinja yang tidak berbentuk.  
Diare kronis 2-4 tab/hari dalam dosis terbagi.  
Maks: 8 tab setiap hari. ", Sebelum atau sesudah makan 
Lacto-B Sachet 1 g,Saluran Pencernaan, LACTO-B merupakan suplemen dengan kandungan probiotik yang membantu fungsi saluran pencernaan. LACTO-B dapat digunakan untuk mengobati diare dan pencegahan intoleransi laktosa pada anak 1-12 tahun. , Terapi pengobatan diare dan intoleransi laktosa. , Anak 1-12 tahun : 3 sachet/hari. , Dapat dikonsumsi langsung dengan melarutkannya bersama air putih atau dikonsumsi bersama makanan untuk mengurangi ketidak-nyamanan pencernaan. 
Zinc 20 mg 10 Tablet,Saluran Pencernaan," ZINC TABLET merupakan salah satu mikromineral esensial yang berperan penting dalam fungsi imunitas, tumbuh kembang anak, anti-oksidan, fungsi reproduksi, dan fungsi sensori. Zinc dapat digunakan sebagai terapi tambahan pada kasus diare, sehingga membantu menurunkan episode diare, memperbaiki pervalensi dan resiko diare berkepanjangan serta menunjukkan penurunan insiden diare persisten. "," Obat ini digunakan untuk membantu memperkuat sistem kekebalan tubuh, dan mengatasi defisiensi zinc pada kasus diare. "," Pengobatan Diare Akut
 Dewasa: 10-20 mg, diminum satu kali per hari, lama pengobatan 10-14 hari meskipun diare sudah berhenti.
 Anak-anak usia 6 bulan-5 tahun: 20 mg, diminum satu kali per hari, lama pengobatan 10 hari meskipun diare sudah berhenti. ", Sesudah makan 
Vometa Sirup 60 ml,Saluran Pencernaan," VOMETA SIRUP mengandung domperidone. Domperidone merupakan merupakan obat golongan antiemetik yang bekerja dengan cara menghambat reseptor dopamin perifer sehingga meningkatkan peristaltik esofagus, menurunkan tekanan sfingter esofagus, motilitas dan peristaltik lambung, dan meningkatkan koordinasi gastroduodenal, sehingga memfasilitasi pengosongan lambung dan mengurangi waktu transit usus halus. Obat ini diindikasikan untuk mual & muntah akut serta dispepsia fungsional. Pada anak diindikasikan untuk mual & muntah yang disebabkan kemoterapi & radioterapi untuk kanker. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. "," INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS.  
Mual & muntah akut serta dispepsia fungsional. Pada anak diindikasikan untuk mual & muntah yang disebabkan kemoterapi & radioterapi untuk kanker "," PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER.  
Dewasa: 10 mg, 3 kali sehari. Maks: 30 mg setiap hari. Durasi perawatan maksimal: 7 hari. Gunakan dosis efektif terendah untuk durasi sesingkat mungkin.  

Anak: 
Anak umur <12 tahun <35 kg: 0,25 mg/kg diberikan hingga 3 kali sehari. Maks: 0,75 mg/kg setiap hari.  
Anak umur 12 tahun 35 kg: Sama seperti dosis dewasa. ", Dikonsumsi saat perut kosong. Diminum 15-30 menit sebelum makan 
