product_name,category,deskripsi,indikasi_umum,dosis,aturan_pakai
cetirizine sirup 60 ml,alergi, cetirizine merupakan antihistamin yang secara kompetitif dan selektif menghambat reseptor h1 di saluran pencernaan  pembuluh darah  dan saluran pernapasan  obat ini diindikasikan untuk mengobati rinitis menahun  rinitis alergi seasonal  konjungtivitis  pruritus  urtikaria idiopati kronis  dalam penggunaan obat ini harus sesuai dengan petunjuk dokter  ," informasi obat ini hanya untuk kalangan medis   
rinitis menahun  rinitis alergi seasonal  konjungtivitis  pruritus  urtikaria idiopati kronis  "," penggunaan obat ini harus sesuai dengan petunjuk dokter   
kondisi alergi
dosis yang dianjurkan   
dewasa   anak umur  12 tahun  10 mg sekali sehari   
anak umur 2 6 tahun  2 5 mg dua kali sehari   
anak umur 6 12 tahun  5 mg dua kali sehari  
lansia  belum ada data untuk menurunkan dosis pada pasien lansia   
insufisiensi ginjal  dosis 1 2 kali dosis yang dianjurkan  ", dikonsumsi sesudah makan 
ocuson 10 tablet,alergi, ocuson tablet adalah obat kombinasi kortikosteroid betamethason dan antihistamin dexchlorpheniramin  obat ini memiliki efek antiinflamasi  antialergi  dan antihistamin  ocuson digunakan untuk mengobati kasus kasus alergi dan inflamasi yang membutuhkan terapi dengan kortikosteroid  dalam penggunaan obat ini harus sesuai dengan petunjuk dokter  ," informasi obat ini hanya untuk kalangan medis  
mengatasi kasus kasus alergi dan inflamasi yang membutuhkan terapi dengan kortikosteroid "," penggunaan obat ini harus sesuai dengan petunjuk dokter 
dosis disesuaikan dengan kondisi penderita yang diobati dan respons yang diperoleh 
dewasa dan anak anak di atas 12 tahun  1   2 tablet  3   4 kali sehari  setelah makan dan pada saat akan tidur  tidak boleh lebih dari 8 tablet sehari 
anak anak dibawah 12 tahun  penyesuaian dosis menurut berat ringannya kondisi penyakit  lebih baik daripada menurut usia atau berat badan  ", diminum setelah makan  
interhistin 50 mg 10 tablet,alergi, interhistin 50 mg tablet merupakan obat dengan kandungan mebhydrolin napadisylate  mebhydrolin napadisylate termasuk golongan anthistamin h1 generasi pertama yang digunakan untuk mengobati alergi seperti urtikaria  rinitis dan gatal pada kulit  obat ini bekerja dengan memblok aksi histamin  mediator alergi  pada reseptor h1  sehingga terjadi penghambatan reaksi inflamasi dan gejala alergi  dalam penggunaan obat ini harus sesuai dengan petunjuk dokter  ," informasi obat ini hanya untuk kalangan medis  
alergi  termasuk urtikaria  rinitis "," penggunaan obat ini harus sesuai dengan petunjuk dokter 
  dewasa dan anak usia di atas 10 tahun  sehari 2 6 tablet  
  anak usia 5 10 tahun  sehari 2 4 tablet  
  anak usia 2 5 tahun  sehari 1 3 tablet  
  anak usia kurang dari 2 tahun  sehari 50 100 mg hari  
dosis diberikan dalam dosis terbagi  ", diminum setelah makan 
ctm 4 mg 12 tablet,alergi, ctm 4 mg tablet merupakan obat anti alergi yang mengandung zat aktif chlorpheniramine maleat  ctm bekerja secara antagonis terhadap efek histamin pada reseptor h1  dimana dapat menyebabkan efek samping berupa mengantuk  obat ini digunakan untuk mengatasi gejala alergi seperti rhinitis alergi  urtikaria  bersin bersin  mata berair  gatal pada mata  hidung  tenggorokan atau kulit  , obat ini digunakan untuk mengatasi gejala alergi  seperti gatal gatal  urtikaria  dermatitis  ," dewasa   
1 tablet  diminum 3 4 kali per hari 
anak    
0 5 tablet  diminum 3 4 kali per hari  ", diberikan bersama atau tanpa makanan 
dexteem plus 10 tablet,alergi, dexteem plus tablet adalah obat kombinasi kortikosteroid dexamethason dan antihistamin dexchlorpheniramin  obat ini memiliki efek antiinflamasi  antialergi  dan antihistamin  dexteem plus tablet digunakan untuk mengobati kasus kasus alergi dan inflamasi yang membutuhkan terapi dengan kortikosteroid  seperti gatal gatal pada kulit  dermatitis  eksim   reaksi alergi obat  rhinitis alergi  asma  dan lain lain  dalam penggunaan obat ini harus sesuai dengan petunjuk dokter  ," informasi obat ini hanya untuk kalangan medis  
alergi yang memerlukan terapi dengan kostikosteroid "," penggunaan obat ini harus sesuai dengan petunjuk dokter 
dewasa dan anak  12 tahun  dosis awal 1 tablet setiap 4 6 jam sehari sesudah makan atau sebelum tidur ", obat diminum sesudah makan 
alloris 10 mg 10 tablet,alergi, alloris tablet merupakan obat dengan kandungan loratadine dalam bentuk tablet  loratadine merupakan turunan piperidin  yakni antihistamin non sedatif kerja panjang yang secara selektif menghambat reseptor histamin h1 pada sel efektor  loratadin digunakan untuk gejala alergi seperti hay fever  urtikaria  dalam menggunakan obat ini harus sesuai dengan petunjuk dokter  ," informasi obat ini hanya untuk kalangan medis   
obat ini digunakan untuk meredakan gejala alergi seperti hay fever  urtikaria  "," penggunaan obat ini harus sesuai dengan petunjuk dokter   
dewasa dan anak usia lebih dari 12 tahun   10 mg sekali sehari atau 5 mg dua kali sehari   
anak usia 2 12 tahun    
bb kurang dari 30 kg  5 mg sekali sehari   
bb lebih dari 30  10 mg  sekali sehari  ", diminum sebelum atau sesudah makan 
claritin 10 mg 10 tablet,alergi, claritin tablet merupakan obat yang mengandung loratadin  loratadin merupakan turunan piperidin  yakni antihistamin non sedatif kerja panjang yang secara selektif menghambat reseptor histamin h1 pada sel efektor  loratadin digunakan untuk gejala alergi seperti hay fever  urtikaria  dalam menggunakan obat ini harus sesuai dengan petunjuk dokter   ," informasi obat ini hanya untuk kalangan medis   
obat ini digunakan untuk meredakan gejala alergi seperti hay fever  urtikaria  "," penggunaan obat ini harus sesuai dengan petunjuk dokter  
dewasa dan anak usia lebih dari 12 tahun   10 mg sekali sehari atau 5 mg  2 x sehari   

anak usia 2 12 tahun   
  bb kurang dari 30 kg  5 mg  1 x sehari    
  bb lebih dari 30  10 mg  1 x sehari  ", dapat dikonsumsi sebelum  bersama atau sesudah makan  
ryvel drops 10 ml,alergi, ryvel drop merupakan obat yang mengandung cetirizine 2hcl 10 mg ml  cetirizine merupakan antihistamin yang secara kompetitif dan selektif menghambat reseptor h1 di saluran pencernaan  pembuluh darah  dan saluran pernapasan  obat ini diindikasikan untuk mengobati rinitis menahun  rinitis alergi seasonal  konjungtivitis  pruritus  urtikaria idiopati kronis  dalam penggunaan obat ini harus sesuai dengan petunjuk dokter  ," informasi obat ini hanya untuk kalangan medis   
rinitis menahun  rinitis alergi seasonal  konjungtivitis  pruritus  urtikaria idiopati kronis  "," penggunaan obat ini harus sesuai dengan petunjuk dokter   
kondisi alergi
dosis yang dianjurkan   
dewasa   anak umur  12 tahun  10 mg sekali sehari   
anak umur 2 6 tahun  2 5 mg dua kali sehari   
anak umur 6 12 tahun  5 mg dua kali sehari  
lansia  belum ada data untuk menurunkan dosis pada pasien lansia   
insufisiensi ginjal  dosis 1 2 kali dosis yang dianjurkan  ", sebelum atau sesudah makan 
ryvel sirup 60 ml,alergi, ryvel sirup merupakan obat yang mengandung cetirizine 2hcl 5 mg 5 ml  cetirizine merupakan antihistamin yang secara kompetitif dan selektif menghambat reseptor h1 di saluran pencernaan  pembuluh darah  dan saluran pernapasan  obat ini diindikasikan untuk mengobati rinitis menahun  rinitis alergi seasonal  konjungtivitis  pruritus  urtikaria idiopati kronis  dalam penggunaan obat ini harus sesuai dengan petunjuk dokter  ," informasi obat ini hanya untuk kalangan medis   
rinitis menahun  rinitis alergi seasonal  konjungtivitis  pruritus  urtikaria idiopati kronis  "," penggunaan obat ini harus sesuai dengan petunjuk dokter   
kondisi alergi
dosis yang dianjurkan   
dewasa   anak umur  12 tahun  10 mg sekali sehari   
anak umur 2 6 tahun  2 5 mg dua kali sehari   
anak umur 6 12 tahun  5 mg dua kali sehari  
lansia  belum ada data untuk menurunkan dosis pada pasien lansia   
insufisiensi ginjal  dosis 1 2 kali dosis yang dianjurkan  ", sebelum   sesudah makan 
lerzin 10 mg 10 kapsul,alergi, lerzin 10 mg kapsul merupakan obat yang mengandung cetirizine hcl 10 mg  cetirizine merupakan antihistamin yang secara kompetitif dan selektif menghambat reseptor h1 di saluran pencernaan  pembuluh darah  dan saluran pernapasan  obat ini diindikasikan untuk mengobati rinitis menahun  rinitis alergi seasonal  konjungtivitis  pruritus  urtikaria idiopati kronis  dalam penggunaan obat ini harus sesuai dengan petunjuk dokter  ," informasi obat ini hanya untuk kalangan medis  
 rinitis menahun  rinitis alergi seasonal  konjungtivitis  pruritus  urtikaria idiopati kronis  "," penggunaan obat ini harus sesuai dengan petunjuk dokter  
 kondisi alergi
 dosis yang dianjurkan  
 dewasa   anak umur  12 tahun  10 mg sekali sehari  
 anak umur 2 6 tahun  2 5 mg dua kali sehari  
 anak umur 6 12 tahun  5 mg dua kali sehari  
 lansia  belum ada data untuk menurunkan dosis pada pasien lansia  
 insufisiensi ginjal  dosis 1 2 kali dosis yang dianjurkan  ", sebelum atau sesudah makan 
